NIS,popGreenArea,propUrbanArea
1,3509.62333776596,0.817316841103711
2,2060.43331005587,0.692787524366472
3,109.925410829741,0.582880434782609
4,3737.1511548913,0.8640625
5,2513.02469135802,0.700116686114352
6,105272.1171875,0.319452421979705
7,4379.83231707317,0.318733106937418
8,215.81247742052,0.44608679173773
9,173.376846449851,0.476319782764955
10,382.738088768116,0.483023395320936
11,653.56713362069,0.278188560019308
12,0,0.141023568588148
13,1997.36654411765,0.240317775571003
14,77498.765625,0.279958361398567
15,2783.83308823529,0.189512323020451
16,703.247565954774,0.346468044209515
17,0,0.231380309956517
18,0,0.154751760326501
19,0,0.194284985329761
20,1261.23515625,0.197164680357833
21,0,0.20843002860381
22,0,0.258474388022569
23,2569.87827620968,0.512442396313364
24,0,0.413020724303956
25,6801.09027777778,0.301084598698482
26,0,0.379072441548486
27,0,0.270457280385078
28,475.166204844007,0.264156048605303
29,3032.57169117647,0.25778101480942
30,0,0.334135605028977
31,5706.77944711538,0.24453834397195
32,0,0.176863261587313
33,3948.30669642857,0.327221664994985
34,0,0.256237024525845
35,0,0.23700834032473
36,79069.953125,0.165213194995002
37,0,0.203157469406604
38,0,0.175020582110514
39,0,0.190878334753751
40,3956.41434151786,0.302712619578037
41,0,0.327414888418309
42,5912.48913043478,0.177110350689828
43,2187.203125,0.552908980336509
44,0,0.345311130587204
45,0,0.1517969153568
46,0,0.229764002923097
47,0,0.133013409257899
48,1320.07396673387,0.0531807992579423
49,0,0.209563135261923
50,0,0.0627756815645427
51,21944.7265625,0.219500402900886
52,2644.12109375,0.242356145726932
53,0,0.163952616584196
54,0,0.0564746096471266
55,0,0.13002398966599
56,6126.67708333333,0.230269103323627
57,2849.57008928571,0.201506668862177
58,0,0.525152660657168
59,0,0.143820921756662
60,1269.924609375,0.056280668958841
61,0,0.0563758256340176
62,0,0.0441374777065138
63,0,0.0596840297970148
64,2296.65374410377,0.197566756201612
65,0,0.121183530210967
66,0,0.255850711262938
67,0,0.305592721434306
68,3496.8890625,0.222611043067463
69,3111.01706414474,0.150102634279849
70,14335.1770833333,0.264347463805854
71,0,0.141830701294813
72,2323.39293981481,0.170559064129191
73,0,0.120974830203755
74,8055.56676136364,0.187650747708635
75,3256.75318877551,0.135433831467697
76,0,0.344555432235787
77,0,0.0724811362627608
78,0,0.108055364822377
79,0,0.299865646961554
80,0,0.17401533635413
81,0,0.295090909090909
82,0,0.0827056087003404
83,0,0.279241306638567
84,0,0.408334679373284
85,0,0.256251496596312
86,0,0.327934164979427
87,0,0.22554347826087
88,0,0.196803140773976
89,0,0.268101425218934
90,4409.94591346154,0.31204402384625
91,963.214409722222,0.314935796350529
92,0,0.16743926666899
93,0,0.235182656672333
94,0,0.186106071924021
95,0,0.166173967571441
96,0,0.12939835338822
