node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
6,7,4.30000000000014e-05,647365.816512201,731765.203376002,647362.791764214,731758.653725252,4.30000000000014e-05,0,2020.1829093224,2020.1829523224,1369000
6,8,0.060243,647365.816512201,731765.203376002,646736.70507918,727181.545234481,0.060243,0,2020.1829093224,2020.2431523224,1369000
7,1,0.082075,647362.791764214,731758.653725252,642111.74585585,724436.455449499,0.082118,4.30000000000014e-05,2020.1829523224,2020.2650273224,1369000
7,2,0.07661,647362.791764214,731758.653725252,643912.135599101,753399.563675994,0.076653,4.30000000000014e-05,2020.1829523224,2020.2595623224,1369000
8,3,1.70000000000031e-05,646736.70507918,727181.545234481,614345.755466045,769843.499844412,0.06026,0.060243,2020.2431523224,2020.2431693224,1369000
8,9,0.00273,646736.70507918,727181.545234481,646819.934401952,727519.559837163,0.062973,0.060243,2020.2431523224,2020.2458823224,1369000
9,4,0.016412,646819.934401952,727519.559837163,646666.074549348,739514.571832072,0.079385,0.062973,2020.2458823224,2020.2622943224,1369000
9,5,1.90000000000051e-05,646819.934401952,727519.559837163,646817.254383617,727507.461826635,0.062992,0.062973,2020.2458823224,2020.2459013224,1369000
