time,within_commune_transitions_median,within_commune_transitions_lower95HPD,within_commune_transitions_higher95HPD,among_communes_transitions_median,among_communes_transitions_lower95HPD,among_communes_transitions_higher95HPD
2020.09437710782,0,0,3,5,2,8
2020.09702581525,0,0,3,5,2,8
2020.09967452268,0,0,3,5,2,8
2020.10232323011,0,0,3,5,2,8
2020.10497193754,0,0,3,5,2,8
2020.10762064497,0,0,3,5,2,8
2020.11026935241,0,0,3,5,2,8
2020.11291805984,2,0,4,6,2,9
2020.11556676727,2,0,4,6,2,9
2020.1182154747,3,0,6,10,6,14
2020.12086418213,4,1,8,15,10,19
2020.12351288956,5,2,9,17,12,22
2020.126161597,5,1,8,16,12,21
2020.12881030443,5,1,8,16,12,21
2020.13145901186,5,1,8,16,12,21
2020.13410771929,5,2,9,20,15,25
2020.13675642672,7,3,11,26,20,32
2020.13940513415,8,3,12.025,29,23,36
2020.14205384159,9,4,14,35,28,42
2020.14470254902,11,6,16,42,34,49
2020.14735125645,13,7,19,48,41,57
2020.14999996388,16,10,22,53,45,61.025
2020.15264867131,17,11,24,59,50,67.025
2020.15529737874,23,16,31,73,63,82
2020.15794608618,29,21,37,83,74,93.025
2020.16059479361,36,27.975,47,98,87,110
2020.16324350104,41,32,50,105,94,117
2020.16589220847,44,35,54,120,107.975,131
2020.1685409159,48,38,58,128,116,140
2020.17118962334,49,39,59.025,134,122,147
2020.17383833077,49,39,60,135,122,148
2020.1764870382,50,40,61,137,124,150
2020.17913574563,55,45.975,67,148,135,161
2020.18178445306,59,49,71,156,143,170
2020.18443316049,63,52,75,163,149.975,176
2020.18708186793,66,55,77,172,158,185
2020.18973057536,69,58,80,176,161.975,189
2020.19237928279,73,61,84,175,160,189
2020.19502799022,69,58,81,168,154,181
2020.19767669765,63,52,74,157,142,169
2020.20032540508,62,51,73,161,147,174.025
2020.20297411252,66,54,77.025,168,154,182
2020.20562281995,69,57,81,178,165,193
2020.20827152738,75,63,88,187,173,201
2020.21092023481,77,66,90,195,181,209
2020.21356894224,79,67,92,198,184,212
2020.21621764967,78,66,91,202,187,216
2020.21886635711,76,64,89,202.5,188,216
2020.22151506454,75,63,87,204,190,217
2020.22416377197,80,68,93,213,197.975,226
2020.2268124794,81,69,93,214,199,228
2020.22946118683,80,69,92,213,198,227
2020.23210989426,75,63.975,87.025,209,194,222
2020.2347586017,71,60,83,204,189,218
2020.23740730913,72,60,83.025,204,190,218
2020.24005601656,73,61,85,203,189,217
2020.24270472399,66,55,78.025,195,181,208
2020.24535343142,61,50.975,73,184,170.975,197
2020.24800213885,53,43.975,63,167,154,180
2020.25065084629,51,40.975,61,156,143,169
2020.25329955372,49,39,59,153,140,165
2020.25594826115,46,38,56,141,128.975,153
2020.25859696858,46,36.975,55,130,118,142
2020.26124567601,40,32,49,112,101,124
2020.26389438344,32,25,40,85,74.975,95
2020.26654309088,24,17,31,70,61,80.025
2020.26919179831,23,16,29.025,67,58,77
2020.27184050574,21,15,28,66,57,75
2020.27448921317,19,14,26,59,50,68
2020.2771379206,19,13,25,57,48,65
2020.27978662803,15,10,20,47,39,55
2020.28243533547,13,8,18,41,34,48
2020.2850840429,10,6,14,28,22,34.025
2020.28773275033,8,4,13,23,17,29
2020.29038145776,10,4,15,22,16,29
2020.29303016519,10,5,15,23,17,29.025
2020.29567887262,11,6,17,24,17,31
2020.29832758006,11,5.975,16,23,16,29
2020.30097628749,11,5.975,16,22,15,28
2020.30362499492,11,5.975,16,22,15,28
2020.30627370235,11,5.975,16,22,15,28
2020.30892240978,11,5.975,16,22,15,28
2020.31157111721,10,4.975,15,21,15,27
2020.31421982465,6,2,9,14,9,19
2020.31686853208,6,2,9,14,9,19
2020.31951723951,5,2,9,13,8,19
2020.32216594694,5,2,9,13,8,19
2020.32481465437,5,2,9,13,8,18
2020.32746336181,5,1.975,9,12,8,17
2020.33011206924,3,1,5,10,6,13
2020.33276077667,2,0,4,10,7,13
2020.3354094841,3,1,5,11,7,14
2020.33805819153,3,1,5,11,7,14
2020.34070689896,3,1,5,11,7,14
2020.3433556064,3,1,5,11,7,14
2020.34600431383,3,1,5,11,7,14
2020.34865302126,3,1,5,11,7,14
2020.35130172869,3,1,5,11,7,14
2020.35395043612,3,1,5,11,7,14
2020.35659914355,3,1,5,11,7,14
