node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
4,3,0.01445579819,644012.707933532,729540.969574833,643433.286646504,728999.98079488,0.01445579819,0,2020.1904622346,2020.20491803279,174000
4,5,0.02747812582,644012.707933532,729540.969574833,649353.257519259,733162.011874548,0.02747812582,0,2020.1904622346,2020.21794036042,174000
5,1,0.003371114992,649353.257519259,733162.011874548,651726.64083224,727306.84024272,0.030849240812,0.02747812582,2020.21794036042,2020.22131147541,174000
5,2,0.003371114992,649353.257519259,733162.011874548,649362.029226327,733177.458949548,0.030849240812,0.02747812582,2020.21794036042,2020.22131147541,174000
