node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,0.042063,670964.440967601,540812.440878576,670735.620756515,540607.406813484,0.042063,0,2020.20930312022,2020.25136612022,8722000
5,6,0.02019,670964.440967601,540812.440878576,724726.991308575,565171.781557778,0.02019,0,2020.20930312022,2020.22949312022,8722000
6,2,1.50000000000011e-05,724726.991308575,565171.781557778,724727.837231005,565172.207501105,0.020205,0.02019,2020.22949312022,2020.22950812022,8722000
6,7,0.0082,724726.991308575,565171.781557778,667959.809517093,594309.450848622,0.02839,0.02019,2020.22949312022,2020.23769312022,8722000
7,3,1.20000000000016e-05,667959.809517093,594309.450848622,667956.911238631,594307.464236937,0.028402,0.02839,2020.23769312022,2020.23770512022,8722000
7,4,0.008209,667959.809517093,594309.450848622,635009.503655984,724497.688236032,0.036599,0.02839,2020.23769312022,2020.24590212022,8722000
