node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,6,0.00294,680574.119951116,684835.693451468,679434.65950358,683386.576409753,0.00294,0,2020.16368278689,2020.16662278689,6580000
5,7,0.01114,680574.119951116,684835.693451468,670865.604762583,672980.314318316,0.01114,0,2020.16368278689,2020.17482278689,6580000
6,1,4.38797800742536e-05,679434.65950358,683386.576409753,679377.463213542,683321.874530757,0.00298387978007425,0.00294,2020.16662278689,2020.16666666667,6580000
6,2,4.38797800742536e-05,679434.65950358,683386.576409753,680330.045002455,678912.380150507,0.00298387978007425,0.00294,2020.16662278689,2020.16666666667,6580000
7,3,4.06010914542534e-05,670865.604762583,672980.314318316,669917.853535457,561915.045962201,0.0111806010914543,0.01114,2020.17482278689,2020.17486338798,6580000
7,4,4.06010914542534e-05,670865.604762583,672980.314318316,670850.014193383,672958.973788426,0.0111806010914543,0.01114,2020.17482278689,2020.17486338798,6580000
