trait	location	collection_date
Hangzhou/ZJU-07/2020	other	2020-02-03
Wuhan/WIV05/2019	other	2019-12-30
Wuhan/HBCDC-HB-01/2019	other	2019-12-30
Shanghai/SH0036/2020	other	2020-02-04
Wuhan/WH01/2019	other	2019-12-26
Wuhan/IVDC-HB-05/2019	other	2019-12-30
Wuhan/IVDC-HB-04/2020	other	2020-01-01
Wuhan/IPBCAMS-WH-03/2019	other	2019-12-30
Wuhan/WIV07/2019	other	2019-12-30
Guangdong/GDFS2020127-P0026/2020	other	2020-02-12
Shanghai/SH0020/2020	other	2020-02-01
Wuhan/WIV02/2019	other	2019-12-30
Wuhan/HBCDC-HB-02/2019	other	2019-12-30
USA/CA8/2020	other	2020-02-10
Wuhan/IPBCAMS-WH-01/2019	other	2019-12-24
Netherlands/Oss_1363500/2020	other	2020-02-29
Netherlands/Nieuwendijk_1363582/2020	other	2020-03-01
Guangdong/2020XN4448-P0002/2020	other	2020-01-31
Shanghai/SH0039/2020	other	2020-02-06
Guangdong/GD2020139-P0007/2020	other	2020-02-02
Guangzhou/GZMU0014/2020	other	2020-02-25
Singapore/15/2020	other	2020-01-27
Singapore/14Clin/2020	other	2020-02-14
Singapore/19/2020	other	2020-03-02
Spain/Andalucia201373/2020	other	2020-03-02
Singapore/30/2020	other	2020-03-09
USA/NY-NYUMC40/2020	other	2020-03-18
Shanghai/SH0030/2020	other	2020-02-03
Wuhan/HBCDC-HB-06/2020	other	2020-02-07
Shanghai/SH0034/2020	other	2020-02-04
Tianmen/HBCDC-HB-07/2020	other	2020-02-08
Shanghai/SH0010/2020	other	2020-01-29
Shanghai/SH0021/2020	other	2020-02-02
Spain/Madrid_R2_15/2020	other	2020-03-03
Australia/VIC13/2020	other	2020-01-31
Wuhan/HBCDC-HB-02/2020	other	2020-01-17
Wuhan/HBCDC-HB-04/2020	other	2020-01-18
Shanghai/SH0075/2020	other	2020-01-30
Taiwan/CGMH-CGU-02/2020	other	2020-02-04
Guangdong/2020XN4273-P0036/2020	other	2020-01-30
SouthKorea/KCDC05/2020	other	2020-01-30
England/01/2020	other	2020-01-29
England/02/2020	other	2020-01-29
Guangdong/2020XN4475-P0042/2020	other	2020-01-30
India/1-31/2020	other	2020-01-31
Shanghai/SH0026/2020	other	2020-02-02
Shanghai/SH0041/2020	other	2020-01-29
Yunnan/IVDC-YN-003/2020	other	2020-01-17
Shanghai/SH0100/2020	other	2020-02-02
SouthKorea/KCDC24/2020	other	2020-02-06
Anhui/SZ005/2020	other	2020-01-24
Shandong/LY003/2020	other	2020-01-23
Shandong/LY005/2020	other	2020-01-24
Shandong/LY006/2020	other	2020-01-25
Shandong/LY004/2020	other	2020-01-26
Shandong/LY008/2020	other	2020-01-30
SouthKorea/KCDC07/2020	other	2020-01-31
Beijing/233/2020	other	2020-01-28
SouthKorea/KCDC03/2020	other	2020-01-25
Beijing/105/2020	other	2020-01-26
Beijing/235/2020	other	2020-01-28
Beijing/231/2020	other	2020-01-28
SouthKorea/KCDC06/2020	other	2020-01-30
SouthKorea/KUMC06/2020	other	2020-02-27
SouthKorea/KUMC04/2020	other	2020-02-27
SouthKorea/KUMC03/2020	other	2020-02-27
SouthKorea/KUMC05/2020	other	2020-02-27
Australia/NSW04/2020	other	2020-01-24
Shanghai/SH0059/2020	other	2020-01-30
Guangdong/SZ-N128-P0057/2020	other	2020-02-28
USA/AZ1/2020	other	2020-01-22
Shenzhen/HKU-SZ-005/2020	other	2020-01-11
USA/TX1/2020	other	2020-02-11
Guangdong/2020XN4291-P0038/2020	other	2020-01-30
Guangzhou/GZMU0042/2020	other	2020-02-25
Japan/TY-WK-501/2020	other	2020-01-31
Japan/TY-WK-521/2020	other	2020-01-31
Japan/TY-WK-012/2020	other	2020-01-29
Japan/UT-NCGM02/2020	other	2020-02-01
Shenzhen/HKU-SZ-002/2020	other	2020-01-10
Guangdong/20SF025/2020	other	2020-01-15
Guangdong/20SF013/2020	other	2020-01-15
Shenzhen/SZTH-002/2020	other	2020-01-13
Guangdong/20SF012/2020	other	2020-01-14
Shanghai/SH0004/2020	other	2020-01-28
Guangdong/2020XN4276-P0037/2020	other	2020-01-31
Germany/BavPat3/2020	other	2020-03-02
Shanghai/SH0005/2020	other	2020-01-28
Shanghai/SH0074/2020	other	2020-02-07
Australia/QLD02/2020	other	2020-01-30
Shanghai/SH0117/2020	other	2020-02-02
Shanghai/SH0035/2020	other	2020-01-30
Australia/QLD03/2020	other	2020-02-05
Australia/VIC07/2020	other	2020-02-08
Shanghai/SH0002/2020	other	2020-01-25
USA/VA-DCLS-0021/2020	other	2020-03-11
Senegal/618/2020	other	2020-03-20
Netherlands/Utrecht_17/2020	other	2020-03-10
Netherlands/Utrecht_16/2020	other	2020-03-08
USA/WI-06/2020	other	2020-03-21
USA/WI-22/2020	other	2020-03-13
USA/WI-07/2020	other	2020-03-21
Shanghai/SH0003/2020	other	2020-01-25
Australia/QLD04/2020	other	2020-02-05
Guangdong/2020XN4243-P0035/2020	other	2020-01-30
Australia/QLD01/2020	other	2020-01-28
Singapore/4/2020	other	2020-02-03
USA/CA7/2020	other	2020-02-06
Congo/300/2020	other	2020-03-22
Senegal/620/2020	other	2020-03-20
USA/NY-NYUMC35/2020	other	2020-03-18
USA/WA-UW158/2020	other	2020-03-13
USA/NY-NYUMC37/2020	other	2020-03-18
NewZealand/20VR0276/2020	other	2020-03-15
Shanghai/SH0017/2020	other	2020-02-01
Sichuan/IVDC-SC-001/2020	other	2020-01-15
USA/CA1/2020	other	2020-01-23
HongKong/VM20001061/2020	other	2020-01-22
HongKong/HKPU1_2101/2020	other	2020-01-21
HongKong/XM-PII-S4/2020	other	2020-01-22
Vietnam/CM99/2020	other	2020-02-11
Guangdong/GZ-S6-P0050/2020	other	2020-02-28
Shanghai/SH0128/2020	other	2020-02-02
Vietnam/VR03-38142/2020	other	2020-01-24
Vietnam/38142/2020	other	2020-01-24
Shanghai/SH0029/2020	other	2020-02-01
Shanghai/SH0079/2020	other	2020-02-01
Shanghai/SH0049/2020	other	2020-02-01
Shanghai/SH0032/2020	other	2020-02-01
USA/IL2/2020	other	2020-01-28
USA/WI-GMF-00049/2020	other	2020-03-18
Australia/VIC209/2020	other	2020-03-20
USA/WA-UW330/2020	other	2020-03-24
USA/GA_1320/2020	other	2020-03-03
USA/GA_1445/2020	other	2020-03-04
Australia/VIC108/2020	other	2020-03-18
USA/ID-UW260/2020	other	2020-03-14
Australia/VIC51/2020	other	2020-03-12
Australia/VIC150/2020	other	2020-03-17
Australia/VIC17/2020	other	2020-03-07
Australia/VIC28/2020	other	2020-03-10
Australia/VIC77/2020	other	2020-03-14
Australia/VIC73/2020	other	2020-03-14
Australia/VIC76/2020	other	2020-03-14
Australia/VIC112/2020	other	2020-03-18
USA/NY-NYUMC24/2020	other	2020-03-16
Australia/VIC33/2020	other	2020-03-10
Australia/VIC215/2020	other	2020-03-20
USA/UT-00288/2020	other	2020-03-24
Australia/VIC86/2020	other	2020-03-15
NewZealand/20VR0275/2020	other	2020-03-15
Wuhan/WH04/2020	other	2020-01-05
Shanghai/SH0009/2020	other	2020-01-29
Singapore/12Clin/2020	other	2020-02-28
Singapore/12/2020	other	2020-02-17
Hangzhou/ZJU-02/2020	other	2020-01-26
Taiwan/3/2020	other	2020-01-24
Singapore/18/2020	other	2020-03-01
Australia/NSW01/2020	other	2020-01-24
Wuhan/HBCDC-HB-03/2020	other	2020-01-18
Australia/VIC293/2020	other	2020-03-23
Spain/Madrid_R5_8/2020	other	2020-03-03
Spain/CastillaLaMancha201328/2020	other	2020-03-01
Spain/CastillaLaMancha201329/2020	other	2020-03-01
Colombia/79256/2020	other	2020-03-11
Chile/Talca-1/2020	other	2020-03-02
Chile/Talca-2/2020	other	2020-03-04
Australia/VIC138/2020	other	2020-02-23
Spain/Madrid201449/2020	other	2020-03-04
Spain/Andalucia201617/2020	other	2020-03-05
Singapore/13/2020	other	2020-02-18
Malaysia/MKAK-CL-2020-5096/2020	other	2020-02-20
Guangdong/GD2020233-P0027/2020	other	2020-02-07
Guangdong/ZS-S6-P0060/2020	other	2020-02-28
Shanghai/SH0115/2020	other	2020-02-11
Belgium/GHB-03021/2020	Belgium	2020-02-03
Taiwan/NTU01/2020	other	2020-01-31
Guangdong/GDSZ202015-P0019/2020	other	2020-02-05
Shanghai/SH0065/2020	other	2020-02-05
Shanghai/SH0043/2020	other	2020-01-30
Shanghai/SH0013/2020	other	2020-01-30
Guangdong/2020XN4459-P0041/2020	other	2020-01-30
Shanghai/SH0024/2020	other	2020-01-30
Singapore/16/2020	other	2020-02-06
Singapore/21/2020	other	2020-02-13
Singapore/23/2020	other	2020-03-02
Singapore/14/2020	other	2020-02-13
Singapore/22/2020	other	2020-03-02
Guangzhou/GZMU0044/2020	other	2020-02-25
Guangzhou/GZMU0048/2020	other	2020-02-25
Shanghai/SH0069/2020	other	2020-02-01
Spain/Madrid_R10_33/2020	other	2020-03-02
France/GE1583/2020	other	2020-02-25
Georgia/Tb-390/2020	other	2020-03-08
Spain/Valencia24/2020	other	2020-03-09
Spain/Valencia20/2020	other	2020-03-09
Brazil/AMBR-02/2020	other	2020-03-16
Spain/CastillayLeon201437/2020	other	2020-03-04
Spain/Valencia2/2020	other	2020-03-04
Spain/Valencia29/2020	other	2020-03-09
Spain/Valencia10/2020	other	2020-03-06
Spain/PaisVasco201602/2020	other	2020-03-04
Spain/Valencia14/2020	other	2020-03-09
Spain/Valencia6/2020	other	2020-02-27
Spain/Valencia15/2020	other	2020-03-02
Spain/Valencia28/2020	other	2020-03-09
Spain/PaisVasco201493/2020	other	2020-03-05
Netherlands/NoordBrabant_46/2020	other	2020-03-11
Spain/Valencia30/2020	other	2020-03-09
Spain/Valencia9/2020	other	2020-03-02
Spain/Valencia19/2020	other	2020-03-08
Australia/VIC295/2020	other	2020-03-23
Australia/VIC126/2020	other	2020-03-20
Australia/VIC304/2020	other	2020-03-23
Australia/VIC277/2020	other	2020-03-22
Australia/VIC256/2020	other	2020-03-21
Spain/Valencia5/2020	other	2020-02-27
Spain/Valencia8/2020	other	2020-03-04
Spain/Canarias201495/2020	other	2020-03-04
USA/NY2-PV08100/2020	other	2020-03-04
Spain/Valencia22/2020	other	2020-03-09
Spain/Valencia4/2020	other	2020-02-26
Chile/Santiago_op2d1/2020	other	2020-03-06
Spain/Valencia3/2020	other	2020-03-05
Spain/Valencia38/2020	other	2020-03-09
Spain/Valencia36/2020	other	2020-03-09
Spain/Valencia33/2020	other	2020-03-09
Spain/Valencia18/2020	other	2020-03-10
Spain/Valencia23/2020	other	2020-02-27
Spain/CastillayLeon201323/2020	other	2020-03-01
Spain/PaisVasco201382/2020	other	2020-03-02
Spain/Valencia26/2020	other	2020-03-06
Portugal/PT0042/2020	other	2020-03-17
Spain/Madrid_H9_38/2020	other	2020-03-12
Greece/16/2020	other	2020-03-18
Brazil/RJ0113/2020	other	2020-03-17
Senegal/136/2020	other	2020-03-13
Chile/Santiago-1/2020	other	2020-03-03
Spain/LaRioja201575/2020	other	2020-03-03
Spain/CastillayLeon201372/2020	other	2020-03-03
Spain/PaisVasco201607/2020	other	2020-03-03
Spain/Valencia21/2020	other	2020-03-10
Chile/Santiago_op3d1/2020	other	2020-03-07
Chile/Santiago_op4d1/2020	other	2020-03-08
Spain/Valencia35/2020	other	2020-03-09
Spain/Valencia34/2020	other	2020-03-09
Spain/Valencia32/2020	other	2020-03-09
Spain/Valencia39/2020	other	2020-03-09
Spain/Valencia37/2020	other	2020-03-09
Spain/Valencia31/2020	other	2020-03-09
Spain/Valencia12/2020	other	2020-03-09
Spain/Valencia27/2020	other	2020-03-09
Chongqing/YC01/2020	other	2020-01-21
Singapore/20/2020	other	2020-01-29
Guangdong/GD2020086-P0021/2020	other	2020-02-01
Guangdong/GD2020234-P0023/2020	other	2020-02-07
Guangdong/FS-S30-P0052/2020	other	2020-02-28
USA/WA1/2020	other	2020-01-19
Fujian/8/2020	other	2020-01-21
Hangzhou/ZJU-08/2020	other	2020-01-26
Malaysia/MKAK-CL-2020-6430/2020	other	2020-02-20
Canada/BC_8606204/2020	other	2020-03-13
Canada/BC_4799711/2020	other	2020-03-09
USA/WA-S14/2020	other	2020-03-03
Canada/BC_6502001/2020	other	2020-03-12
Canada/BC_4118226/2020	other	2020-03-10
USA/CT-Yale-005/2020	other	2020-03-09
Canada/BC_8718874/2020	other	2020-03-07
Canada/BC_8159203/2020	other	2020-03-05
Canada/BC_8896915/2020	other	2020-03-11
Canada/BC_7277381/2020	other	2020-03-12
Canada/BC_8894200/2020	other	2020-03-11
Canada/BC_3968175/2020	other	2020-03-10
Canada/BC_4540462/2020	other	2020-03-10
Canada/BC_3972884/2020	other	2020-03-10
Canada/BC_8897642/2020	other	2020-03-11
USA/WA-S25/2020	other	2020-03-02
USA/WA-S49/2020	other	2020-03-04
USA/CA-CDPH-UC23/2020	other	2020-03-09
USA/ID-UW290/2020	other	2020-03-15
USA/WA-UW27/2020	other	2020-03-04
USA/WA-S33/2020	other	2020-03-01
USA/WA-UW309/2020	other	2020-03-24
USA/ID-UW228/2020	other	2020-03-15
USA/WA-S8/2020	other	2020-02-24
USA/WA-S81/2020	other	2020-02-26
USA/CA-CDPH-UC20/2020	other	2020-03-04
USA/ID-UW297/2020	other	2020-03-15
USA/WA-UW162/2020	other	2020-03-13
USA/CT-UW261/2020	other	2020-03-16
USA/WA7-UW4/2020	other	2020-03-01
USA/WA-UW188/2020	other	2020-03-13
USA/CT-UW199/2020	other	2020-03-13
USA/WA-S64/2020	other	2020-03-03
USA/CA-CDPH-UC1/2020	other	2020-02-26
USA/ID-UW62/2020	other	2020-03-09
USA/CT-UW245/2020	other	2020-03-16
USA/WA-S41/2020	other	2020-02-28
USA/WA-UW114/2020	other	2020-03-11
USA/WA-UW64/2020	other	2020-03-09
USA/CT-UW255/2020	other	2020-03-16
USA/WA-S27/2020	other	2020-03-01
USA/WA-UW19/2020	other	2020-03-05
Australia/VIC288/2020	other	2020-03-22
USA/CT-UW217/2020	other	2020-03-14
USA/WA-S17/2020	other	2020-03-03
USA/WA-S94/2020	other	2020-02-28
Canada/BC_8150537/2020	other	2020-03-12
USA/MN3-MDH3/2020	other	2020-03-09
USA/UT-00020/2020	other	2020-03-20
USA/WA-S62/2020	other	2020-03-03
USA/WA12-UW8/2020	other	2020-03-03
USA/WA-S89/2020	other	2020-02-29
USA/WA-S90/2020	other	2020-02-29
USA/CA-CDPH-UC28/2020	other	2020-03-14
USA/WA-UW387/2020	other	2020-03-23
USA/WA-S113/2020	other	2020-02-29
USA/WA-S119/2020	other	2020-02-29
USA/CT-UW219/2020	other	2020-03-13
USA/WA-UW202/2020	other	2020-03-12
USA/WA-UW176/2020	other	2020-03-14
USA/WA-UW127/2020	other	2020-03-12
USA/WA-S76/2020	other	2020-03-05
USA/WA-UW265/2020	other	2020-03-16
USA/CA-CDPH-UC6/2020	other	2020-03-05
USA/CA-CDPH-UC5/2020	other	2020-03-05
USA/WA-S37/2020	other	2020-03-04
USA/WA-UW66/2020	other	2020-03-10
USA/CT-UW216/2020	other	2020-03-14
USA/CT-UW242/2020	other	2020-03-14
USA/CT-UW200/2020	other	2020-03-12
USA/WA-UW84/2020	other	2020-03-10
USA/WA-UW28/2020	other	2020-03-04
USA/WA-UW30/2020	other	2020-03-08
Canada/BC_83163/2020	other	2020-03-05
Canada/BC_41851/2020	other	2020-03-02
Canada/BC_4122951/2020	other	2020-03-10
Canada/BC_83109/2020	other	2020-03-05
USA/WA-S97/2020	other	2020-02-28
USA/WA-S96/2020	other	2020-02-28
USA/WA-S30/2020	other	2020-02-28
USA/WA-S95/2020	other	2020-02-28
USA/WA-UW220/2020	other	2020-03-14
USA/WA-UW146/2020	other	2020-03-14
USA/WA-UW44/2020	other	2020-03-08
USA/CT-UW229/2020	other	2020-03-14
USA/CT-UW218/2020	other	2020-03-13
USA/CT-UW214/2020	other	2020-03-14
USA/WA-UW336/2020	other	2020-03-21
USA/WA-S73/2020	other	2020-03-05
Wales/PHWC-23DB5/2020	other	2020-03-13
USA/CA-CDPH-UC7/2020	other	2020-03-05
USA/CA-CDPH-UC9/2020	other	2020-03-05
USA/CA-CDPH-UC11/2020	other	2020-03-05
USA/CA-CDPH-UC8/2020	other	2020-03-05
USA/WA-S32/2020	other	2020-03-02
USA/WA-S28/2020	other	2020-03-02
USA/OR-UW292/2020	other	2020-03-15
USA/CT-UW231/2020	other	2020-03-14
USA/WA-UW204/2020	other	2020-03-13
USA/ID-UW270/2020	other	2020-03-14
USA/WA-UW91/2020	other	2020-03-10
USA/WA-UW342/2020	other	2020-03-24
USA/CT-UW208/2020	other	2020-03-13
USA/WA-S110/2020	other	2020-03-05
USA/WA-UW305/2020	other	2020-03-23
USA/ID-UW225/2020	other	2020-03-15
USA/MN44-MDH44/2020	other	2020-03-12
USA/MN59-MDH59/2020	other	2020-03-14
USA/WA-S7/2020	other	2020-02-24
USA/CT-UW198/2020	other	2020-03-12
USA/WA9-UW6/2020	other	2020-03-01
USA/WA2/2020	other	2020-02-24
USA/WA-S42/2020	other	2020-02-28
USA/WA-S48/2020	other	2020-02-29
USA/WA-S47/2020	other	2020-02-29
USA/WA-S106/2020	other	2020-02-29
USA/WA-S58/2020	other	2020-03-05
USA/WA-UW31/2020	other	2020-03-08
USA/WA-S19/2020	other	2020-03-02
USA/WA15-UW11/2020	other	2020-03-05
USA/WA-UW332/2020	other	2020-03-22
USA/WA-S86/2020	other	2020-03-01
USA/WA-S107/2020	other	2020-02-29
USA/WA-UW68/2020	other	2020-03-09
USA/CT-UW244/2020	other	2020-03-16
USA/WA-UW55/2020	other	2020-03-09
USA/CT-UW207/2020	other	2020-03-13
USA/WA-UW102/2020	other	2020-03-11
USA/ID-UW239/2020	other	2020-03-14
USA/WA-UW144/2020	other	2020-03-09
USA/ID-UW232/2020	other	2020-03-14
USA/ID-UW221/2020	other	2020-03-14
USA/ID-UW278/2020	other	2020-03-16
USA/WA-UW97/2020	other	2020-03-12
USA/WA-UW130/2020	other	2020-03-11
USA/WA-UW111/2020	other	2020-03-11
Australia/VIC41/2020	other	2020-03-11
Canada/ON_PHL1083/2020	other	2020-03-09
USA/CT-Yale-007/2020	other	2020-03-13
USA/CT-Yale-008/2020	other	2020-03-13
USA/WI-09/2020	other	2020-03-21
Canada/ON_PHL3877/2020	other	2020-03-09
Canada/ON_PHL5710/2020	other	2020-03-12
Canada/ON_PHL0178/2020	other	2020-03-11
Canada/ON_PHL5705/2020	other	2020-03-12
Canada/ON_PHL3802/2020	other	2020-03-12
Canada/ON_PHL4464/2020	other	2020-03-14
Canada/MB_8/2020	other	2020-03-12
Canada/ON_PHL0052/2020	other	2020-03-11
Canada/ON_PHL6883/2020	other	2020-03-08
Canada/ON_PHL8580/2020	other	2020-03-05
Australia/VIC189/2020	other	2020-03-19
Canada/ON_PHL6884/2020	other	2020-03-10
USA/WA-UW277/2020	other	2020-03-14
Australia/WA09/2020	other	2020-03-14
USA/MN41-MDH41/2020	other	2020-03-12
USA/MN56-MDH56/2020	other	2020-03-14
Iceland/138/2020	other	2020-03-12
Iceland/249/2020	other	2020-03-17
Iceland/182/2020	other	2020-03-16
Iceland/191/2020	other	2020-03-16
Australia/VIC159/2020	other	2020-03-18
Australia/VIC20/2020	other	2020-03-08
