NIS5,n_mr,n_tot_beds,bed_over_mr
41024,3,135,45
71020,1,78,78
23027,4,264,66
71069,1,72,72
42008,2,165,82.5
72037,2,143,71.5
34013,2,131,65.5
71022,9,573,63.6666666666667
72038,1,25,25
73022,1,29,29
12014,4,293,73.25
11018,1,50,50
24038,1,249,249
13011,3,202,67.3333333333333
13012,1,71,71
71024,2,73,36.5
23032,1,46,46
13013,1,109,109
41027,3,115,38.3333333333333
71070,4,143,35.75
33039,1,39,39
24041,1,38,38
23033,1,46,46
73032,2,52,26
24043,1,63,63
36006,1,68,68
13014,1,81,81
45062,2,87,43.5
72039,1,75,75
32006,2,133,66.5
11021,1,73,73
24045,2,102,51
13016,1,36,36
35006,1,59,59
33011,5,425,85
36007,1,117,117
36008,3,248,82.6666666666667
31012,1,79,79
11022,2,150,75
23038,1,39,39
23039,1,67,67
11023,3,194,64.6666666666667
43007,2,71,35.5
13017,1,70,70
24048,2,82,41
72018,1,44,44
45060,1,64,64
NA,1,43,43
31043,4,289,72.25
32010,1,96,96
38014,1,71,71
11024,1,76,76
32011,1,98,98
24054,1,47,47
24055,1,119,119
73040,1,43,43
34022,12,957,79.75
23099,1,25,25
46013,2,108,54
NA,1,76,76
34023,2,151,75.5
13053,2,114,57
42010,2,90,45
73042,2,168,84
24059,2,77,38.5
33040,1,36,36
42011,3,158,52.6666666666667
41034,2,129,64.5
36010,1,74,74
34025,1,65,65
23104,1,25,25
71034,1,44,44
24062,10,645,64.5
36011,1,42,42
23044,1,167,167
12021,3,228,76
13019,1,102,102
23100,1,34,34
11025,1,34,34
24133,1,62,62
32030,1,90,90
44034,3,217,72.3333333333333
46014,3,196,65.3333333333333
72020,3,145,48.3333333333333
23045,1,49,49
NA,1,25,25
24066,2,118,59
71037,1,51,51
45064,4,195,48.75
72021,2,111,55.5
73107,2,101,50.5
23047,2,70,35
43010,2,117,58.5
11057,3,156,52
12025,6,458,76.3333333333333
13021,2,85,42.5
NA,1,36,36
23050,2,78,39
44040,2,100,50
34027,9,525,58.3333333333333
23052,1,45,45
44043,2,173,86.5
13023,1,47,47
37007,2,111,55.5
35011,4,143,35.75
44045,1,32,32
13025,3,257,85.6666666666667
36012,2,135,67.5
11029,3,146,48.6666666666667
44048,2,194,97
NA,1,68,68
NA,1,45,45
11030,1,96,96
71045,1,71,71
38016,2,134,67
12026,2,127,63.5
41048,3,248,82.6666666666667
13029,2,51,25.5
35013,12,739,61.5833333333333
44052,2,95,47.5
31022,2,151,75.5
37010,1,41,41
NA,1,44,44
23060,2,92,46
13031,1,81,81
45035,3,181,60.3333333333333
35014,1,50,50
23062,5,198,39.6
NA,1,61,61
72030,1,91,91
23064,2,166,83
37011,1,33,33
33021,2,185,92.5
12029,2,96,48
NA,1,61,61
11035,2,119,59.5
13035,1,53,53
13036,1,41,41
73066,2,83,41.5
13037,2,87,43.5
36015,7,443,63.2857142857143
45041,2,103,51.5
23097,1,84,84
24094,2,100,50
37012,1,51,51
11037,3,194,64.6666666666667
11038,1,49,49
24134,3,158,52.6666666666667
11039,1,78,78
11040,3,157,52.3333333333333
NA,2,130,65
23101,1,56,56
46020,2,155,77.5
12035,4,193,48.25
43014,1,37,37
41063,1,79,79
44064,1,43,43
46021,10,574,57.4
23077,2,140,70
71053,6,237,39.5
11044,1,51,51
36019,2,77,38.5
23081,1,91,91
46024,1,66,66
46025,3,138,46
23086,1,104,104
24104,1,68,68
71057,1,48,48
37015,2,149,74.5
24135,1,64,64
24107,5,265,53
73083,4,214,53.5
