# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Apr 07 10:24:00 CEST 2020 [seed=1586247839042]
# -overwrite Nextstrain_070420_2.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Belgium.other	location.branchRates	location.treeLikelihood
0	-612.1349553943072	-1.0	-611.1349553943072	1.0	1.0	1.0	0.0	-611.1349553943072
1000	-611.5642654118219	-0.4293100175147013	-611.1349553943072	1.0	1.0	0.4293100175147013	0.0	-611.1349553943072
2000	-612.2388249900459	-1.1038695957387625	-611.1349553943072	1.0	1.0	1.1038695957387625	0.0	-611.1349553943072
3000	-611.3849046426326	-0.24994924832535173	-611.1349553943072	1.0	1.0	0.24994924832535173	0.0	-611.1349553943072
4000	-612.2816805525116	-1.1467251582043851	-611.1349553943072	1.0	1.0	1.1467251582043851	0.0	-611.1349553943072
5000	-612.8431362566114	-1.7081808623038848	-611.1349553943076	1.0	1.0	1.7081808623038848	0.0	-611.1349553943076
6000	-611.6619299742625	-0.5269745799553585	-611.1349553943072	1.0	1.0	0.5269745799553585	0.0	-611.1349553943072
7000	-612.2124902584164	-1.077534864109257	-611.1349553943072	1.0	1.0	1.077534864109257	0.0	-611.1349553943072
8000	-612.1334815967382	-0.9985262024309951	-611.1349553943072	1.0	1.0	0.9985262024309951	0.0	-611.1349553943072
9000	-613.2477988015992	-2.112843407291955	-611.1349553943072	1.0	1.0	2.112843407291955	0.0	-611.1349553943072
10000	-611.3792683168602	-0.24431292255297896	-611.1349553943072	1.0	1.0	0.24431292255297896	0.0	-611.1349553943072
11000	-613.4155066370907	-2.2805512427835195	-611.1349553943072	1.0	1.0	2.2805512427835195	0.0	-611.1349553943072
12000	-611.8026758988469	-0.667720504539707	-611.1349553943072	1.0	1.0	0.667720504539707	0.0	-611.1349553943072
13000	-611.5085859288449	-0.3736305345373879	-611.1349553943076	1.0	1.0	0.3736305345373879	0.0	-611.1349553943076
14000	-611.2753242548156	-0.14036886050831773	-611.1349553943072	1.0	1.0	0.14036886050831773	0.0	-611.1349553943072
15000	-611.1760934546179	-0.04113806031070758	-611.1349553943072	1.0	1.0	0.04113806031070758	0.0	-611.1349553943072
16000	-612.4311801077034	-1.296224713395902	-611.1349553943076	1.0	1.0	1.296224713395902	0.0	-611.1349553943076
17000	-611.7918079024104	-0.6568525081031399	-611.1349553943072	1.0	1.0	0.6568525081031399	0.0	-611.1349553943072
18000	-611.2011796031996	-0.06622420889206365	-611.1349553943076	1.0	1.0	0.06622420889206365	0.0	-611.1349553943076
19000	-612.3010225030512	-1.1660671087439733	-611.1349553943072	1.0	1.0	1.1660671087439733	0.0	-611.1349553943072
20000	-613.8193339768229	-2.6843785825153663	-611.1349553943076	1.0	1.0	2.6843785825153663	0.0	-611.1349553943076
21000	-611.2182735781306	-0.08331818382302235	-611.1349553943076	1.0	1.0	0.08331818382302235	0.0	-611.1349553943076
22000	-611.6814977079704	-0.5465423136631304	-611.1349553943072	1.0	1.0	0.5465423136631304	0.0	-611.1349553943072
23000	-611.4058040784174	-0.27084868411025753	-611.1349553943072	1.0	1.0	0.27084868411025753	0.0	-611.1349553943072
24000	-612.017134969734	-0.8821795754267828	-611.1349553943072	1.0	1.0	0.8821795754267828	0.0	-611.1349553943072
