node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
6,1,0.0217,631782.432683913,762665.532635147,633852.144429244,762159.277816344,0.0217,0,2020.23786284153,2020.25956284153,4861000
6,7,0.01385,631782.432683913,762665.532635147,639668.868499241,763066.014333108,0.01385,0,2020.23786284153,2020.25171284153,4861000
7,2,0.0461013661199937,639668.868499241,763066.014333108,648675.589367747,758910.214387746,0.0599513661199937,0.01385,2020.25171284153,2020.29781420765,4861000
7,8,0.00238,639668.868499241,763066.014333108,639663.168431831,763108.653590841,0.01623,0.01385,2020.25171284153,2020.25409284153,4861000
8,3,6.36611999368236e-06,639663.168431831,763108.653590841,639651.659972352,763118.45853703,0.0162363661199937,0.01623,2020.25409284153,2020.25409920765,4861000
8,9,0.01093,639663.168431831,763108.653590841,641225.01135637,754124.440087526,0.02716,0.01623,2020.25409284153,2020.26502284153,4861000
9,4,5.3661199936883e-06,641225.01135637,754124.440087526,641216.898663972,754130.474655306,0.0271653661199937,0.02716,2020.26502284153,2020.26502820765,4861000
9,5,0.00273736611999368,641225.01135637,754124.440087526,635457.07088652,757177.375261288,0.0298973661199937,0.02716,2020.26502284153,2020.26776020765,4861000
