node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
4,3,0.01445530601,642494.835679058,728002.674284406,643433.286646504,728999.98079488,0.01445530601,0,2020.19046272678,2020.20491803279,518000
4,5,0.027478,642494.835679058,728002.674284406,648780.758898681,732564.642178151,0.027478,0,2020.19046272678,2020.21794072678,518000
5,1,0.003370748634,648780.758898681,732564.642178151,651726.64083224,727306.84024272,0.030848748634,0.027478,2020.21794072678,2020.22131147541,518000
5,2,0.003370748634,648780.758898681,732564.642178151,649362.029226327,733177.458949548,0.030848748634,0.027478,2020.21794072678,2020.22131147541,518000
