# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 04 10:46:40 CEST 2020 [seed=1588582000520]
# -overwrite Clade_121.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
0	-8527921.953044627	-5.260245465476639	-8527916.692799162	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	1065217.3597315291	-8527916.692799162
1000	-61.629736724762665	10.204071167562322	-71.83380789232498	1.18609223377361E-6	3.914117709857473E-7	3.914117709857473E-7	1.8431336670606654E-7	-0.8371364169498016	2817838.8104376667	-5984022.205533704	-5984022.205533704	1.813333882840944E7	719073.622447694	-71.83380789232498
2000	-66.9875364571103	6.796005900811546	-73.78354235792185	7.792389543815176E-6	1.6987856356096425E-6	1.6987856356096425E-6	2.0814467456945032E-6	-0.4218136220132069	156105.72075042935	-127406.64953156664	-127406.64953156663	584418.7888167644	781280.3119394054	-73.78354235792185
3000	-62.424079945616484	9.46508447784048	-71.88916442345696	8.584709612537636E-6	2.062226141533334E-6	2.062226141533334E-6	2.7341205227417124E-6	-0.4256617790349079	142262.41128268244	-107302.24255459031	-107302.24255459032	446681.6585014892	782072.8630547309	-71.88916442345696
4000	-60.1503228666363	9.333648883721635	-69.48397175035794	1.3121340234166392E-5	-1.6001879992640573E-5	-1.6001879992640573E-5	2.841560901047917E-5	0.8287116161704431	243303.6745095889	137013.29434238552	137013.29434238552	112349.17725275099	956462.8206559164	-69.48397175035794
5000	-55.93921640749731	15.867721606637502	-71.80693801413481	3.9369968878186246E-5	-3.403888323360466E-5	-3.403888323360466E-5	4.0886248720411035E-5	0.8484067872697528	90647.87274403135	75466.75110275848	75466.7511027585	87286.1668775375	857256.1218380609	-71.80693801413481
6000	-58.14890798119756	12.5307035660885	-70.67961154728606	8.236402364431006E-5	-5.850305047956805E-5	-5.850305047956805E-5	4.739445319806667E-5	0.9363667332741894	98535.02099309815	121630.25244902859	121630.25244902857	171238.19880253804	811607.2589348372	-70.67961154728606
7000	-59.39824399890806	9.85105766852733	-69.24930166743539	2.231759040739475E-5	-2.3841218644643373E-5	-2.3841218644643373E-5	3.057063414143264E-5	0.9127515422451346	268495.1081885114	209392.14246340434	209392.14246340434	196010.45314330282	612529.803323931	-69.24930166743539
8000	-56.57949247031961	13.135316463164404	-69.71480893348401	1.4219270083237087E-5	-5.515823923805269E-6	-5.515823923805269E-6	4.530157608125305E-6	0.687250535023101	133274.34190451077	162272.0150371356	162272.0150371356	418321.83924615086	631887.3079625176	-69.71480893348401
9000	-56.84384657017916	13.922571716007347	-70.76641828618651	1.0885091362873455E-4	-1.0055627663651662E-4	-1.0055627663651662E-4	1.0422094802551839E-4	0.944094864188707	84527.64347969531	81555.43834715387	81555.43834715387	88282.74347874813	734520.3404467755	-70.76641828618651
10000	-57.53530267148715	12.98605051588904	-70.52135318737619	6.91728922197212E-4	-6.499827935933469E-4	-6.499827935933469E-4	6.180578587473876E-4	0.9940753994264392	122366.74659735928	128687.43382290493	128687.43382290493	136952.5790160151	619005.8561932419	-70.52135318737619
11000	-60.36150175056582	10.533834379545851	-70.89533613011167	8.842565020053196E-4	-7.791399857638228E-4	-7.791399857638228E-4	6.997533661625279E-4	0.9904985953084005	59795.98803952308	66579.8087193862	66579.8087193862	75562.32491991988	589447.0758919726	-70.89533613011167
12000	-56.03770882929321	14.14058116853472	-70.17828999782793	0.0035688467391468	-0.003171107193491889	-0.003171107193491889	0.0028225200020987906	0.999144862629609	163904.90515324235	184147.5076858855	184147.50768588547	207244.40778146897	610869.6483180916	-70.17828999782793
13000	-54.40440251332369	14.548698767038932	-68.95310128036262	1.1390904616875062E-4	-9.709983619849733E-5	-9.709983619849733E-5	8.578315021450991E-5	0.9822869950406656	250024.75406832696	283008.52329269785	283008.5232926978	332000.87876560946	731598.0750771823	-68.95310128036262
14000	-61.58317938078339	14.06454770412235	-75.64772708490574	0.0035506145384523067	-0.0032215786554075703	-0.0032215786554075703	0.0029352216826595123	0.9979218279282359	67832.28971595917	74449.93268731784	74449.93268731785	82053.87533924532	781868.1516168996	-75.64772708490574
15000	-55.77327704129762	14.38585266353208	-70.1591297048297	7.7208596429374E-4	-6.467002609448164E-4	-6.467002609448164E-4	5.496393009422097E-4	0.9927303927343366	89407.68474419098	105196.2131445537	105196.2131445537	125592.21724621073	737993.5189661394	-70.1591297048297
16000	-55.766189649365344	15.51705557802929	-71.28324522739463	0.0032497070427872105	-0.002896420631354461	-0.002896420631354461	0.0025940487874186392	0.9975862548339594	63820.29838038125	71259.42650912137	71259.42650912137	79951.18446707743	670420.0559629421	-71.28324522739463
17000	-52.334548630392796	16.76001989351669	-69.09456852390949	1.2985711796664596E-5	-7.212777348929727E-6	-7.212777348929727E-6	6.227091613905286E-6	0.8020972338251724	215925.61012452593	250104.45426597513	250104.4542659751	450282.0765210448	634066.1943808489	-69.09456852390949
18000	-57.46294912877267	15.155966916943122	-72.61891604571579	1.226482854912647E-4	-9.273897645143261E-5	-9.273897645143261E-5	8.588462917863459E-5	0.9035950333353788	44428.79624787499	47974.60416842754	47974.60416842754	63446.92569969403	645307.318482088	-72.61891604571579
19000	-57.864220523223054	11.947654342967342	-69.8118748661904	2.676281144063628E-4	-2.662571163188638E-4	-2.662571163188638E-4	2.676856537345482E-4	0.9947702962382043	358177.4863838999	356266.02817305905	356266.028173059	358100.49573591346	682320.704568302	-69.8118748661904
20000	-57.30693059369442	13.364021880749377	-70.6709524744438	6.0949203559490426E-5	-8.074271070156648E-5	-8.074271070156648E-5	1.0914315505494346E-4	0.9899677708104141	821842.2747024542	607988.4074746841	607988.4074746842	458944.3293023603	694333.709638191	-70.6709524744438
21000	-55.56231405873277	15.836601582445468	-71.39891564117823	6.989469353232942E-5	-6.030453568461797E-5	-6.030453568461797E-5	6.506384649737369E-5	0.894248063039985	71421.77060402834	66197.38834873651	66197.38834873651	76724.67947474329	891492.3641506936	-71.39891564117823
22000	-55.895903236103194	13.521783828370406	-69.4176870644736	1.4182464492876214E-5	-1.0955664097692039E-5	-1.0955664097692039E-5	1.0390398545060386E-5	0.902499048523551	380114.9868847695	400794.2618127886	400794.2618127886	518841.2438006266	796207.5821746859	-69.4176870644736
23000	-56.60602338429105	12.711793844546792	-69.31781722883784	1.6337898085293438E-4	-1.4975480364439492E-4	-1.4975480364439492E-4	1.3985607827500093E-4	0.990699623021309	330595.95136102434	353994.8523678265	353994.85236782645	386200.08707283385	658608.7305243093	-69.31781722883784
24000	-56.52373569642894	15.204268902895745	-71.72800459932469	0.001109305191568404	-9.511812879415313E-4	-9.511812879415313E-4	8.337670382823085E-4	0.9890435483396635	41365.16259971394	47190.362332583034	47190.362332583034	55035.26466633589	738895.7375343273	-71.72800459932469
25000	-63.939706288473865	8.29138548659271	-72.23109177506657	1.6987105483986538E-4	-1.74519330583618E-4	-1.74519330583618E-4	1.949551861557323E-4	0.958995237287665	73284.63568263073	65602.69471970129	65602.69471970129	63855.3844729187	782084.9629868878	-72.23109177506657
26000	-55.8928114947649	12.93490881328431	-68.82772030804921	9.16904920087506E-5	-7.976292201237824E-5	-7.976292201237824E-5	7.198972632084829E-5	0.9817561773065561	301654.37848798203	334225.9499472677	334225.9499472677	384205.3553153587	635248.9992373564	-68.82772030804921
27000	-52.880888108826454	16.33224517558148	-69.21313328440793	2.8063960879369656E-4	-2.4893470225478614E-4	-2.4893470225478614E-4	2.239888755398452E-4	0.9928822228280472	251203.11047099167	279179.809085869	279179.809085869	314736.8032471688	752975.8882602793	-69.21313328440793
