node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,startProvince,endProvince,startCommune,endCommune
12,1,0.144461967181504,678631.53123762,635617.474126429,638449.465755395,627900.924338203,0.144461967181504,0,2020.0686527869,2020.21311475408,Namur,Hainaut,5081,7100
12,13,0.05347371079,678631.53123762,635617.474126429,703268.828477018,640286.437983069,0.05347371079,0,2020.0686527869,2020.12212649769,Namur,Liège,5081,4210
13,14,0.000166289214100002,703268.828477018,640286.437983069,737890.005427029,646951.421164534,0.0536400000041,0.05347371079,2020.12212649769,2020.1222927869,Liège,Liège,4210,4030
13,17,0.049425892,703268.828477018,640286.437983069,700263.511047625,638289.336629265,0.10289960279,0.05347371079,2020.12212649769,2020.17155238969,Liège,Liège,4210,4217
17,18,0.000470397218599997,700263.511047625,638289.336629265,662011.082803828,632306.949556729,0.1033700000086,0.10289960279,2020.17155238969,2020.17202278691,Liège,Hainaut,4217,6221
18,19,0.00408,662011.082803828,632306.949556729,658434.865274945,634054.716684941,0.1074500000086,0.1033700000086,2020.17202278691,2020.17610278691,Hainaut,Hainaut,6221,6211
14,15,0.05743566521,737890.005427029,646951.421164534,739505.399417277,648175.829798181,0.1110756652141,0.0536400000041,2020.1222927869,2020.17972845211,Liège,Liège,4030,4020
15,16,0.000544334787500003,739505.399417277,648175.829798181,740314.029077142,656349.826220494,0.1116200000016,0.1110756652141,2020.17972845211,2020.1802727869,Liège,Liège,4020,4680
15,4,0.000599416736104266,739505.399417277,648175.829798181,739460.047409104,647139.366156411,0.111675081950204,0.1110756652141,2020.17972845211,2020.18032786885,Liège,Liège,4020,4030
16,2,0.0000550819485742732,740314.029077142,656349.826220494,739454.820288686,656797.226904939,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,Liège,Liège,4680,4680
16,3,0.0000550819485742732,740314.029077142,656349.826220494,741017.497414422,656020.0513305,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,Liège,Liège,4680,4680
19,20,0.00546000000000001,658434.865274945,634054.716684941,657000.451985152,634482.807267391,0.1129100000086,0.1074500000086,2020.17610278691,2020.18156278691,Hainaut,Hainaut,6211,6210
17,6,0.0524913261615043,700263.511047625,638289.336629265,773135.884139294,644384.961592499,0.155390928951504,0.10289960279,2020.17155238969,2020.22404371585,Liège,Liège,4217,4700
20,21,0.04515,657000.451985152,634482.807267391,656637.913782518,639976.143839398,0.1580600000086,0.1129100000086,2020.18156278691,2020.22671278691,Hainaut,BrabantWallon,6210,1495
21,10,0.0000631693803942734,656637.913782518,639976.143839398,696445.997637854,671619.376521847,0.158123169388994,0.1580600000086,2020.22671278691,2020.22677595629,BrabantWallon,VlaamsBrabant,1495,3350
19,8,0.0506731693815043,658434.865274945,634054.716684941,644955.58944315,671904.458949216,0.158123169390104,0.1074500000086,2020.17610278691,2020.22677595629,Hainaut,Bruxelles,6211,1082
20,9,0.0506776502515043,657000.451985152,634482.807267391,657644.111877437,633057.422942842,0.163587650260104,0.1129100000086,2020.18156278691,2020.23224043716,Hainaut,Hainaut,6210,6211
21,11,0.0191888524415043,656637.913782518,639976.143839398,648568.521832618,637170.223797116,0.177248852450104,0.1580600000086,2020.22671278691,2020.24590163935,BrabantWallon,Hainaut,1495,6230
14,5,0.123608852481504,737890.005427029,646951.421164534,738775.909736448,646203.546158964,0.177248852485604,0.0536400000041,2020.1222927869,2020.24590163939,Liège,Liège,4030,4032
18,7,0.0984690163715043,662011.082803828,632306.949556729,659810.870949878,622516.226417834,0.201839016380104,0.1033700000086,2020.17202278691,2020.27049180328,Hainaut,Hainaut,6221,6200
26,27,0.000199923969000003,697518.166018303,694235.229092356,697070.488144886,692667.77650414,0.000199923969000003,0,2020.18135286292,2020.18155278689,Limburg,Limburg,3980,3980
26,28,0.000199923969000003,697518.166018303,694235.229092356,698054.613183371,696013.166655775,0.000199923969000003,0,2020.18135286292,2020.18155278689,Limburg,Limburg,3980,3980
28,24,0.0397586885198546,698054.613183371,696013.166655775,704434.325019145,709959.205824593,0.0399586124888546,0.000199923969000003,2020.18155278689,2020.22131147541,Limburg,Antwerpen,3980,2400
27,23,0.0479554098398546,697070.488144886,692667.77650414,685173.330251615,679229.418318732,0.0481553338088546,0.000199923969000003,2020.18155278689,2020.22950819673,Limburg,VlaamsBrabant,3980,3390
27,22,0.0588843715798546,697070.488144886,692667.77650414,707001.323415998,694149.03138225,0.0590842955488546,0.000199923969000003,2020.18155278689,2020.24043715847,Limburg,Limburg,3980,3583
28,25,0.0616166120198546,698054.613183371,696013.166655775,671965.519730309,721119.803803148,0.0618165359888546,0.000199923969000003,2020.18155278689,2020.24316939891,Limburg,Antwerpen,3980,2390
33,29,0.08226914921,699085.229386826,699654.35916396,695353.545273786,697353.72300408,0.08226914921,0,2020.1609002497,2020.24316939891,Antwerpen,Antwerpen,2450,2430
33,34,0.000064692527990004,699085.229386826,699654.35916396,699121.940385593,699655.30592449,0.000064692527990004,0,2020.1609002497,2020.16096494223,Antwerpen,Antwerpen,2450,2450
34,35,0.0000478446596999943,699121.940385593,699655.30592449,694160.295309631,698792.223421745,0.000112537187689998,0.000064692527990004,2020.16096494223,2020.16101278689,Antwerpen,Antwerpen,2450,2430
35,31,0.06849540984,694160.295309631,698792.223421745,613182.421859828,662980.332399111,0.06860794702769,0.000112537187689998,2020.16101278689,2020.22950819673,Antwerpen,Oost-Vlaanderen,2430,9500
34,30,0.07673997581,699121.940385593,699655.30592449,724593.368594872,707891.200844704,0.07680466833799,0.000064692527990004,2020.16096494223,2020.23770491804,Antwerpen,Limburg,2450,3900
35,32,0.08215661202,694160.295309631,698792.223421745,670568.901970233,717075.024161637,0.08226914920769,0.000112537187689998,2020.16101278689,2020.24316939891,Antwerpen,Antwerpen,2430,2980
41,42,0.0028,665200.999932122,685315.841122327,657867.322208432,685012.27854806,0.0028,0,2020.22118278689,2020.22398278689,VlaamsBrabant,VlaamsBrabant,3190,1982
