node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,0.06328987432,635467.090933764,738895.914823999,635664.136375935,739045.686487967,0.06328987432,0,2020.19354072677,2020.25683060109,500000
5,6,0.013602,635467.090933764,738895.914823999,650381.18891972,763595.455831693,0.013602,0,2020.19354072677,2020.20714272677,500000
6,2,0.04968787432,650381.18891972,763595.455831693,650190.124959448,763483.958462578,0.06328987432,0.013602,2020.20714272677,2020.25683060109,500000
6,7,0.010799,650381.18891972,763595.455831693,622608.985580605,739799.859449783,0.024401,0.013602,2020.20714272677,2020.21794172677,500000
7,3,0.003369748634,622608.985580605,739799.859449783,630833.1809497,710488.906015016,0.027770748634,0.024401,2020.21794172677,2020.2213114754,500000
7,4,0.003369748634,622608.985580605,739799.859449783,622713.897443521,739914.240687457,0.027770748634,0.024401,2020.21794172677,2020.2213114754,500000
