X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,634063.840766509,783234.610452651,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,9523000,NA,Liège,NA,4750
2,15,16,0.000359999999999999,634063.840766509,783234.610452651,648397.054637065,775233.705548881,0.000359999999999999,0,2020.22366271585,2020.22402271585,9523000,NA,Liège,NA,4730
3,16,17,0.05209,648397.054637065,775233.705548881,646413.47040903,777640.237137231,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,9523000,Liège,Liège,4730,4700
4,16,18,0.00784,648397.054637065,775233.705548881,648877.37007529,774803.828725867,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,9523000,Liège,Liège,4730,4730
6,17,3,0.0162374535500016,646413.47040903,777640.237137231,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,9523000,Liège,Liège,4700,4700
8,18,19,0.02251,648877.37007529,774803.828725867,659577.212366014,766541.121892331,0.03071,0.0082,2020.23186271585,2020.25437271585,9523000,Liège,Liège,4730,4720
9,19,20,0.00244,659577.212366014,766541.121892331,659219.616195348,766558.702675987,0.03315,0.03071,2020.25437271585,2020.25681271585,9523000,Liège,Liège,4720,4720
10,19,21,0.00273,659577.212366014,766541.121892331,659639.754447734,768186.420134989,0.03344,0.03071,2020.25437271585,2020.25710271585,9523000,Liège,NA,4720,NA
11,20,5,0.0000184535500016361,659219.616195348,766558.702675987,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,9523000,Liège,Liège,4720,4720
12,20,6,0.0000184535500016361,659219.616195348,766558.702675987,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,9523000,Liège,Liège,4720,4720
13,21,22,0.00244,659639.754447734,768186.420134989,659219.616195348,766558.702675987,0.03588,0.03344,2020.25710271585,2020.25954271585,9523000,NA,Liège,NA,4720
15,22,8,0.0000204535500016381,659219.616195348,766558.702675987,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,9523000,Liège,Liège,4720,4760
17,23,9,0.0000174535500016421,644551.105637469,778632.015051306,644602.295578747,778648.891159856,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,9523000,Liège,Liège,4700,4700
18,23,24,0.01164,644551.105637469,778632.015051306,650770.935627819,772524.070667045,0.08031,0.06867,2020.29233271585,2020.30397271585,9523000,Liège,Liège,4700,4730
19,24,25,0.00231000000000001,650770.935627819,772524.070667045,657910.777395171,765209.510509241,0.08262,0.08031,2020.30397271585,2020.30628271585,9523000,Liège,Liège,4730,4850
20,24,10,0.00477045355000164,650770.935627819,772524.070667045,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,9523000,Liège,Liège,4730,4837
21,25,26,0.00244,657910.777395171,765209.510509241,659219.616195348,766558.702675987,0.08506,0.08262,2020.30628271585,2020.30872271585,9523000,Liège,Liège,4850,4720
