X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,642413.397330798,775665.170142843,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,7723000,Liège,Liège,4700,4750
2,15,16,0.000359999999999999,642413.397330798,775665.170142843,645222.018589937,773929.942272771,0.000359999999999999,0,2020.22366271585,2020.22402271585,7723000,Liège,Liège,4700,4700
4,16,18,0.00784,645222.018589937,773929.942272771,645411.715798335,773167.139898748,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,7723000,Liège,Liège,4700,4700
5,17,2,0.0326304535500016,643952.148631266,776995.91465315,642004.279437344,776063.346164795,0.0850804535500016,0.05245,2020.27611271585,2020.3087431694,7723000,Liège,Liège,4700,4700
6,17,3,0.0162374535500016,643952.148631266,776995.91465315,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,7723000,Liège,Liège,4700,4700
7,18,4,0.0768804535500016,645411.715798335,773167.139898748,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,7723000,Liège,Liège,4700,4700
9,19,20,0.00244,658593.51375721,764492.583374347,656967.06380903,765334.760461795,0.03315,0.03071,2020.25437271585,2020.25681271585,7723000,Liège,Liège,4850,4720
11,20,5,0.0000184535500016361,656967.06380903,765334.760461795,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,7723000,Liège,Liège,4720,4720
12,20,6,0.0000184535500016361,656967.06380903,765334.760461795,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,7723000,Liège,Liège,4720,4720
13,21,22,0.00244,659823.75892511,767438.299211368,656967.06380903,765334.760461795,0.03588,0.03344,2020.25710271585,2020.25954271585,7723000,NA,Liège,4721,4720
14,21,7,0.00246045355000164,659823.75892511,767438.299211368,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,7723000,NA,NA,4721,4721
15,22,8,0.0000204535500016381,656967.06380903,765334.760461795,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,7723000,Liège,Liège,4720,4760
17,23,9,0.0000174535500016421,644445.317654303,778756.87552698,644602.295578747,778648.891159856,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,7723000,Liège,Liège,4700,4700
19,24,25,0.00231000000000001,655455.299244216,765949.863245049,657465.282274148,765385.52307819,0.08262,0.08031,2020.30397271585,2020.30628271585,7723000,Liège,Liège,4728,4720
20,24,10,0.00477045355000164,655455.299244216,765949.863245049,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,7723000,Liège,Liège,4728,4837
21,25,26,0.00244,657465.282274148,765385.52307819,656967.06380903,765334.760461795,0.08506,0.08262,2020.30628271585,2020.30872271585,7723000,Liège,Liège,4720,4720
22,25,27,0.00244,657465.282274148,765385.52307819,656967.06380903,765334.760461795,0.08506,0.08262,2020.30628271585,2020.30872271585,7723000,Liège,Liège,4720,4720
23,26,12,0.0000204535500016451,656967.06380903,765334.760461795,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,7723000,Liège,Liège,4720,4720
24,26,11,0.0000204535500016451,656967.06380903,765334.760461795,616567.188939974,790410.616604529,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,7723000,Liège,Liège,4720,4760
26,27,14,0.0000204535500016451,656967.06380903,765334.760461795,658531.374114447,765757.544950512,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,7723000,Liège,Liège,4720,4720
27,36,28,0.0000219999999999942,638315.892731687,770755.457533596,638342.365206904,770787.908618678,0.0000219999999999942,0,2020.16391242623,2020.16393442623,7723000,Liège,Liège,4837,4837
28,36,37,0.00849,638315.892731687,770755.457533596,644571.078791586,757017.518595363,0.00849,0,2020.16391242623,2020.17240242623,7723000,Liège,Liège,4837,4800
