X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,634283.985176387,780163.650205846,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,1756000,Liège,Liège,4750,4750
4,16,18,0.00784,635069.724867723,780067.71324708,653842.99881138,770894.874370327,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,1756000,Liège,Liège,4750,4731
6,17,3,0.0162374535500016,640789.446228561,777164.516493361,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,1756000,Liège,Liège,4700,4700
7,18,4,0.0768804535500016,653842.99881138,770894.874370327,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,1756000,Liège,Liège,4731,4700
8,18,19,0.02251,653842.99881138,770894.874370327,659126.24912176,766410.25199538,0.03071,0.0082,2020.23186271585,2020.25437271585,1756000,Liège,Liège,4731,4720
9,19,20,0.00244,659126.24912176,766410.25199538,659722.792018497,765981.015122462,0.03315,0.03071,2020.25437271585,2020.25681271585,1756000,Liège,Liège,4720,4850
10,19,21,0.00273,659126.24912176,766410.25199538,657951.223063012,767600.396259394,0.03344,0.03071,2020.25437271585,2020.25710271585,1756000,Liège,Liège,4720,4728
11,20,5,0.0000184535500016361,659722.792018497,765981.015122462,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,1756000,Liège,Liège,4850,4720
13,21,22,0.00244,657951.223063012,767600.396259394,659722.792018497,765981.015122462,0.03588,0.03344,2020.25710271585,2020.25954271585,1756000,Liège,Liège,4728,4850
14,21,7,0.00246045355000164,657951.223063012,767600.396259394,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,1756000,Liège,NA,4728,4721
15,22,8,0.0000204535500016381,659722.792018497,765981.015122462,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,1756000,Liège,Liège,4850,4760
16,22,23,0.03279,659722.792018497,765981.015122462,644573.996045045,778676.75435796,0.06867,0.03588,2020.25954271585,2020.29233271585,1756000,Liège,Liège,4850,4700
21,25,26,0.00244,656430.698190524,765071.51940622,659722.792018497,765981.015122462,0.08506,0.08262,2020.30628271585,2020.30872271585,1756000,Liège,Liège,4721,4850
23,26,12,0.0000204535500016451,659722.792018497,765981.015122462,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,1756000,Liège,Liège,4850,4720
24,26,11,0.0000204535500016451,659722.792018497,765981.015122462,616567.188939974,790410.616604529,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,1756000,Liège,Liège,4850,4760
25,27,13,0.0000204535500016451,659722.792018497,765981.015122462,658631.237906772,765994.897038398,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,1756000,Liège,Liège,4850,4720
26,27,14,0.0000204535500016451,659722.792018497,765981.015122462,658531.374114447,765757.544950512,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,1756000,Liège,Liège,4850,4720
27,36,28,0.0000219999999999942,638275.2641221,770861.807487871,638342.365206904,770787.908618678,0.0000219999999999942,0,2020.16391242623,2020.16393442623,1756000,Liège,Liège,4837,4837
28,36,37,0.00849,638275.2641221,770861.807487871,642809.019104175,762450.890758069,0.00849,0,2020.16391242623,2020.17240242623,1756000,Liège,Liège,4837,4834
30,37,39,0.01337,642809.019104175,762450.890758069,649991.575936339,745399.920178723,0.02186,0.00849,2020.17240242623,2020.18577242623,1756000,Liège,Liège,4834,4632
32,38,30,0.0000208961700301491,644243.153100314,760171.178152672,644328.116767948,760083.212471651,0.0109508961700301,0.01093,2020.17484242623,2020.1748633224,1756000,Liège,Liège,4830,4830
34,39,40,0.01122,649991.575936339,745399.920178723,651396.924254997,742986.912291156,0.03308,0.02186,2020.18577242623,2020.19699242623,1756000,Liège,Liège,4632,4671
37,41,33,0.0000208961700301491,644243.153100314,760171.178152672,661283.761418774,754693.907387243,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,1756000,Liège,Limburg,4830,3793
38,41,32,0.0000208961700301491,644243.153100314,760171.178152672,643303.267765298,771679.734280998,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,1756000,Liège,Liège,4830,4837
40,42,35,0.0597148961700301,648212.540233166,739248.971066112,650002.13291104,732988.073192809,0.10111489617003,0.0414,2020.20531242623,2020.2650273224,1756000,Liège,Liège,4020,4430
41,47,48,0.00244,660766.828746583,754612.372633725,661270.08295594,754705.214547258,0.00244,0,2020.19699255191,2020.19943255191,1756000,Limburg,Limburg,3790,3793
42,47,49,0.00832,660766.828746583,754612.372633725,611883.077207917,781557.982098226,0.00832,0,2020.19699255191,2020.20531255191,1756000,Limburg,Liège,3790,4770
44,48,44,0.0000207704901184907,661270.08295594,754705.214547258,661283.761418774,754693.907387243,0.00246077049011849,0.00244,2020.19943255191,2020.1994533224,1756000,Limburg,Limburg,3793,3793
45,49,45,0.00233677049011848,611883.077207917,781557.982098226,611789.585609064,781623.756248252,0.0106567704901185,0.00832,2020.20531255191,2020.2076493224,1756000,Liège,Liège,4770,4770
46,49,46,0.0597147704901185,611883.077207917,781557.982098226,650002.13291104,732988.073192809,0.0680347704901185,0.00832,2020.20531255191,2020.2650273224,1756000,Liège,Liège,4770,4430
47,53,50,0.021763,644246.521327998,737547.516207651,644107.601292089,737707.589729516,0.021763,0,2020.18042279235,2020.20218579235,1756000,Liège,Liège,4053,4053
50,54,52,0.0000305683099446133,645483.710806981,732812.994360061,645496.130779693,732833.298234528,0.0190305683099446,0.019,2020.19942279235,2020.19945336066,1756000,Liège,Liège,4000,4000
