X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,633915.107667815,783524.970529579,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,2206000,Liège,Liège,4750,4750
2,15,16,0.000359999999999999,633915.107667815,783524.970529579,632662.290887343,784118.16691946,0.000359999999999999,0,2020.22366271585,2020.22402271585,2206000,Liège,Liège,4750,4750
3,16,17,0.05209,632662.290887343,784118.16691946,646863.17819651,774068.199489063,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,2206000,Liège,Liège,4750,4700
4,16,18,0.00784,632662.290887343,784118.16691946,633946.764286962,783486.004691457,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,2206000,Liège,Liège,4750,4750
8,18,19,0.02251,633946.764286962,783486.004691457,660322.474890625,764562.145924392,0.03071,0.0082,2020.23186271585,2020.25437271585,2206000,Liège,Liège,4750,4851
9,19,20,0.00244,660322.474890625,764562.145924392,657293.69487215,765136.581953897,0.03315,0.03071,2020.25437271585,2020.25681271585,2206000,Liège,Liège,4851,4850
11,20,5,0.0000184535500016361,657293.69487215,765136.581953897,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2206000,Liège,Liège,4850,4720
12,20,6,0.0000184535500016361,657293.69487215,765136.581953897,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2206000,Liège,Liège,4850,4720
14,21,7,0.00246045355000164,659590.028984449,764835.862469943,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,2206000,Liège,NA,4851,4721
15,22,8,0.0000204535500016381,657293.69487215,765136.581953897,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,2206000,Liège,Liège,4850,4760
16,22,23,0.03279,657293.69487215,765136.581953897,644899.12733536,778528.260145735,0.06867,0.03588,2020.25954271585,2020.29233271585,2206000,Liège,Liège,4850,4700
18,23,24,0.01164,644899.12733536,778528.260145735,652581.762050498,769139.191597127,0.08031,0.06867,2020.29233271585,2020.30397271585,2206000,Liège,Liège,4700,4711
19,24,25,0.00231000000000001,652581.762050498,769139.191597127,658664.829930481,764825.494843496,0.08262,0.08031,2020.30397271585,2020.30628271585,2206000,Liège,Liège,4711,4850
20,24,10,0.00477045355000164,652581.762050498,769139.191597127,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,2206000,Liège,Liège,4711,4837
22,25,27,0.00244,658664.829930481,764825.494843496,657293.69487215,765136.581953897,0.08506,0.08262,2020.30628271585,2020.30872271585,2206000,Liège,Liège,4850,4850
23,26,12,0.0000204535500016451,657293.69487215,765136.581953897,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2206000,Liège,Liège,4850,4720
24,26,11,0.0000204535500016451,657293.69487215,765136.581953897,616567.188939974,790410.616604529,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2206000,Liège,Liège,4850,4760
