X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,633053.834503308,783654.106814848,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,6760000,Liège,Liège,4750,4750
3,16,17,0.05209,632594.720511416,783811.28780634,634842.473585833,777643.394559213,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,6760000,Liège,Liège,4750,4750
4,16,18,0.00784,632594.720511416,783811.28780634,633664.862268919,783251.150502154,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,6760000,Liège,Liège,4750,4750
5,17,2,0.0326304535500016,634842.473585833,777643.394559213,642004.279437344,776063.346164795,0.0850804535500016,0.05245,2020.27611271585,2020.3087431694,6760000,Liège,Liège,4750,4700
6,17,3,0.0162374535500016,634842.473585833,777643.394559213,643955.040848366,776959.006924124,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,6760000,Liège,Liège,4750,4700
7,18,4,0.0768804535500016,633664.862268919,783251.150502154,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,6760000,Liège,Liège,4750,4700
8,18,19,0.02251,633664.862268919,783251.150502154,658646.754956484,765410.93744701,0.03071,0.0082,2020.23186271585,2020.25437271585,6760000,Liège,Liège,4750,4850
11,20,5,0.0000184535500016361,659710.982349139,766115.219882471,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,6760000,Liège,Liège,4720,4720
12,20,6,0.0000184535500016361,659710.982349139,766115.219882471,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,6760000,Liège,Liège,4720,4720
13,21,22,0.00244,657197.57768729,768518.764977121,659710.982349139,766115.219882471,0.03588,0.03344,2020.25710271585,2020.25954271585,6760000,Liège,Liège,4728,4720
14,21,7,0.00246045355000164,657197.57768729,768518.764977121,659898.132876325,767912.368129012,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,6760000,Liège,NA,4728,4721
15,22,8,0.0000204535500016381,659710.982349139,766115.219882471,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,6760000,Liège,Liège,4720,4760
17,23,9,0.0000174535500016421,644502.237764847,778647.641879712,644602.295578747,778648.891159856,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,6760000,Liège,Liège,4700,4700
18,23,24,0.01164,644502.237764847,778647.641879712,660957.886749041,764012.833119195,0.08031,0.06867,2020.29233271585,2020.30397271585,6760000,Liège,Liège,4700,4851
23,26,12,0.0000204535500016451,659710.982349139,766115.219882471,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,6760000,Liège,Liège,4720,4720
25,27,13,0.0000204535500016451,659710.982349139,766115.219882471,658631.237906772,765994.897038398,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,6760000,Liège,Liège,4720,4720
27,36,28,0.0000219999999999942,638260.222800347,770867.003398633,638342.365206904,770787.908618678,0.0000219999999999942,0,2020.16391242623,2020.16393442623,6760000,Liège,Liège,4837,4837
28,36,37,0.00849,638260.222800347,770867.003398633,633544.930742823,772470.690816096,0.00849,0,2020.16391242623,2020.17240242623,6760000,Liège,Liège,4837,4950
30,37,39,0.01337,633544.930742823,772470.690816096,635347.762726363,779027.519980361,0.02186,0.00849,2020.17240242623,2020.18577242623,6760000,Liège,Liège,4950,4750
31,38,29,0.00275289617003015,644155.396457733,760249.90142015,653499.721368531,760313.572091665,0.0136828961700301,0.01093,2020.17484242623,2020.1775953224,6760000,Liège,Liège,4830,4841
32,38,30,0.0000208961700301491,644155.396457733,760249.90142015,644328.116767948,760083.212471651,0.0109508961700301,0.01093,2020.17484242623,2020.1748633224,6760000,Liège,Liège,4830,4830
33,39,31,0.0000198961700301342,635347.762726363,779027.519980361,650777.196483673,743982.01764556,0.0218798961700301,0.02186,2020.18577242623,2020.1857923224,6760000,Liège,Liège,4750,4671
35,40,41,0.00244,638570.612528134,775666.419116584,644155.396457733,760249.90142015,0.03552,0.03308,2020.19699242623,2020.19943242623,6760000,Liège,Liège,4950,4830
37,41,33,0.0000208961700301491,644155.396457733,760249.90142015,661283.761418774,754693.907387243,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,6760000,Liège,Limburg,4830,3793
39,42,34,0.00233689617003014,627010.232653989,764725.843941539,611789.585609064,781623.756248252,0.0437368961700301,0.0414,2020.20531242623,2020.2076493224,6760000,Liège,Liège,4960,4770
40,42,35,0.0597148961700301,627010.232653989,764725.843941539,650002.13291104,732988.073192809,0.10111489617003,0.0414,2020.20531242623,2020.2650273224,6760000,Liège,Liège,4960,4430
41,47,48,0.00244,643215.07487553,772884.070015599,643367.765556321,771636.2432906,0.00244,0,2020.19699255191,2020.19943255191,6760000,Liège,Liège,4837,4837
42,47,49,0.00832,643215.07487553,772884.070015599,650449.579231024,733154.272243939,0.00832,0,2020.19699255191,2020.20531255191,6760000,Liège,Liège,4837,4430
