X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
1,15,1,0.000381000000000006,646023.071921281,775843.019750367,633594.635219964,783592.583915909,0.000381000000000006,0,2020.22366271585,2020.22404371585,2566000,Liège,Liège,4730,4750
2,15,16,0.000359999999999999,646023.071921281,775843.019750367,646071.471037902,776007.331084342,0.000359999999999999,0,2020.22366271585,2020.22402271585,2566000,Liège,Liège,4730,4700
4,16,18,0.00784,646071.471037902,776007.331084342,651816.113906381,772804.748228476,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,2566000,Liège,Liège,4700,4730
5,17,2,0.0326304535500016,643471.908613487,776279.909399622,642004.279437344,776063.346164795,0.0850804535500016,0.05245,2020.27611271585,2020.3087431694,2566000,Liège,Liège,4700,4700
7,18,4,0.0768804535500016,651816.113906381,772804.748228476,645727.449992765,783006.262035757,0.0850804535500016,0.0082,2020.23186271585,2020.3087431694,2566000,Liège,Liège,4730,4700
8,18,19,0.02251,651816.113906381,772804.748228476,661124.153779054,766472.251526183,0.03071,0.0082,2020.23186271585,2020.25437271585,2566000,Liège,NA,4730,4720
10,19,21,0.00273,661124.153779054,766472.251526183,661095.000103256,767283.080509998,0.03344,0.03071,2020.25437271585,2020.25710271585,2566000,NA,NA,4720,4721
11,20,5,0.0000184535500016361,659354.474643856,766309.384549292,657012.79581117,765314.036763368,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2566000,Liège,Liège,4720,4720
12,20,6,0.0000184535500016361,659354.474643856,766309.384549292,659721.667105112,766007.327830952,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,2566000,Liège,Liège,4720,4720
15,22,8,0.0000204535500016381,659354.474643856,766309.384549292,621391.079976291,788523.748538198,0.0359004535500016,0.03588,2020.25954271585,2020.2595631694,2566000,Liège,Liège,4720,4760
16,22,23,0.03279,659354.474643856,766309.384549292,644418.752655756,778729.559133042,0.06867,0.03588,2020.25954271585,2020.29233271585,2566000,Liège,Liège,4720,4700
18,23,24,0.01164,644418.752655756,778729.559133042,663794.933691901,763587.59926143,0.08031,0.06867,2020.29233271585,2020.30397271585,2566000,Liège,NA,4700,NA
19,24,25,0.00231000000000001,663794.933691901,763587.59926143,661889.627911963,764150.280094333,0.08262,0.08031,2020.30397271585,2020.30628271585,2566000,NA,Liège,NA,NA
20,24,10,0.00477045355000164,663794.933691901,763587.59926143,646907.942200398,762960.499727477,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,2566000,NA,Liège,NA,4837
21,25,26,0.00244,661889.627911963,764150.280094333,659354.474643856,766309.384549292,0.08506,0.08262,2020.30628271585,2020.30872271585,2566000,Liège,Liège,NA,4720
22,25,27,0.00244,661889.627911963,764150.280094333,659354.474643856,766309.384549292,0.08506,0.08262,2020.30628271585,2020.30872271585,2566000,Liège,Liège,NA,4720
23,26,12,0.0000204535500016451,659354.474643856,766309.384549292,656864.291915067,765324.685370526,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2566000,Liège,Liège,4720,4720
25,27,13,0.0000204535500016451,659354.474643856,766309.384549292,658631.237906772,765994.897038398,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2566000,Liège,Liège,4720,4720
26,27,14,0.0000204535500016451,659354.474643856,766309.384549292,658531.374114447,765757.544950512,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,2566000,Liège,Liège,4720,4720
28,36,37,0.00849,638919.853952045,770365.952025038,627833.984357706,778716.945405721,0.00849,0,2020.16391242623,2020.17240242623,2566000,Liège,Liège,4837,4750
29,37,38,0.00244,627833.984357706,778716.945405721,644394.047832531,759898.170152238,0.01093,0.00849,2020.17240242623,2020.17484242623,2566000,Liège,Liège,4750,4830
31,38,29,0.00275289617003015,644394.047832531,759898.170152238,653499.721368531,760313.572091665,0.0136828961700301,0.01093,2020.17484242623,2020.1775953224,2566000,Liège,Liège,4830,4841
