node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
15,16,0.05579,608594.66980485,671443.067565196,650758.224996391,738936.997793689,0.05579,0,2020.15592278688,2020.21171278688,8047000
15,17,0.00329,608594.66980485,671443.067565196,608204.313200069,671505.751769525,0.00329,0,2020.15592278688,2020.15921278688,8047000
16,1,0.05331453552,650758.224996391,738936.997793689,666349.635425274,654043.657478507,0.10910453552,0.05579,2020.21171278688,2020.2650273224,8047000
16,2,0.001401967213,650758.224996391,738936.997793689,649104.386470734,740153.598086897,0.057191967213,0.05579,2020.21171278688,2020.21311475409,8047000
17,3,0.06483092896,608204.313200069,671505.751769525,620432.977910598,658583.169136658,0.06812092896,0.00329,2020.15921278688,2020.22404371584,8047000
17,18,0.00351,608204.313200069,671505.751769525,606848.292120169,686063.117491479,0.0068,0.00329,2020.15921278688,2020.16272278688,8047000
18,4,0.1023045355,606848.292120169,686063.117491479,670284.495414578,645170.253476721,0.1091045355,0.0068,2020.16272278688,2020.26502732238,8047000
18,19,0.00319999999999999,606848.292120169,686063.117491479,644514.655633215,745704.789373438,0.01,0.0068,2020.16272278688,2020.16592278688,8047000
19,20,0.00323000000000001,644514.655633215,745704.789373438,642640.404843238,747374.559525497,0.01323,0.01,2020.16592278688,2020.16915278688,8047000
19,5,0.07451437158,644514.655633215,745704.789373438,691114.180966652,585154.821229447,0.08451437158,0.01,2020.16592278688,2020.24043715846,8047000
20,21,0.00294,642640.404843238,747374.559525497,625610.63696082,615935.973486703,0.01617,0.01323,2020.16915278688,2020.17209278688,8047000
20,6,0.07401661202,642640.404843238,747374.559525497,645085.970886377,731695.03554941,0.08724661202,0.01323,2020.16915278688,2020.2431693989,8047000
21,7,0.04102196721,625610.63696082,615935.973486703,648335.679954518,736253.642340872,0.05719196721,0.01617,2020.17209278688,2020.21311475409,8047000
21,22,0.03259,625610.63696082,615935.973486703,637676.992315032,755096.837434786,0.04876,0.01617,2020.17209278688,2020.20468278688,8047000
22,8,0.002967486339,637676.992315032,755096.837434786,632090.544655765,738165.035810473,0.051727486339,0.04876,2020.20468278688,2020.20765027322,8047000
22,23,0.01639,637676.992315032,755096.837434786,627062.132782038,618825.3775897,0.06515,0.04876,2020.20468278688,2020.22107278688,8047000
23,24,0.00546000000000001,627062.132782038,618825.3775897,631771.759110713,654210.966908801,0.07061,0.06515,2020.22107278688,2020.22653278688,8047000
23,26,0.01639,627062.132782038,618825.3775897,627062.132782038,618825.3775897,0.08154,0.06515,2020.22107278688,2020.23746278688,8047000
24,25,0.0084,631771.759110713,654210.966908801,633598.239473363,650771.308583949,0.07901,0.07061,2020.22653278688,2020.23493278688,8047000
24,9,0.002975409836,631771.759110713,654210.966908801,682937.020643861,657620.078042803,0.073585409836,0.07061,2020.22653278688,2020.22950819672,8047000
25,11,3.98907102699964e-05,633598.239473363,650771.308583949,633542.740459249,651968.980855716,0.07904989071027,0.07901,2020.23493278688,2020.23497267759,8047000
25,10,3.98907102699964e-05,633598.239473363,650771.308583949,620426.126903507,655247.594087469,0.07904989071027,0.07901,2020.23493278688,2020.23497267759,8047000
26,14,0.002974371585,627062.132782038,618825.3775897,712528.158669968,583502.647140803,0.084514371585,0.08154,2020.23746278688,2020.24043715847,8047000
26,27,0.00294,627062.132782038,618825.3775897,625610.63696082,615935.973486703,0.08448,0.08154,2020.23746278688,2020.24040278688,8047000
27,12,3.43715847500037e-05,625610.63696082,615935.973486703,627495.375271991,618707.269207543,0.08451437158475,0.08448,2020.24040278688,2020.24043715846,8047000
27,13,3.43715847500037e-05,625610.63696082,615935.973486703,618728.597259347,617194.036859842,0.08451437158475,0.08448,2020.24040278688,2020.24043715846,8047000
