node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,0.0506488743298547,657788.292710726,766051.837839028,657639.165599063,765889.085372043,0.0506488743298547,0,2020.20618172677,2020.2568306011,728000
5,6,0.00846,657788.292710726,766051.837839028,657872.538176818,766162.037412296,0.00846,0,2020.20618172677,2020.21464172677,728000
6,2,0.0421888743298547,657872.538176818,766162.037412296,658158.505482456,766562.929162245,0.0506488743298547,0.00846,2020.21464172677,2020.2568306011,728000
6,7,0.003994,657872.538176818,766162.037412296,657898.73864863,766178.323898485,0.012454,0.00846,2020.21464172677,2020.21863572677,728000
7,3,0.0409271147598547,657898.73864863,766178.323898485,615493.55349295,785629.360417704,0.0533811147598547,0.012454,2020.21863572677,2020.25956284153,728000
7,4,0.0409271147598547,657898.73864863,766178.323898485,660504.996233143,767409.876759615,0.0533811147598547,0.012454,2020.21863572677,2020.25956284153,728000
