node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
6,1,0.0330200546399937,644762.900182589,759712.960175732,641963.904839894,759459.855915495,0.0330200546399937,0,2020.22654278689,2020.25956284153,5239000
6,7,0.02027,644762.900182589,759712.960175732,643876.620252742,759211.151571769,0.02027,0,2020.22654278689,2020.24681278689,5239000
7,2,0.0510014207599937,643876.620252742,759211.151571769,648536.810773477,758764.520463772,0.0712714207599937,0.02027,2020.24681278689,2020.29781420765,5239000
7,8,0.00723,643876.620252742,759211.151571769,639159.185097527,764611.979959989,0.0275,0.02027,2020.24681278689,2020.25404278689,5239000
8,3,5.55737703736917e-05,639159.185097527,764611.979959989,638967.765993635,764686.435640909,0.0275555737703737,0.0275,2020.25404278689,2020.25409836066,5239000
8,9,0.01093,639159.185097527,764611.979959989,640678.458549358,755556.351853798,0.03843,0.0275,2020.25404278689,2020.26497278689,5239000
9,4,5.45355191136909e-05,640678.458549358,755556.351853798,640646.422740475,755409.644678868,0.0384845355191137,0.03843,2020.26497278689,2020.26502732241,5239000
9,5,0.00278677595599369,640678.458549358,755556.351853798,636905.798247009,751736.618370627,0.0412167759559937,0.03843,2020.26497278689,2020.26775956285,5239000
