mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches
15126.4870425078	763.715654770505	6.85746232702529	232245.155440786	10305.3771705587	9.76659742476153
16967.1073821638	763.738427823132	6.73793023528189	244095.587345339	10411.0898481886	9.33344145177996
13944.4401253602	761.639248385542	7.27270641445532	219194.296697935	10229.1577794744	10.3017686849693
14581.4235909641	752.930787072607	7.0745814469911	228838.267840142	10106.5207851282	9.91362082863072
14205.5351092634	761.037420445984	7.27791177133275	243719.116490834	10399.2150330554	9.63722099577091
14430.0494786483	744.986549106115	7.10405882573996	237473.706626022	10162.6199270404	9.63432627255782
14845.9601158053	763.702982516256	6.92242955330069	242174.751319837	10486.5228144795	9.43152691074466
13306.2930018926	753.167694243624	7.52501281528706	210925.136368186	10335.3590290552	10.5350903245916
14891.444394514	747.969881151452	7.02339491510114	260575.867640763	10457.4273979548	9.03644586945637
14764.8611249545	746.944495770482	7.06433011255999	257287.534339262	10189.4821097733	9.08360816578352
13491.1525142487	751.593386472181	7.54396927094296	230836.067688266	10307.652458281	9.76030509608056
14072.6855347211	746.965452299801	7.23806284009312	227219.006367827	10047.9701571698	9.9432876760357
14322.693043542	739.463429446842	7.17459677493823	235852.678873172	10078.9634982712	9.72543797677196
14267.0092750637	787.72977460461	7.13109164672024	227445.381308391	11717.5996526187	9.93491462660164
16522.6332654698	768.64352979644	6.31816700552022	260929.263577956	10653.0767629777	8.89647546458211
15256.6565143185	758.250573901272	6.79101722497498	251036.350508812	10291.9130146212	9.21295331167588
13615.674473478	765.491087846612	7.36809381713899	210795.240100831	10564.4430332301	10.5309392360354
16455.1411196518	776.398331096028	6.56453551455456	253373.083698182	10684.2051389639	9.07149124129076
12876.3341098709	749.009036081893	7.75147158505614	198792.200398274	10464.1399547487	11.2356304487877
12431.0509144619	756.027772939149	7.97197250375944	196033.942570702	9975.13820885765	11.2681564810519
12474.061780093	758.994674094558	7.93624719439811	193702.387752267	10078.4221070906	11.3666154701105
13815.6647623838	788.405691216037	7.48985327144719	199666.299127123	11071.9654105252	11.0720086414914
13793.9650676885	751.082835293576	7.39323100858205	198084.148464813	10211.8166639929	11.1358461365323
13197.8779540781	758.13647655725	7.56214042307023	204396.460414262	9830.11734426243	10.8651668805622
14056.3985181292	759.024642447775	7.2643578007885	206167.42318994	9652.89876954137	11.0306651424848
13419.3568588712	808.962691536448	7.5103980116533	221266.962642794	11257.320967135	10.1207252642917
13178.4845537844	768.271448135032	7.62237785497047	214765.402334456	9932.53226869126	10.3707339347311
14434.6255045284	775.663452347789	7.01347346001001	226388.438941367	10208.7263807323	9.86863020883475
12319.8323599489	734.205699531913	8.04828187461977	202670.905236848	9615.1239991828	10.9281972192849
13782.4929266931	768.563047384689	7.45327013274873	232355.015886455	10639.8906296184	9.87946964180754
14554.9187925679	807.894908594049	7.08081744589495	241472.044135603	11261.9364282759	9.4107727521041
12862.9384555023	741.329975183658	7.66543615801863	195075.568914879	9308.4351912985	11.2728438827886
13885.0186724945	754.346711736718	7.30913944550719	224403.885589872	9775.49604112404	9.99009628920469
12504.1098728176	752.780503325547	7.92118846217737	202176.90913669	10207.2984702641	10.9859259230622
12500.723224514	738.434194909805	7.92010507787335	202468.781944252	9680.35199160546	10.8994015792258
11694.5704517337	743.03303447171	8.40615118613137	195292.935651166	9949.82490052587	11.3405894663019
11457.7804243465	760.716666424527	8.57843941324804	193775.38798214	10127.3002981084	11.4182045236981
11592.9910778665	738.384366228171	8.45465413591608	191134.248609919	9890.15659889093	11.5389307595858
11320.8883754148	725.176118901347	8.82062374145016	197661.226119162	10096.8830341446	11.6078566011958
11244.86359016	726.842881413315	8.73777690156357	195128.157571943	9911.92860756496	11.3453828348438
11835.0075287207	758.627964424365	8.49500513877762	201143.510504892	10768.5959328305	11.4988712868846
11808.4719432987	762.351132545995	8.3364401877472	197677.152820505	10502.5982477195	11.1923194545274
12038.7912316068	754.03418287914	8.22475853697992	200069.429894977	10393.8530002381	11.1004598303532
11179.8204789089	739.640497672422	8.80606268869857	196182.184356387	10128.4573917582	11.3194188019998
11349.7982193718	759.695500694172	8.73915503478723	200715.415566761	10378.0365303324	11.2370772899377
11466.8094846843	741.274410411724	8.58391732556048	194375.918478274	10482.4711970935	11.4006058268786
11966.761338173	741.488135649678	8.23279519138191	202523.503856894	10014.7647015094	10.917742216766
11986.2564557181	765.879621521438	8.25759986482074	206929.448950272	10826.3389484766	10.7967368297131
12972.3166301974	760.472741838416	7.69574574400869	210684.211211389	10738.8260629699	10.6139628857094
13715.5042919877	767.922711491218	7.30450565733226	205495.348237642	10776.8338905704	10.6885653615348
12205.5362482394	745.50814248831	8.14288975090516	208533.561384863	10132.2708614997	10.7122954221388
11640.7736905005	764.469875134685	8.49351459052651	209357.056231598	10968.6545844469	10.6502769459575
15556.9277902771	775.856012538733	6.99322774937398	271835.46521292	11132.1020533769	8.65283349925408
14698.9938869219	793.82280215733	7.24598830478526	246469.209421245	11125.9080860832	9.38717633292827
14171.1808896814	770.756449347998	7.51513110592513	241996.807734577	10867.3071043158	9.51539126539547
13161.4806570265	807.005268960843	7.99664608765175	229382.391013345	12011.9042487266	9.99592665830755
12498.6124090419	747.835611866882	8.35854801464298	220077.982789109	10205.0335974617	10.3371980518516
12683.8155399669	750.303524461576	8.24093783345061	221190.463199155	10411.327939697	10.2828174756979
11850.3975391782	777.186053162535	8.30468468459526	197039.04650376	10376.1266899836	11.2555027800435
11616.0434259804	731.523995655833	8.45900422013953	192735.047247803	9788.25780834234	11.50416826516
11313.3690443349	727.896723105343	8.67101543092693	195029.478839635	9880.69486215505	11.364324285701
12326.3733290201	737.641210715567	8.0224113280908	202787.540759509	10090.617098835	11.0000994753495
12341.127051409	740.443282879498	8.02685863450833	205077.934314784	10265.1927490474	10.9080778588135
12080.9164577035	758.798578209458	8.18919688966859	204597.344163369	10362.7520229273	10.8932482813141
12021.7231514711	794.495883992007	8.00181826776263	194007.12337642	10898.6909360179	10.9094662320459
11697.5018664004	747.051462865934	8.41247533970785	198718.41771293	10068.6438206035	11.1962962771081
11489.5259468626	744.819027649658	8.5473743350897	197415.008704529	10291.9672701683	11.235143941661
12456.9921793886	758.568803973955	7.92622163187507	200667.764024405	9945.21976997671	11.0566007359517
13406.2311414647	756.081449040161	7.42723712634826	205646.613631153	9813.36952324736	10.8313304871439
12283.7388393365	762.979158855559	7.96264045699897	197777.410519755	10157.0623833213	11.0420873649195
11954.7041467498	767.287148866097	8.2673207326732	208482.93490193	10488.5804763632	10.7287853839293
12420.9335020254	761.627608226998	8.06072942816029	227689.089674906	10080.010350616	9.9996946881949
12191.4623356475	749.877328006814	8.12785913842844	207495.923982408	10181.8437391349	10.7781984430232
12652.2352698249	750.8750071357	7.86288396626866	211615.839034617	9825.24366724731	10.5799290992528
12338.5138634055	766.143268463879	8.026333110086	206973.483214374	10669.3898792699	10.7863891516204
12762.6463151937	771.333848314344	7.80428124593059	212164.640594617	10470.9475123745	10.5349243863304
13739.2471924881	779.399019433386	7.36750442471412	224971.871267646	10999.0523235709	9.98843527792286
13478.3948236948	751.449912938301	7.46996117841234	221265.809391099	10649.7606391029	10.1032197634507
14237.2331794594	785.84979727277	7.29580345843252	253868.310789175	11234.4827551412	9.40097787962574
13543.9110415592	783.335296189092	7.45087254823268	225622.804071958	10931.549807323	10.0132666340375
14265.7963415409	752.453170628615	7.54010226971437	213711.782280959	10150.2450965332	10.4319448890064
15922.7292619756	746.165554292145	7.91140259701602	221372.550736558	10146.2361303862	10.1338436980048
13226.1603124319	740.860747614065	7.8102797750993	207657.125332219	10422.0290361935	10.6983684205288
11745.5870506578	759.124072951403	8.40952938674548	196567.596511001	10737.6324078478	11.2582630546062
13166.6321651803	763.29422375682	7.81918661211493	206719.734261856	11247.5383168815	10.7579301362663
