"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID"
"3",16,17,0.05209,50.496344534508,6.25387551223557,50.5850552309816,6.13860385811289,0.05245,0.000359999999999999,2020.22402271585,2020.27611271585,3484000
"4",16,18,0.00784,50.496344534508,6.25387551223557,50.5238022072676,6.26872561437696,0.0082,0.000359999999999999,2020.22402271585,2020.23186271585,3484000
"6",17,3,0.0162374535500016,50.5850552309816,6.13860385811289,50.5923378796964,6.16192969285673,0.0686874535500016,0.05245,2020.27611271585,2020.2923501694,3484000
"8",18,19,0.02251,50.5238022072676,6.26872561437696,50.7058187007334,6.00087285712838,0.03071,0.0082,2020.23186271585,2020.25437271585,3484000
"9",19,20,0.00244,50.7058187007334,6.00087285712838,50.7088549934315,6.00021442190177,0.03315,0.03071,2020.25437271585,2020.25681271585,3484000
"10",19,21,0.00273,50.7058187007334,6.00087285712838,50.7121976389039,6.01269695835363,0.03344,0.03071,2020.25437271585,2020.25710271585,3484000
"11",20,5,1.84535500016361e-05,50.7088549934315,6.00021442190177,50.7121242084629,6.00158624935543,0.0331684535500016,0.03315,2020.25681271585,2020.2568311694,3484000
"13",21,22,0.00244,50.7121976389039,6.01269695835363,50.7088549934315,6.00021442190177,0.03588,0.03344,2020.25710271585,2020.25954271585,3484000
"14",21,7,0.00246045355000164,50.7121976389039,6.01269695835363,50.7375339615329,6.03929068496444,0.0359004535500016,0.03344,2020.25710271585,2020.2595631694,3484000
"16",22,23,0.03279,50.7088549934315,6.00021442190177,50.5974907934071,6.18704100326292,0.06867,0.03588,2020.25954271585,2020.29233271585,3484000
"17",23,9,1.74535500016421e-05,50.5974907934071,6.18704100326292,50.5977837723161,6.18601363534418,0.0686874535500016,0.06867,2020.29233271585,2020.2923501694,3484000
"18",23,24,0.01164,50.5974907934071,6.18704100326292,50.6808971147001,5.93013840295377,0.08031,0.06867,2020.29233271585,2020.30397271585,3484000
"19",24,25,0.00231000000000001,50.6808971147001,5.93013840295377,50.7222699492656,6.00363459383756,0.08262,0.08031,2020.30397271585,2020.30628271585,3484000
"20",24,10,0.00477045355000164,50.6808971147001,5.93013840295377,50.6217662006537,5.96517626742092,0.0850804535500016,0.08031,2020.30397271585,2020.3087431694,3484000
"21",25,26,0.00244,50.7222699492656,6.00363459383756,50.7088549934315,6.00021442190177,0.08506,0.08262,2020.30628271585,2020.30872271585,3484000
"22",25,27,0.00244,50.7222699492656,6.00363459383756,50.7088549934315,6.00021442190177,0.08506,0.08262,2020.30628271585,2020.30872271585,3484000
"23",26,12,2.04535500016451e-05,50.7088549934315,6.00021442190177,50.7107873830051,6.00169047754586,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3484000
"24",26,11,2.04535500016451e-05,50.7088549934315,6.00021442190177,50.3431099277132,6.3415145227342,0.0850804535500016,0.08506,2020.30872271585,2020.3087431694,3484000
"27",36,28,2.19999999999942e-05,50.5447783626392,6.06833979163703,50.5432066775559,6.07296889952636,2.19999999999942e-05,0,2020.16391242623,2020.16393442623,3484000
"29",37,38,0.00244,50.5754466235189,5.97248050620608,50.5938599390333,5.92975520335826,0.01093,0.00849,2020.17240242623,2020.17484242623,3484000
"30",37,39,0.01337,50.5754466235189,5.97248050620608,50.6598471399018,5.69289249818081,0.02186,0.00849,2020.17240242623,2020.18577242623,3484000
"31",38,29,0.00275289617003015,50.5938599390333,5.92975520335826,50.6815218205647,5.92974889494299,0.0136828961700301,0.01093,2020.17484242623,2020.1775953224,3484000
"32",38,30,2.08961700301491e-05,50.5938599390333,5.92975520335826,50.5991308150599,5.9237558221305,0.0109508961700301,0.01093,2020.17484242623,2020.1748633224,3484000
"34",39,40,0.01122,50.6598471399018,5.69289249818081,50.5994178727449,5.764200837857,0.03308,0.02186,2020.18577242623,2020.19699242623,3484000
"35",40,41,0.00244,50.5994178727449,5.764200837857,50.5938599390333,5.92975520335826,0.03552,0.03308,2020.19699242623,2020.19943242623,3484000
"36",40,42,0.00832,50.5994178727449,5.764200837857,50.5231455774699,5.89445791790621,0.0414,0.03308,2020.19699242623,2020.20531242623,3484000
"37",41,33,2.08961700301491e-05,50.5938599390333,5.92975520335826,50.7525267669374,5.85246309183622,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,3484000
"38",41,32,2.08961700301491e-05,50.5938599390333,5.92975520335826,50.5876082962303,6.08717633711698,0.0355408961700301,0.03552,2020.19943242623,2020.1994533224,3484000
"40",42,35,0.0597148961700301,50.5231455774699,5.89445791790621,50.6546387583031,5.54235922017789,0.10111489617003,0.0414,2020.20531242623,2020.2650273224,3484000
"41",47,48,0.00244,50.5868865939559,6.08605629254704,50.587795521881,6.08725260641155,0.00244,0,2020.19699255191,2020.19943255191,3484000
"42",47,49,0.00832,50.5868865939559,6.08605629254704,50.5881565170141,6.09238175914017,0.00832,0,2020.19699255191,2020.20531255191,3484000
"43",48,43,2.10000000000071e-05,50.587795521881,6.08725260641155,50.5876082962303,6.08717633711698,0.002461,0.00244,2020.19943255191,2020.19945355191,3484000
"44",48,44,2.07704901184907e-05,50.587795521881,6.08725260641155,50.7525267669374,5.85246309183622,0.00246077049011849,0.00244,2020.19943255191,2020.1994533224,3484000
"45",49,45,0.00233677049011848,50.5881565170141,6.09238175914017,50.302213396884,6.21642821396834,0.0106567704901185,0.00832,2020.20531255191,2020.2076493224,3484000
"46",49,46,0.0597147704901185,50.5881565170141,6.09238175914017,50.6546387583031,5.54235922017789,0.0680347704901185,0.00832,2020.20531255191,2020.2650273224,3484000
