node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,0.082848,645555.132645962,722534.473749445,645475.805167229,722068.605987602,0.082848,0,2020.17398260109,2020.25683060109,9298000
5,6,0.03203,645555.132645962,722534.473749445,658166.385989672,759344.568902938,0.03203,0,2020.17398260109,2020.20601260109,9298000
6,2,0.0180307213100143,658166.385989672,759344.568902938,658082.876653976,759267.291260263,0.0500607213100143,0.03203,2020.20601260109,2020.2240433224,9298000
6,7,0.01695,658166.385989672,759344.568902938,654346.297870392,742181.333420626,0.04898,0.03203,2020.20601260109,2020.22296260109,9298000
7,3,0.0420647213100143,654346.297870392,742181.333420626,654414.060446384,742463.772057467,0.0910447213100143,0.04898,2020.22296260109,2020.2650273224,9298000
7,4,0.0311357213100143,654346.297870392,742181.333420626,642194.815864786,738952.547159649,0.0801157213100143,0.04898,2020.22296260109,2020.2540983224,9298000
