node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
6,1,0.057431,695406.025796427,645407.452745387,693822.45838987,638265.019344676,0.057431,0,2020.20486408197,2020.26229508197,4951000
6,7,0.000293000000000015,695406.025796427,645407.452745387,695458.700740341,645703.960365871,0.000293000000000015,0,2020.20486408197,2020.20515708197,4951000
7,2,0.0434764808699322,695458.700740341,645703.960365871,696616.909394222,651073.482081308,0.0437694808699323,0.000293000000000015,2020.20515708197,2020.24863356284,4951000
7,8,0.00056599999999999,695458.700740341,645703.960365871,695479.649805322,645873.032283284,0.000859000000000006,0.000293000000000015,2020.20515708197,2020.20572308197,4951000
8,3,0.0292494808699322,695479.649805322,645873.032283284,672817.010518605,531155.447579934,0.0301084808699322,0.000859000000000006,2020.20572308197,2020.23497256284,4951000
8,9,0.04287,695479.649805322,645873.032283284,695384.29386995,645683.630692482,0.043729,0.000859000000000006,2020.20572308197,2020.24859308197,4951000
9,4,4.04808699322398e-05,695384.29386995,645683.630692482,695417.485869444,645601.969002141,0.0437694808699322,0.043729,2020.24859308197,2020.24863356284,4951000
9,5,0.0191664808699322,695384.29386995,645683.630692482,708792.81852146,645378.256369105,0.0628954808699322,0.043729,2020.24859308197,2020.26775956284,4951000
