node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
8,10,0.000198934003200001,628806.421944775,627331.141544979,628147.642526425,627432.590099641,0.000198934003200001,0,2020.15477379278,2020.15497272678,321000
8,9,0.000198934003200001,628806.421944775,627331.141544979,628147.642526425,627432.590099641,0.000198934003200001,0,2020.15477379278,2020.15497272678,321000
9,1,0.0226229016400143,628147.642526425,627432.590099641,584275.317855786,653234.66501426,0.0228218356432143,0.000198934003200001,2020.15497272678,2020.17759562842,321000
9,2,0.0198906612000143,628147.642526425,627432.590099641,627707.152126429,628032.562030586,0.0200895952032143,0.000198934003200001,2020.15497272678,2020.17486338798,321000
10,11,0.0197904644,628147.642526425,627432.590099641,628428.824832743,627304.861062909,0.0199893984032,0.000198934003200001,2020.15497272678,2020.17476319118,321000
10,12,0.008661,628147.642526425,627432.590099641,627343.149679808,628071.27615139,0.0088599340032,0.000198934003200001,2020.15497272678,2020.16363372678,321000
11,3,0.000100196806014256,628428.824832743,627304.861062909,710330.201391463,625622.478040172,0.0200895952092143,0.0199893984032,2020.17476319118,2020.17486338799,321000
11,4,0.00283243724301425,628428.824832743,627304.861062909,694876.378245711,603448.771801489,0.0228218356462143,0.0199893984032,2020.17476319118,2020.17759562842,321000
12,5,0.0221586229500143,627343.149679808,628071.27615139,624291.354833794,652635.622046276,0.0310185569532143,0.0088599340032,2020.16363372678,2020.18579234973,321000
12,13,0.007286,627343.149679808,628071.27615139,621329.337051532,629255.228454058,0.0161459340032,0.0088599340032,2020.16363372678,2020.17091972678,321000
13,6,0.00394366120201426,621329.337051532,629255.228454058,619799.871472232,631619.713259612,0.0200895952052143,0.0161459340032,2020.17091972678,2020.17486338798,321000
13,7,0.00667590163901426,621329.337051532,629255.228454058,662350.068288215,598656.892528021,0.0228218356422143,0.0161459340032,2020.17091972678,2020.17759562842,321000
