hosp_10e5_habitants_20200531,hosp_10e5_habitants_20200901_20201130,hosp_10e5_habitants_20201130
hosp_10e5_habitants_20200531,0.69 [0.65-0.72],0.49 [0.48-0.49],0.68 [0.65-0.69]
hosp_10e5_habitants_20200901_20201130,0.42 [0.41-0.43],0.76 [0.75-0.77],0.68 [0.67-0.69]
hosp_10e5_habitants_20201130,0.6 [0.57-0.62],0.69 [0.67-0.71],0.75 [0.73-0.77]
hosp_10e5_habitants_20200901_20201130,0.68 [0.67-0.68],0.86 [0.86-0.87],0.89 [0.89-0.89]
