node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
8,1,0.0569881186895,681796.144254613,678579.143290139,694487.226383461,697153.724119429,0.0569881186895,0,2020.18618128022,2020.24316939891,3061000
8,9,0.000503052210500003,681796.144254613,678579.143290139,681856.460827638,678151.755145566,0.000503052210500003,0,2020.18618128022,2020.18668433243,3061000
9,10,0.03433845446,681856.460827638,678151.755145566,691790.274310426,606898.970561339,0.0348415066705,0.000503052210500003,2020.18668433243,2020.22102278689,3061000
9,7,0.0564850664795,681856.460827638,678151.755145566,682673.120871877,679274.988717182,0.05698811869,0.000503052210500003,2020.18668433243,2020.24316939891,3061000
10,11,0.00571,691790.274310426,606898.970561339,695155.07923972,602717.372694362,0.0405515066705,0.0348415066705,2020.22102278689,2020.22673278689,3061000
10,13,0.00823,691790.274310426,606898.970561339,691987.691385864,606491.654436971,0.0430715066705,0.0348415066705,2020.22102278689,2020.22925278689,3061000
11,2,4.31693983899903e-05,695155.07923972,602717.372694362,695150.500102222,602758.191752064,0.04059467606889,0.0405515066705,2020.22673278689,2020.22677595629,3061000
11,12,0.01093,695155.07923972,602717.372694362,695158.113468837,603337.046576387,0.0514815066705,0.0405515066705,2020.22673278689,2020.23766278689,3061000
12,3,4.2131146899993e-05,695158.113468837,603337.046576387,677032.892177544,654774.841439318,0.0515236378174,0.0514815066705,2020.23766278689,2020.23770491804,3061000
12,4,0.00277437158449999,695158.113468837,603337.046576387,691461.708845711,618692.613834045,0.054255878255,0.0514815066705,2020.23766278689,2020.24043715847,3061000
13,5,0.0139166120195,691987.691385864,606491.654436971,691957.555995569,606529.66484563,0.05698811869,0.0430715066705,2020.22925278689,2020.24316939891,3061000
13,6,0.0139166120195,691987.691385864,606491.654436971,648941.112995578,622443.115755442,0.05698811869,0.0430715066705,2020.22925278689,2020.24316939891,3061000
