NIS,popGreenArea,propUrbanArea
83034,0,0.105116887363086
23027,549.166666666667,0.324695459579181
91103,0,0.0599786877759172
91034,0,0.0866526904262753
82037,0,0.0454490438150569
91072,0,0.0396973887578297
91142,0,0.127847430690447
82014,0,0.0474713740458015
56029,0,0.033595922150139
91114,0,0.06388088376561
93010,0,0.0515711201727033
83031,0,0.0391535817777478
26088,0,0.0653710247349823
93018,0,0.0352885073915117
91013,0,0.0424384928600103
93014,0,0.0640344094335975
56016,0,0.0516460283902144
84075,0,0.04635079458505
93090,141.475,0.0518891272067316
84059,0,0.0431379525037801
91054,0,0.0403209892784319
84077,0,0.0579297245963913
82036,0,0.0473455562918784
82009,0,0.0257196162046908
84009,0,0.0542551654385204
91143,0,0.0509409794068381
84043,0,0.0551187980433263
84033,0,0.0231847280696695
84010,0,0.0334950801994878
81013,0,0.0512649800266312
84029,0,0.0194871794871795
81003,0,0.0498732037193576
85007,0,0.0398877882002279
85046,0,0.0543446672478931
85039,0,0.0292354740061162
81001,0,0.1058813658864
85034,0,0.044517724649629
85045,0,0.0579482343078696
85047,0,0.0419806243272336
21009,0,0.859099804305284
21014,0,0.747899159663866
21017,224.857142857143,0.318357862122386
21012,1740.39285714286,0.873949579831933
21013,0,0.931174089068826
21019,394.566037735849,0.802247191011236
21018,7082.5,0.809264305177112
41034,0,0.312895701432856
71024,0,0.239125377994883
84050,0,0.0548632900044823
46021,0,0.289874019491324
72030,0,0.119853194173644
12007,0,0.177019982623805
42008,0,0.231909113361324
36008,0,0.423001949317739
36007,0,0.314389359129383
23047,0,0.292746113989637
23094,354.309278350515,0.363405797101449
71017,0,0.0994318181818182
57018,0,0.0826765799256506
63003,0,0.302835741037988
64029,0,0.156144781144781
62118,0,0.30814639905549
63012,0,0.0421646746347942
13014,0,0.100360462910264
13035,0,0.100041990342221
11016,0,0.240463645943098
13002,0,0.0584415584415584
11053,0,0.120331950207469
13023,0,0.106702533064335
13037,0,0.12630014858841
11002,1469.09217877095,0.29685509944156
31043,0,0.192450996274097
13031,0,0.231806615776081
46003,0,0.112010972503429
31004,0,0.248569942797712
11057,0,0.186798296554394
13025,0,0.1799353316438
31006,0,0.0715782507996029
72037,0,0.220032088012835
11040,122.836298932384,0.452372938404578
13036,0,0.158544108574954
13017,0,0.179650679234821
61041,0,0.135315985130112
52011,5618.52777777778,0.598814613291877
72020,0,0.208223201174743
13006,0,0.213006941907198
35002,0,0.315825846579129
11056,0,0.214426877470356
13044,0,0.161630870040044
46024,0,0.196164866651973
13003,0,0.223776223776224
35005,0,0.1296904315197
13001,0,0.136963994933961
43010,0,0.151499266093521
31012,0,0.14526588845655
11050,0,0.373096446700508
11035,0,0.223242994947175
35014,0,0.128868880135059
72003,0,0.137274717870979
44045,0,0.0950879957972156
43005,0,0.277560339204175
43018,0,0.352081811541271
44019,0,0.217703349282297
46013,0,0.143287176399759
11004,0,0.249878699660359
11029,26099,0.724581724581725
72038,0,0.124967388468562
46025,0,0.248631159780986
38016,0,0.125748502994012
13012,0,0.191850594227504
11018,0,0.474426807760141
38014,0,0.23220675944334
71034,175.055555555556,0.309840425531915
71069,0,0.231288343558282
32010,0,0.0981533012901594
11038,0,0.268199233716475
32003,0,0.047843397478434
11037,0,0.257298367144978
85011,0,0.0310517078439314
85009,0,0.043609022556391
85024,0,0.0215970961887477
21015,3332.725,0.828387096774194
21016,1537.48148148148,0.696219035202086
21007,1172.6875,0.605678233438486
12009,0,0.301290609701825
71004,0,0.333079074497839
72039,0,0.202854230377166
37012,0,0.0901719104768083
13013,0,0.188190476190476
12035,0,0.287966804979253
12029,0,0.280113636363636
42010,0,0.23943661971831
36011,0,0.149173394848135
42006,0,0.314336283185841
38002,0,0.015110230369086
71037,0,0.211016002977298
21003,0,0.916107382550336
35006,0,0.166190998902305
11021,0,0.560855263157895
13021,0,0.195927352779307
11001,0,0.357207615593835
44034,0,0.222588623248145
41027,0,0.223522038855233
41024,0,0.296936114732725
73001,0,0.322190611664296
34025,0,0.218538055764883
24137,0,0.260435906908016
73032,0,0.239558970932175
23016,42847,0.438389197009887
45061,0,0.0972716488730724
24130,0,0.167200512491992
21008,3557.42857142857,0.718875502008032
34022,0,0.373373001115656
24016,0,0.22513591301567
41048,0,0.24422261725694
34002,0,0.255819421584764
13049,0,0.268896925858951
12002,0,0.225793327908869
12014,0,0.298564482519102
38008,0,0.154444444444444
13053,0,0.23569259518804
31033,0,0.25054704595186
24107,0,0.230283044792525
33029,0,0.138552841816937
21001,29928.5,0.525404801786711
73066,0,0.211760648387653
21005,8061.16666666667,0.861736334405145
23104,0,0.238585209003215
34027,0,0.357121348991268
41018,0,0.248783530879601
23077,0,0.313764183522447
34003,0,0.269748653500898
62011,0,0.180362299816225
45060,0,0.18516086671044
23098,2844.5,0.396761133603239
25005,0,0.167877529839128
24059,0,0.167104769057454
31005,1820.38461538462,0.25410593672236
11008,223.211764705882,0.515877147319105
13046,0,0.517417162276975
13019,0,0.186528497409326
