code_Postal,code_INS,nom,code_région,région 
1000,21004,BRUXELLES,3,Bruxelles
1020,21004,BRUXELLES,3,Bruxelles
1030,21015,SCHAERBEEK,3,Bruxelles
1040,21005,ETTERBEEK,3,Bruxelles
1041,21004,BRUXELLES,3,Bruxelles
1041,21004,BRUXELLES,3,Bruxelles
1050,21009,IXELLES,3,Bruxelles
1051,21004,BRUXELLES,3,Bruxelles
1051,21004,BRUXELLES,3,Bruxelles
1060,21013,SAINT-GILLES,3,Bruxelles
1070,21001,ANDERLECHT,3,Bruxelles
1071,21004,BRUXELLES,3,Bruxelles
1071,21004,BRUXELLES,3,Bruxelles
1080,21012,MOLENBEEK-SAINT-JEAN,3,Bruxelles
1081,21011,KOEKELBERG,3,Bruxelles
1082,21003,BERCHEM-SAINTE-AGATHE,3,Bruxelles
1083,21008,GANSHOREN,3,Bruxelles
1090,21010,JETTE,3,Bruxelles
1110,21010,JETTE,3,Bruxelles
1120,21004,BRUXELLES,3,Bruxelles
1130,21004,BRUXELLES,3,Bruxelles
1140,21006,EVERE,3,Bruxelles
1150,21019,WOLUWE-SAINT-PIERRE,3,Bruxelles
1160,21002,AUDERGHEM,3,Bruxelles
1170,21017,WATERMAEL-BOITSFORT,3,Bruxelles
1180,21016,UCCLE,3,Bruxelles
1190,21007,FOREST,3,Bruxelles
1200,21018,WOLUWE-SAINT-LAMBERT,3,Bruxelles
1210,21014,SAINT-JOSSE-TEN-NOODE,3,Bruxelles
1300,25112,WAVRE,2,Wallonie
1301,25112,WAVRE,2,Wallonie
1310,25050,LA HULPE,2,Wallonie
1315,25043,INCOURT,2,Wallonie
1320,25005,BEAUVECHAIN,2,Wallonie
1325,25018,CHAUMONT-GISTOUX,2,Wallonie
1330,25091,RIXENSART,2,Wallonie
1331,25091,RIXENSART,2,Wallonie
1332,25091,RIXENSART,2,Wallonie
1340,25121,OTTIGNIES-LOUVAIN-LA-NEUVE,2,Wallonie
1341,25121,OTTIGNIES-LOUVAIN-LA-NEUVE,2,Wallonie
1342,25121,OTTIGNIES-LOUVAIN-LA-NEUVE,2,Wallonie
