time,within_province_transitions_median,within_province_transitions_lower95HPD,within_province_transitions_higher95HPD,among_provinces_transitions_median,among_provinces_transitions_lower95HPD,among_provinces_transitions_higher95HPD
2020.09437710782,4,1,5,4,2,7
2020.09702581525,4,1,5,4,2,7
2020.09967452268,4,1,5,4,2,7
2020.10232323011,4,1,5,4,2,7
2020.10497193754,4,1,5,4,2,7
2020.10762064497,4,1,5,4,2,7
2020.11026935241,4,1,5,4,2,7
2020.11291805984,6,2,7,4,3,8
2020.11556676727,6,2,7,4,3,8
2020.1182154747,13,10,15,4,3,8
2020.12086418213,20,16,22,6,4,10
2020.12351288956,23,18,25,7,5,11
2020.126161597,21,16,23,7,5,11
2020.12881030443,21,16,23,7,5,11
2020.13145901186,21,16,23,7,5,11
2020.13410771929,24,19,26,10,7,14
2020.13675642672,33,28,35,11,8,16
2020.13940513415,37,32,40,13,10,18
2020.14205384159,43,37,46,15,11,20
2020.14470254902,49,43,53,21,16,26
2020.14735125645,59,52,63.025,23,18,29
2020.14999996388,67,61,72,24,19,31
2020.15264867131,72,65,78,29,24,36
2020.15529737874,90,82,96,38,32,45
2020.15794608618,104,97,110,45,39,52
2020.16059479361,130,122,136,50,44,58
2020.16324350104,140,132,146,54,47,61
2020.16589220847,159,150,166,59,52,67
2020.1685409159,171,162,179.025,62,54,71
2020.17118962334,177,167,185,66,58,75
2020.17383833077,177,167.975,186,68,60,77
2020.1764870382,181,172,190,68,60,77
2020.17913574563,199,189,208,72,63.975,81
2020.18178445306,210,200.975,219,77,68,86
2020.18443316049,222,213,231,79,70,88
2020.18708186793,237,226,247,79,70,88.025
2020.18973057536,247,236,256,79,70,88
2020.19237928279,256,245,264.025,74,65.975,83
2020.19502799022,250,240,259,65,57,74
2020.19767669765,231,221,240,60,52,69
2020.20032540508,236,226,245,60,52,68
2020.20297411252,250,239,258.025,60,53,69
2020.20562281995,266,255,275,63,55,72
2020.20827152738,282,271,291,66,58,75
2020.21092023481,287,276.975,296.025,73,64.975,82
2020.21356894224,293,281,302.025,74,66,83
2020.21621764967,293,282,304,78,69,87
2020.21886635711,287,276,297,82,74,92
2020.22151506454,284,273,294,85,77,94
2020.22416377197,298,286.975,308,89,81,98.025
2020.2268124794,302,291,313,88,79,97
2020.22946118683,299,289,310,88,79,97
2020.23210989426,287.5,277,298,88,79,97
2020.2347586017,276.5,266,287,88,79,96
2020.23740730913,277,266,287,87,78,95
2020.24005601656,277,266,287,87,78,95
2020.24270472399,257,246,267,87,79,95.025
2020.24535343142,241,231.975,250.025,82,74,90
2020.24800213885,217,209,226,73,65,80
2020.25065084629,210,201,218,63,57,71
2020.25329955372,206,198,214,60,54,67
2020.25594826115,194,186,202,53,46,60
2020.25859696858,186,178,193,46,41,53
2020.26124567601,163,155,170,38,33,45
2020.26389438344,130,123,136,25,21,29
2020.26654309088,103,97,108,22,18,25
2020.26919179831,98,93,103,21,18,24
2020.27184050574,95,90,100.025,20,17,23
2020.27448921317,87,82,91,17,14,19
2020.2771379206,84,80,88,17,14,19
2020.27978662803,70,66,73,14,11,16
2020.28243533547,59,55,62,13,11,16
2020.2850840429,44,40,46,7,5,8
2020.28773275033,37,33,39,5,4,6
2020.29038145776,39,35,41,4,2,5
2020.29303016519,41,37,43,4,2,5
2020.29567887262,44,40,45,3,2,4
2020.29832758006,42,38,43,3,2,4
2020.30097628749,42,38,43,3,2,4
2020.30362499492,42,38,43,3,2,4
2020.30627370235,42,38,43,3,2,4
2020.30892240978,42,38,43,3,2,4
2020.31157111721,39,35,40,3,2,4
2020.31421982465,24,20.975,25,3,2,3
2020.31686853208,24,20.975,25,3,2,3
2020.31951723951,23,19.975,24,3,2,3
2020.32216594694,23,19.975,24,3,2,3
2020.32481465437,22,19,23,3,2,3
2020.32746336181,21,19,22,3,2,3
2020.33011206924,14,14,15,3,2,3
2020.33276077667,13,13,14,3,2,3
2020.3354094841,15,15,16,3,2,3
2020.33805819153,15,15,16,3,2,3
2020.34070689896,15,15,16,3,2,3
2020.3433556064,15,15,16,3,2,3
2020.34600431383,15,15,16,3,2,3
2020.34865302126,15,15,16,3,2,3
2020.35130172869,15,15,16,3,2,3
2020.35395043612,15,15,16,3,2,3
2020.35659914355,15,15,16,3,2,3
