time,within_commune_transitions_median,within_commune_transitions_lower95HPD,within_commune_transitions_higher95HPD,among_communes_transitions_median,among_communes_transitions_lower95HPD,among_communes_transitions_higher95HPD
2020.09437710782,1,0,3,7,4,8
2020.09702581525,1,0,3,7,4,8
2020.09967452268,1,0,3,7,4,8
2020.10232323011,1,0,3,7,4,8
2020.10497193754,1,0,3,7,4,8
2020.10762064497,1,0,3,7,4,8
2020.11026935241,1,0,3,7,4,8
2020.11291805984,2,0,5,8,5,10
2020.11556676727,2,0,5,8,5,10
2020.1182154747,4,1,7,14,10,17
2020.12086418213,6,3,10,20,16,23
2020.12351288956,7,3,11,23,18,27
2020.126161597,6,3,9,22,18,25
2020.12881030443,6,3,9,22,18,25
2020.13145901186,6,3,9,22,18,25
2020.13410771929,7,4,11,27,23,30
2020.13675642672,9,5,14,35,30,39
2020.13940513415,10,6,15,39,34,44
2020.14205384159,11,6,17,46,40,51
2020.14470254902,14,9,20,55,49,61
2020.14735125645,17,11,23.025,65,58,70
2020.14999996388,21,15,28,70,63,77
2020.15264867131,23,17,31,78,71,85
2020.15529737874,30,23,39,97,88,104
2020.15794608618,38,30.975,47,111,102,119
2020.16059479361,49,40,58,131,122,140
2020.16324350104,54,45,63,140,130,149
2020.16589220847,59,49,69,159,148,168
2020.1685409159,64,54,74.025,170,159,180
2020.17118962334,66,56,76,178,166.975,188
2020.17383833077,66,56,76,180,169,190
2020.1764870382,67,57.975,78,182,171,192
2020.17913574563,74,64,85,197,185,208
2020.18178445306,79,69,90,208,196,218
2020.18443316049,84,73,95,217,204.975,227
2020.18708186793,88,76.975,99,229,216,240
2020.18973057536,92,80,103,234,221,246
2020.19237928279,97,85,109,233,220,245
2020.19502799022,92,80,104,223,211,235.025
2020.19767669765,84,73,94,208,196,220
2020.20032540508,82,71,93,214,202,225
2020.20297411252,87,76,98,224,212,235
2020.20562281995,92,81,103,238,226,249
2020.20827152738,100,89,111,249,237,260
2020.21092023481,103,92,115,259,247,270.025
2020.21356894224,106,94,117,264,251,275
2020.21621764967,105,94,116.025,269,257,280.025
2020.21886635711,102,91,114,270,257,282
2020.22151506454,100,89,112,271,259,284
2020.22416377197,107,95,119.025,283,270,295
2020.2268124794,108,96,121,285,272,297.025
2020.22946118683,106,95,119,284,271,296
2020.23210989426,101,90,112.025,278,266,289
2020.2347586017,95,84,107,271,259,282
2020.23740730913,96,85,107,272,259,283
2020.24005601656,97,86,109,271,258,282
2020.24270472399,88,78,100,259,247,270
2020.24535343142,82,71,93,245,234,255
2020.24800213885,71,61,81,223,212,233
2020.25065084629,67,57.975,77,208,197,218
2020.25329955372,65,56,75,204,193,214
2020.25594826115,62,52.975,71,187,177,197
2020.25859696858,61,52,70,173,163,183
2020.26124567601,53,45,62,150,140,159
2020.26389438344,43,35,51,113,104,121.025
2020.26654309088,32,25,39,94,86,102
2020.26919179831,30,23,37.025,90,82,98
2020.27184050574,28,21,35,88,81,96
2020.27448921317,26,20,32,79,72,86
2020.2771379206,26,20,31.025,76,69,82
2020.27978662803,20,15,25,63,57.975,69
2020.28243533547,17,12,22,55,50,60
2020.2850840429,13,9,17.025,37,33,42
2020.28773275033,11,6,16,31,26,35
2020.29038145776,13,7,18,30,24,36
2020.29303016519,14,7.975,19,31,25,37
2020.29567887262,15,9,21,32,26,38
2020.29832758006,15,9,20,30,25,36
2020.30097628749,15,9,20,29,24,35
2020.30362499492,15,9,20,29,24,35
2020.30627370235,15,9,20,29,24,35
2020.30892240978,15,9,20,29,24,35
2020.31157111721,13,7,18,28,23,34
2020.31421982465,7,3,11,19,15,23
2020.31686853208,7,3,11,19,15,23
2020.31951723951,7,3,11,18,14,22
2020.32216594694,7,3,11,18,14,22
2020.32481465437,7,3,11,17,13,21
2020.32746336181,7,3,11,16,12,21
2020.33011206924,4,2,6,13,11,15
2020.33276077667,2,1,4,14,12,15
2020.3354094841,3,2,5,15,13,16
2020.33805819153,3,2,5,15,13,16
2020.34070689896,3,2,5,15,13,16
2020.3433556064,3,2,5,15,13,16
2020.34600431383,3,2,5,15,13,16
2020.34865302126,3,2,5,15,13,16
2020.35130172869,3,2,5,15,13,16
2020.35395043612,3,2,5,15,13,16
2020.35659914355,3,2,5,15,13,16
