CD_REFNIS,CD_SECT,MS_PROP
11001,P,0.0046318479
11001,S,0.18207954
11001,T,0.51445456
11001,Z,0.2988340521
11002,P,0.0043694873
11002,S,0.1431576322
11002,T,0.5382980684
11002,Z,0.314174812
11004,P,0.0185714286
11004,S,0.1657142857
11004,T,0.475
11004,Z,0.3407142857
11005,P,0.0021554821
11005,S,0.2047708004
11005,T,0.4961919816
11005,Z,0.2968817359
11007,P,0.0036796537
11007,S,0.1796536797
11007,T,0.511038961
11007,Z,0.3056277056
11008,P,0.0012827091
11008,S,0.1561698307
11008,T,0.4989738327
11008,Z,0.3435736275
11009,P,0.0202105587
11009,S,0.2267732268
11009,T,0.4552370706
11009,Z,0.2977791439
11013,P,0.0010251737
11013,S,0.1405627065
11013,T,0.5187378973
11013,Z,0.3396742226
11016,P,0.0181065701
11016,S,0.210812209
11016,T,0.3735126746
11016,Z,0.3975685463
11018,P,0.0011010791
11018,S,0.2158114953
11018,T,0.4864567276
11018,Z,0.2966306981
11021,P,0.0041067762
11021,S,0.1519507187
11021,T,0.4799061308
11021,Z,0.3640363743
11022,P,0.0191805846
11022,S,0.2073329854
11022,T,0.4153183716
11022,Z,0.3581680585
11023,P,0.0021780561
11023,S,0.180506398
11023,T,0.5024049369
11023,Z,0.3149106089
11024,P,0.0086832271
11024,S,0.1747636843
11024,T,0.5152780831
11024,Z,0.3012750055
11025,P,0.0037603409
11025,S,0.1789922286
11025,T,0.4873401855
11025,Z,0.3299072449
11029,P,0.0012480799
11029,S,0.1364247312
11029,T,0.4981758833
11029,Z,0.3641513057
11030,P,0.0009636232
11030,S,0.2387376536
11030,T,0.4603709949
11030,Z,0.2999277283
11035,P,0.0149324484
11035,S,0.2160464565
11035,T,0.4511732638
11035,Z,0.3178478312
11037,P,0.0117967332
11037,S,0.211584997
11037,T,0.4721718088
11037,Z,0.304446461
11038,P,0.0041689828
11038,S,0.2354085603
11038,T,0.4549749861
11038,Z,0.3054474708
11039,P,0.0025706941
11039,S,0.1562982005
11039,T,0.5482005141
11039,Z,0.2929305913
11040,P,0.0017515589
11040,S,0.1670286555
11040,T,0.525817978
11040,Z,0.3054018076
11044,P,0.0048003747
11044,S,0.2105139913
11044,T,0.4945556726
11044,Z,0.2901299614
11050,P,0.0007420233
11050,S,0.1845164482
11050,T,0.4996289884
11050,Z,0.3151125402
11052,P,0.0044507744
11052,S,0.2061598718
11052,T,0.4842442585
11052,Z,0.3051450952
11053,P,0.0510405257
11053,S,0.2513691128
11053,T,0.3948521358
11053,Z,0.3027382256
11054,P,0.0114882507
11054,S,0.2367275892
11054,T,0.4372497824
11054,Z,0.3145343777
11055,P,0.0062305296
11055,S,0.2074336663
11055,T,0.4520356644
11055,Z,0.3343001396
11056,P,0.0035536603
11056,S,0.1891731817
11056,T,0.4976308932
11056,Z,0.3096422649
11057,P,0.0157303371
11057,S,0.2621722846
11057,T,0.4001498127
11057,Z,0.3219475655
12002,P,0.0176555122
12002,S,0.2463559844
12002,T,0.4177786902
12002,Z,0.3182098132
12005,P,0.0055892686
12005,S,0.1563398275
12005,T,0.4793995529
12005,Z,0.358671351
12007,P,0.0062594431
12007,S,0.2468163177
12007,T,0.4541333909
12007,Z,0.2927908483
12009,P,0.0213918224
12009,S,0.1911724885
12009,T,0.4355537503
12009,Z,0.3518819388
12014,P,0.0118843624
12014,S,0.2743353048
12014,T,0.4258471063
12014,Z,0.2879332265
12021,P,0.0154085288
12021,S,0.1954450226
12021,T,0.4559032236
12021,Z,0.333243225
12025,P,0.007386808
12025,S,0.138871991
12025,T,0.5226094261
12025,Z,0.3311317749
12026,P,0.0069536762
12026,S,0.2569792412
12026,T,0.4276510891
12026,Z,0.3084159935
12029,P,0.0239354668
12029,S,0.2382967469
12029,T,0.4398307326
12029,Z,0.2979370537
12035,P,0.0312776304
12035,S,0.1826923077
12035,T,0.4721485411
12035,Z,0.3138815208
12040,P,0.0047462224
12040,S,0.2257845796
12040,T,0.4903138318
12040,Z,0.2791553661
12041,P,0.0111682326
12041,S,0.2521716008
12041,T,0.4335224251
12041,Z,0.3031377415
13001,P,0.0169610072
13001,S,0.2902605351
13001,T,0.312816926
13001,Z,0.3799615317
13002,P,0.0467032967
13002,S,0.152014652
13002,T,0.2399267399
13002,Z,0.5613553114
13003,P,0.0098978954
13003,S,0.317670348
13003,T,0.3657011877
13003,Z,0.3067305689
13004,P,0.012716175
13004,S,0.3392675483
13004,T,0.3640640895
13004,Z,0.2839521872
13006,P,0.0221088435
13006,S,0.3163265306
13006,T,0.3654033042
13006,Z,0.2961613217
13008,P,0.01461971
13008,S,0.2710861202
13008,T,0.3925421722
13008,Z,0.3217519976
13010,P,0.0082114961
13010,S,0.284197877
13010,T,0.4257961146
13010,Z,0.2817945123
13011,P,0.0097696003
13011,S,0.2768867541
13011,T,0.4016933974
13011,Z,0.3116502483
13012,P,0.0212765957
13012,S,0.3178973717
13012,T,0.3899874844
13012,Z,0.2708385482
13013,P,0.0167847244
13013,S,0.2984293194
13013,T,0.3869725901
13013,Z,0.2978133662
13014,P,0.0748181127
13014,S,0.2173960256
13014,T,0.3417309154
13014,Z,0.3660549462
13016,P,0.007773699
13016,S,0.3029583243
13016,T,0.4018570503
13016,Z,0.2874109264
13017,P,0.0197392033
13017,S,0.3018303625
13017,T,0.3643976552
13017,Z,0.314032779
13019,P,0.0132731959
13019,S,0.3274484536
13019,T,0.3532216495
13019,Z,0.306056701
13021,P,0.0139576767
13021,S,0.3050427735
13021,T,0.380009005
13021,Z,0.3009905448
13023,P,0.0655614167
13023,S,0.2687766893
13023,T,0.3031901532
13023,Z,0.3624717408
13025,P,0.0087631946
13025,S,0.2476266348
13025,T,0.3926840603
13025,Z,0.3509261103
13029,P,0.0080189539
13029,S,0.3429925278
13029,T,0.3716056133
13029,Z,0.277382905
13031,P,0.0154392192
13031,S,0.2681455191
13031,T,0.3432120674
13031,Z,0.3732031943
13035,P,0.0482915718
13035,S,0.2440394837
13035,T,0.3023538345
13035,Z,0.4053151101
13036,P,0.0263211176
13036,S,0.3033002632
13036,T,0.3458189917
13036,Z,0.3245596275
13037,P,0.0400852053
13037,S,0.3125484121
13037,T,0.3706429125
13037,Z,0.2767234702
13040,P,0.0115377992
13040,S,0.264336146
13040,T,0.3731703117
13040,Z,0.3509557431
13044,P,0.0158501441
13044,S,0.3037463977
13044,T,0.3674351585
13044,Z,0.3129682997
13046,P,0.0064907873
13046,S,0.3308207705
13046,T,0.3262144054
13046,Z,0.3364740369
13049,P,0.0141419636
13049,S,0.3247212401
13049,T,0.372948962
13049,Z,0.2881878343
13053,P,0.0100909608
13053,S,0.3391131325
13053,T,0.3818931211
13053,Z,0.2689027857
21001,P,0.0018664455
21001,S,0.1227706346
21001,T,0.5553712153
21001,Z,0.3199917047
21002,P,0.0012201499
21002,S,0.078263901
21002,T,0.5209168555
21002,Z,0.3995990936
21003,P,0.0007262164
21003,S,0.1031227306
21003,T,0.5337690632
21003,Z,0.3623819898
21004,P,0.0014670115
21004,S,0.0850480639
21004,T,0.5515963402
21004,Z,0.3618885843
21005,P,0.0011430634
21005,S,0.0752015401
21005,T,0.5157622428
21005,Z,0.4078931537
21006,P,0.0014347202
21006,S,0.0912313275
21006,T,0.5743100684
21006,Z,0.3330238839
21007,P,0.0011082788
21007,S,0.1040119694
21007,T,0.5357974066
21007,Z,0.3590823451
21008,P,0.0008622814
21008,S,0.0973146095
21008,T,0.5357230845
21008,Z,0.3661000246
21009,P,0.0012280935
21009,S,0.0662838555
21009,T,0.5462028678
21009,Z,0.3862851832
21010,P,0.0011594203
21010,S,0.0933913043
21010,T,0.5209275362
21010,Z,0.3845217391
21011,P,0.0007422803
21011,S,0.101692399
21011,T,0.5745249406
21011,Z,0.32304038
21012,P,0.0018832392
21012,S,0.1111912489
21012,T,0.5608045839
21012,Z,0.326120928
21013,P,0.0011795235
21013,S,0.0968978533
21013,T,0.5320240623
21013,Z,0.369898561
21014,P,0.001411161
21014,S,0.1033996151
21014,T,0.5847338037
21014,Z,0.3104554201
21015,P,0.0014679828
21015,S,0.1024044546
21015,T,0.5714502658
21015,Z,0.3246772969
21016,P,0.0011507894
21016,S,0.0820656669
21016,T,0.549717697
21016,Z,0.3670658467
21017,P,0.0015126833
21017,S,0.0644635792
21017,T,0.4838259251
21017,Z,0.4501978124
21018,P,0.0006732873
21018,S,0.063569545
21018,T,0.5289794086
21018,Z,0.4067777591
21019,P,0.0017839138
21019,S,0.0694175134
21019,T,0.5275731017
21019,Z,0.4012254712
23002,P,0.0058374495
23002,S,0.1165244724
23002,T,0.5455021703
23002,Z,0.3321359078
23003,P,0.0045759907
23003,S,0.1143024048
23003,T,0.5416220426
23003,Z,0.3394995619
23009,P,0.0365111562
23009,S,0.1348884381
23009,T,0.5
23009,Z,0.3286004057
