node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
5,1,8.99999999999512e-06,675151.010396179,673163.384340901,675145.751336882,673150.898347533,8.99999999999512e-06,0,2020.16119318579,2020.16120218579,6724000
5,6,0.01366,675151.010396179,673163.384340901,666714.941530565,651192.008593866,0.01366,0,2020.16119318579,2020.17485318579,6724000
6,2,1.04918099098003e-05,666714.941530565,651192.008593866,666654.530680034,651053.553820476,0.0136704918099098,0.01366,2020.17485318579,2020.1748636776,6724000
6,7,0.05737,666714.941530565,651192.008593866,617895.631177501,662556.585122665,0.07103,0.01366,2020.17485318579,2020.23222318579,6724000
7,3,1.74918099098004e-05,617895.631177501,662556.585122665,617895.120952968,662548.652639354,0.0710474918099098,0.07103,2020.23222318579,2020.2322406776,6724000
7,4,0.0027494918099098,617895.631177501,662556.585122665,620864.117122837,658364.088003937,0.0737794918099098,0.07103,2020.23222318579,2020.2349726776,6724000
