CD_REFNIS,NBRE_OF_DECL,MEDIAN_DECL
23099,6176,28904.625
23100,2648,26313.955
23101,9330,28834.46
23102,8895,26340.43
23103,6765,29100
23104,5107,29102.52
23105,7104,30144.88
24001,17940,26764.22
24007,5700,29042.745
24008,3566,26677.845
24009,5351,30650.32
24011,5389,31944.67
24014,6802,30694.35
24016,4374,31885.005
24020,13717,26719.87
24028,3417,26196.61
24033,8060,29799.725
24038,11850,31509.95
24041,3855,29855.39
24043,5377,30583.01
24045,5350,29133.785
24048,7138,30568.8
24054,4403,27310.71
24055,10975,29179.8
24059,8996,28079.865
24062,57281,26105.92
24066,7877,30972.69
24086,5886,33728.635
24094,9135,30115.71
24104,10703,29621.97
24107,20068,25556.385
24109,8585,27597.38
24130,4902,26859.445
24133,4086,27881.595
24134,13521,26698.16
24135,6011,27962.64
24137,2903,29033.22
25005,3863,28492.93
25014,22480,26450.94
25015,5827,26736.42
25018,6517,26977.65
25023,5731,26368.3
25031,8475,26071.78
25037,7458,26360.665
25043,2894,27020.85
25044,3859,26324.36
25048,7953,24546.6
25050,4042,25998.865
25068,4171,26473.14
25072,16944,24834.85
25084,5223,26159.29
25091,12260,26651.205
25105,14300,23884.3
25107,5730,27680.435
25110,15956,26934.49
25112,19687,25013.68
25117,3980,27823.795
25118,1934,26776.615
25119,7674,26619.395
25120,4834,26902.055
25121,17552,23663.7
25122,3406,27870.785
25123,6001,25218.16
25124,3820,28205.245
31003,8889,26588.8
31004,13185,22213.75
31005,71467,25655.91
31006,6258,26746.475
31012,7824,28276.675
31022,13096,28185.74
31033,11681,25894.19
31040,12453,28250.61
31042,1562,27447.275
31043,21391,24327.42
32003,9611,24365.29
32006,5542,24845.015
32010,4992,25180.43
32011,7015,25262.64
32030,1843,22895.34
33011,20523,24581.28
33016,557,21873
33021,11142,24422.27
33029,10419,24689.36
33037,6865,26068.64
33039,4461,23570.89
33040,4356,24998.01
33041,1993,24131.95
34002,8109,28362
34003,5764,25747.06
34009,6597,27268.86
34013,15853,26562.39
34022,44134,24438.725
34023,7463,25753.38
34025,3249,27436.59
34027,19123,23315.94
34040,21762,26450.255
34041,17540,26834.12
34042,13638,27452.995
34043,1179,23085.79
35002,10421,25885.13
35005,6846,25938.49
35006,7722,26068.09
35011,12417,23055.4
35013,45257,22355.98
35014,5262,26730.21
35029,8080,24409.265
36006,5447,26980.03
36007,6200,25845.655
36008,15917,25649
36010,5364,26205.285
36011,4894,26903.53
36012,6194,25374.56
36015,35563,25223.7
36019,6343,24759.56
37002,4688,25613.275
37007,6226,25374.53
37010,4386,26059.575
37011,3765,26103
37012,3010,25940.44
37015,11744,25444.475
37017,5206,26364.22
37018,7762,26362.42
37020,5121,25920.42
38002,2818,23859.63
38008,6966,22187.345
38014,13910,25937.195
38016,7411,23192.31
38025,7050,23928.385
41002,49655,25844.93
41011,11185,27221.37
41018,19315,25842.51
41024,10603,28338.61
41027,10149,28423.17
41034,10651,27624.29
41048,22274,25839.885
41063,5741,28755.11
41081,15423,27939.46
41082,11504,28112.065
42003,8526,26433.775
42004,8212,28314.785
42006,26582,26266.215
42008,14084,25127.885
42010,7235,28061.68
42011,10934,27196.13
42023,5956,27791.705
42025,15032,25743.765
42026,6618,28541.975
42028,11564,25760.875
43002,8262,27226.675
43005,12513,23987.53
43007,3619,27695.77
43010,13628,26005.655
43014,3819,26495.03
43018,7323,25781.7
44012,5754,34054.525
44013,10223,29056.66
44019,19983,28180.2
44020,7247,29248.37
44021,154113,23995.6
44034,12350,29412.35
44040,6523,29802.42
44043,13934,29300.205
44045,3563,28399.11
44048,6670,27836.855
44052,7527,29976.7
44064,4784,30535.815
44073,4382,27414.465
44081,8803,27231.78
44083,24677,27200.63
44084,16307,27541.53
44085,14858,27665.345
45035,18078,26799.01
45041,14348,22667.38
45059,8573,27075.35
45060,3652,27448.095
45061,3549,29428.3
45062,1186,26764.065
45063,3669,28952.87
45064,3641,27185.23
45065,4536,29069.855
