CD_REFNIS,AGE_MEDIAN,TX_DESCR_NL,TX_DESCR_FR
21012,33,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
21013,35,Sint-Gillis,Saint-Gilles
21014,33,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
21015,33,Schaarbeek,Schaerbeek
21016,41,Ukkel,Uccle
21017,42,Watermaal-Bosvoorde,Watermael-Boitsfort
21018,38,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
21019,41,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
23000,41,Arrondissement Halle-Vilvoorde,Arrondissement de Hal-Vilvorde
23002,40,Asse,Asse
23003,42,Beersel,Beersel
23009,42,Bever,Biévène
23016,43,Dilbeek,Dilbeek
23023,43,Galmaarden,Gammerages
23024,45,Gooik,Gooik
23025,42,Grimbergen,Grimbergen
23027,40,Halle (Halle-Vilvoorde),Hal (Hal-Vilvorde)
23032,45,Herne,Herne
23033,41,Hoeilaart,Hoeilaart
23038,43,Kampenhout,Kampenhout
23039,45,Kapelle-op-den-Bos,Kapelle-op-den-Bos
23044,43,Liedekerke,Liedekerke
23045,43,Londerzeel,Londerzeel
23047,36,Machelen (Halle-Vilvoorde),Machelen (Hal-Vilvorde)
23050,44,Meise,Meise
23052,42,Merchtem,Merchtem
23060,42,Opwijk,Opwijk
23062,43,Overijse,Overijse
23064,44,Pepingen,Pepingen
23077,41,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
23081,43,Steenokkerzeel,Steenokkerzeel
23086,44,Ternat,Ternat
23088,37,Vilvoorde,Vilvorde
23094,39,Zaventem,Zaventem
23096,43,Zemst,Zemst
23097,44,Roosdaal,Roosdaal
23098,38,Drogenbos,Drogenbos
23099,41,Kraainem,Kraainem
23100,44,Linkebeek,Linkebeek
23101,43,Sint-Genesius-Rode,Rhode-Saint-Genèse
23102,41,Wemmel,Wemmel
23103,42,Wezembeek-Oppem,Wezembeek-Oppem
23104,47,Lennik,Lennik
23105,42,Affligem,Affligem
24000,43,Arrondissement Leuven,Arrondissement de Louvain
24001,46,Aarschot,Aarschot
