CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
13021,5234,5127,10361,Meerhout,Meerhout
13023,4385,4215,8600,Merksplas,Merksplas
13025,18308,18517,36825,Mol,Mol
13029,6259,6246,12505,Olen,Olen
13031,6835,6827,13662,Oud-Turnhout,Oud-Turnhout
13035,7569,7440,15009,Ravels,Ravels
13036,5748,5648,11396,Retie,Retie
13037,6090,5970,12060,Rijkevorsel,Rijkevorsel
13040,22248,22416,44664,Turnhout,Turnhout
13044,3938,3923,7861,Vorselaar,Vorselaar
13046,5568,5619,11187,Vosselaar,Vosselaar
13049,12556,12495,25051,Westerlo,Westerlo
13053,8083,8018,16101,Laakdal,Laakdal
20001,562014,584161,1146175,Provincie Vlaams-Brabant,Province du Brabant flamand
20002,195916,207683,403599,Provincie Waals-Brabant,Province du Brabant wallon
21000,592429,616113,1208542,Arrondissement Brussel-Hoofdstad,Arrondissement de Bruxelles-Capitale
21001,59633,60081,119714,Anderlecht,Anderlecht
21002,16206,17807,34013,Oudergem,Auderghem
21003,12190,12989,25179,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
21004,92768,88958,181726,Brussel,Bruxelles
21005,23262,25105,48367,Etterbeek,Etterbeek
21006,19881,21882,41763,Evere,Evere
21007,27288,29001,56289,Vorst (Brussel-Hoofdstad),Forest (Bruxelles-Capitale)
21008,11907,12995,24902,Ganshoren,Ganshoren
21009,42510,44366,86876,Elsene,Ixelles
21010,25212,27324,52536,Jette,Jette
21011,10939,11051,21990,Koekelberg,Koekelberg
21012,48718,48744,97462,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
21013,25221,25046,50267,Sint-Gillis,Saint-Gilles
21014,14279,13178,27457,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
21015,66467,66842,133309,Schaarbeek,Schaerbeek
21016,38531,44493,83024,Ukkel,Uccle
21017,11644,13540,25184,Watermaal-Bosvoorde,Watermael-Boitsfort
21018,26272,30388,56660,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
21019,19501,22323,41824,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
