CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
71045,3412,3535,6947,Nieuwerkerken (Hasselt),Nieuwerkerken (Hasselt)
71053,20021,20569,40590,Sint-Truiden,Saint-Trond
71057,9150,9463,18613,Tessenderlo,Tessenderlo
71066,10475,10762,21237,Zonhoven,Zonhoven
71067,3668,3621,7289,Zutendaal,Zutendaal
71069,5420,5477,10897,Ham,Ham
71070,16708,17000,33708,Heusden-Zolder,Heusden-Zolder
72000,126264,125325,251589,Arrondissement Maaseik,Arrondissement de Maaseik
72003,6557,6553,13110,Bocholt,Bocholt
72004,7967,8118,16085,Bree,Bree
72018,6186,5988,12174,Kinrooi,Kinrooi
72020,17120,16959,34079,Lommel,Lommel
72021,12585,12732,25317,Maaseik,Maaseik
72030,8277,8080,16357,Peer,Peer
72037,7297,7072,14369,Hamont-Achel,Hamont-Achel
72038,6299,6120,12419,Hechtel-Eksel,Hechtel-Eksel
72039,15308,15347,30655,Houthalen-Helchteren,Houthalen-Helchteren
72041,10283,10307,20590,Dilsen-Stokkem,Dilsen-Stokkem
72042,11896,11636,23532,Oudsbergen,Oudsbergen
72043,16489,16413,32902,Pelt,Pelt
73000,101733,102230,203963,Arrondissement Tongeren,Arrondissement de Tongres
73001,5753,5746,11499,Alken,Alken
73006,16022,16306,32328,Bilzen,Bilzen
73009,5465,5441,10906,Borgloon,Looz
73022,3690,3701,7391,Heers,Heers
73028,50,33,83,Herstappe,Herstappe
73032,4810,4878,9688,Hoeselt,Hoeselt
73040,4230,4212,8442,Kortessem,Kortessem
73042,13007,12834,25841,Lanaken,Lanaken
73066,8427,8328,16755,Riemst,Riemst
73083,15265,15731,30996,Tongeren,Tongres
73098,3692,3680,7372,Wellen,Wellen
73107,19242,19274,38516,Maasmechelen,Maasmechelen
73109,2080,2066,4146,Voeren,Fourons
80000,141689,142949,284638,Provincie Luxemburg,Province du Luxembourg
81000,31182,31441,62623,Arrondissement Aarlen,Arrondissement d’Arlon
81001,14880,14978,29858,Aarlen,Arlon
81003,2775,2803,5578,Attert,Attert
81004,8487,8606,17093,Aubange,Aubange
81013,959,917,1876,Martelange,Martelange
81015,4081,4137,8218,Messancy,Messancy
82000,24162,24251,48413,Arrondissement Bastenaken,Arrondissement de Bastogne
82003,7935,8050,15985,Bastenaken,Bastogne
82005,1853,1806,3659,Bertogne,Bertogne
82009,1118,1163,2281,Fauvillers,Fauvillers
82014,2630,2563,5193,Houffalize,Houffalize
82032,3873,3941,7814,Vielsalm,Vielsalm
82036,2814,2826,5640,Vaux-sur-Sûre,Vaux-sur-Sûre
82037,2654,2632,5286,Gouvy,Gouvy
82038,1285,1270,2555,Sainte-Ode,Sainte-Ode
83000,28204,28272,56476,Arrondissement Marche-en-Famenne,Arrondissement de Marche-en-Famenne
83012,5675,5720,11395,Durbuy,Durbuy
83013,1673,1611,3284,Erezée,Erezée
83028,2743,2813,5556,Hotton,Hotton
83031,2147,2106,4253,La Roche-en-Ardenne,La Roche-en-Ardenne
83034,8607,8858,17465,Marche-en-Famenne,Marche-en-Famenne
83040,2837,2661,5498,Nassogne,Nassogne
83044,1329,1308,2637,Rendeux,Rendeux
83049,1392,1440,2832,Tenneville,Tenneville
83055,1801,1755,3556,Manhay,Manhay
84000,31571,31804,63375,Arrondissement Neufchâteau,Arrondissement de Neufchâteau
84009,4358,4435,8793,Bertrix,Bertrix
84010,2668,2743,5411,Bouillon,Bouillon
84016,703,692,1395,Daverdisse,Daverdisse
84029,843,781,1624,Herbeumont,Herbeumont
84033,2823,2648,5471,Léglise,Léglise
84035,2608,2615,5223,Libin,Libin
84043,3835,3864,7699,Neufchâteau (Neufchâteau),Neufchâteau (Neufchâteau)
84050,2691,2698,5389,Paliseul,Paliseul
84059,2750,2819,5569,Saint-Hubert,Saint-Hubert
84068,1209,1223,2432,Tellin,Tellin
84075,1521,1572,3093,Wellin,Wellin
84077,5562,5714,11276,Libramont-Chevigny,Libramont-Chevigny
85000,26570,27181,53751,Arrondissement Virton,Arrondissement de Virton
85007,2619,2561,5180,Chiny,Chiny
85009,2942,2935,5877,Etalle,Etalle
85011,2717,2861,5578,Florenville,Florenville
85024,1376,1433,2809,Meix-devant-Virton,Meix-devant-Virton
85026,2255,2296,4551,Musson,Musson
85034,1768,1840,3608,Saint-Léger (Virton),Saint-Léger (Virton)
85039,2143,2157,4300,Tintigny,Tintigny
85045,5533,5799,11332,Virton,Virton
85046,4180,4229,8409,Habay,Habay
85047,1037,1070,2107,Rouvroy,Rouvroy
90000,242201,252124,494325,Provincie Namen,Province de Namur
91000,54735,56273,111008,Arrondissement Dinant,Arrondissement de Dinant
91005,3456,3590,7046,Anhée,Anhée
91013,4428,4731,9159,Beauraing,Beauraing
91015,1668,1687,3355,Bièvre,Bièvre
91030,7951,8629,16580,Ciney,Ciney
91034,6612,6839,13451,Dinant,Dinant
91054,2274,2358,4632,Gedinne,Gedinne
91059,3639,3718,7357,Hamois,Hamois
91064,2579,2596,5175,Havelange,Havelange
91072,2443,2513,4956,Houyet,Houyet
91103,1624,1617,3241,Onhaye,Onhaye
91114,6210,6401,12611,Rochefort,Rochefort
91120,2814,2827,5641,Somme-Leuze,Somme-Leuze
91141,4584,4583,9167,Yvoir,Yvoir
91142,3123,2899,6022,Hastière,Hastière
91143,1330,1285,2615,Vresse-sur-Semois,Vresse-sur-Semois
92000,154772,162190,316962,Arrondissement Namen,Arrondissement de Namur
92003,13331,14060,27391,Andenne,Andenne
92006,3545,3487,7032,Assesse,Assesse
92035,7963,8374,16337,Eghezée,Eghezée
92045,3975,4169,8144,Floreffe,Floreffe
92048,5178,5210,10388,Fosses-la-Ville,Fosses-la-Ville
92054,3585,3617,7202,Gesves,Gesves
92087,6465,6637,13102,Mettet,Mettet
92094,53521,57258,110779,Namen,Namur
92097,2566,2561,5127,Ohey,Ohey
92101,5999,6221,12220,Profondeville,Profondeville
92114,4172,4268,8440,Sombreffe,Sombreffe
92137,13617,14671,28288,Sambreville,Sambreville
92138,3988,4044,8032,Fernelmont,Fernelmont
92140,9494,9696,19190,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre
92141,4518,4758,9276,La Bruyère,La Bruyère
92142,12855,13159,26014,Gembloux,Gembloux
93000,32694,33661,66355,Arrondissement Philippeville,Arrondissement de Philippeville
93010,2459,2464,4923,Cerfontaine,Cerfontaine
93014,6704,7043,13747,Couvin,Couvin
93018,1476,1521,2997,Doische,Doische
93022,5580,5730,11310,Florennes,Florennes
93056,4645,4644,9289,Philippeville,Philippeville
93088,9047,9383,18430,Walcourt,Walcourt
93090,2783,2876,5659,Viroinval,Viroinval
