CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
11016,MAN,7846,1673,9519,Essen,Essen
11016,VROUW,7682,1837,9519,Essen,Essen
11018,TOTAL,9611,1948,11559,Hemiksem,Hemiksem
11018,MAN,4863,905,5768,Hemiksem,Hemiksem
11018,VROUW,4748,1043,5791,Hemiksem,Hemiksem
11021,TOTAL,6197,1928,8125,Hove (Antwerpen),Hove (Anvers)
11021,MAN,3018,874,3892,Hove (Antwerpen),Hove (Anvers)
11021,VROUW,3179,1054,4233,Hove (Antwerpen),Hove (Anvers)
11022,TOTAL,14616,4079,18695,Kalmthout,Kalmthout
11022,MAN,7261,1865,9126,Kalmthout,Kalmthout
11022,VROUW,7355,2214,9569,Kalmthout,Kalmthout
11023,TOTAL,20595,6255,26850,Kapellen (Antwerpen),Kapellen (Anvers)
11023,MAN,10308,2837,13145,Kapellen (Antwerpen),Kapellen (Anvers)
11023,VROUW,10287,3418,13705,Kapellen (Antwerpen),Kapellen (Anvers)
11024,TOTAL,16716,4399,21115,Kontich,Kontich
11024,MAN,8387,2006,10393,Kontich,Kontich
11024,VROUW,8329,2393,10722,Kontich,Kontich
11025,TOTAL,7106,1612,8718,Lint,Lint
11025,MAN,3573,770,4343,Lint,Lint
11025,VROUW,3533,842,4375,Lint,Lint
11029,TOTAL,20840,5259,26099,Mortsel,Mortsel
11029,MAN,10384,2246,12630,Mortsel,Mortsel
11029,VROUW,10456,3013,13469,Mortsel,Mortsel
11030,TOTAL,8794,1707,10501,Niel,Niel
11030,MAN,4438,777,5215,Niel,Niel
11030,VROUW,4356,930,5286,Niel,Niel
11035,TOTAL,14937,4071,19008,Ranst,Ranst
11035,MAN,7552,1964,9516,Ranst,Ranst
11035,VROUW,7385,2107,9492,Ranst,Ranst
11037,TOTAL,11923,3167,15090,Rumst,Rumst
11037,MAN,6073,1436,7509,Rumst,Rumst
11037,VROUW,5850,1731,7581,Rumst,Rumst
11038,TOTAL,6798,1720,8518,Schelle,Schelle
11038,MAN,3357,791,4148,Schelle,Schelle
11038,VROUW,3441,929,4370,Schelle,Schelle
11039,TOTAL,14807,4845,19652,Schilde,Schilde
11039,MAN,7307,2284,9591,Schilde,Schilde
11039,VROUW,7500,2561,10061,Schilde,Schilde
11040,TOTAL,27005,7512,34517,Schoten,Schoten
11040,MAN,13338,3339,16677,Schoten,Schoten
11040,VROUW,13667,4173,17840,Schoten,Schoten
11044,TOTAL,15113,3597,18710,Stabroek,Stabroek
11044,MAN,7594,1699,9293,Stabroek,Stabroek
11044,VROUW,7519,1898,9417,Stabroek,Stabroek
11050,TOTAL,7623,2193,9816,Wijnegem,Wijnegem
11050,MAN,3797,954,4751,Wijnegem,Wijnegem
11050,VROUW,3826,1239,5065,Wijnegem,Wijnegem
11052,TOTAL,10134,2731,12865,Wommelgem,Wommelgem
11052,MAN,5106,1266,6372,Wommelgem,Wommelgem
11052,VROUW,5028,1465,6493,Wommelgem,Wommelgem
11053,TOTAL,17258,3712,20970,Wuustwezel,Wuustwezel
11053,MAN,8786,1787,10573,Wuustwezel,Wuustwezel
11053,VROUW,8472,1925,10397,Wuustwezel,Wuustwezel
11054,TOTAL,10105,2920,13025,Zandhoven,Zandhoven
11054,MAN,5099,1389,6488,Zandhoven,Zandhoven
11054,VROUW,5006,1531,6537,Zandhoven,Zandhoven
11055,TOTAL,16807,5137,21944,Zoersel,Zoersel
11055,MAN,8357,2392,10749,Zoersel,Zoersel
11055,VROUW,8450,2745,11195,Zoersel,Zoersel
11056,TOTAL,15102,3954,19056,Zwijndrecht,Zwijndrecht
11056,MAN,7552,1781,9333,Zwijndrecht,Zwijndrecht
11056,VROUW,7550,2173,9723,Zwijndrecht,Zwijndrecht
11057,TOTAL,12427,3134,15561,Malle,Malle
11057,MAN,6301,1399,7700,Malle,Malle
11057,VROUW,6126,1735,7861,Malle,Malle
12000,TOTAL,276092,68726,344818,Arrondissement Mechelen,Arrondissement de Malines
12000,MAN,138577,30892,169469,Arrondissement Mechelen,Arrondissement de Malines
12000,VROUW,137515,37834,175349,Arrondissement Mechelen,Arrondissement de Malines
12002,TOTAL,9091,2436,11527,Berlaar,Berlaar
12002,MAN,4581,1112,5693,Berlaar,Berlaar
12002,VROUW,4510,1324,5834,Berlaar,Berlaar
12005,TOTAL,11458,3552,15010,Bonheiden,Bonheiden
12005,MAN,5711,1570,7281,Bonheiden,Bonheiden
12005,VROUW,5747,1982,7729,Bonheiden,Bonheiden
12007,TOTAL,16682,4684,21366,Bornem,Bornem
12007,MAN,8410,2146,10556,Bornem,Bornem
12007,VROUW,8272,2538,10810,Bornem,Bornem
12009,TOTAL,13913,3578,17491,Duffel,Duffel
12009,MAN,7007,1567,8574,Duffel,Duffel
