CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
24014,VROUW,4966,1339,6305,Boortmeerbeek,Boortmeerbeek
24016,TOTAL,6730,1512,8242,Boutersem,Boutersem
24016,MAN,3402,678,4080,Boutersem,Boutersem
24016,VROUW,3328,834,4162,Boutersem,Boutersem
24020,TOTAL,18727,5271,23998,Diest,Diest
24020,MAN,9353,2418,11771,Diest,Diest
24020,VROUW,9374,2853,12227,Diest,Diest
24028,TOTAL,4852,1266,6118,Geetbets,Geetbets
24028,MAN,2475,587,3062,Geetbets,Geetbets
24028,VROUW,2377,679,3056,Geetbets,Geetbets
24033,TOTAL,11632,2945,14577,Haacht,Haacht
24033,MAN,5795,1328,7123,Haacht,Haacht
24033,VROUW,5837,1617,7454,Haacht,Haacht
24038,TOTAL,17440,4242,21682,Herent,Herent
24038,MAN,8726,1862,10588,Herent,Herent
24038,VROUW,8714,2380,11094,Herent,Herent
24041,TOTAL,5704,1182,6886,Hoegaarden,Hoegaarden
24041,MAN,2955,537,3492,Hoegaarden,Hoegaarden
24041,VROUW,2749,645,3394,Hoegaarden,Hoegaarden
24043,TOTAL,8015,2004,10019,Holsbeek,Holsbeek
24043,MAN,4051,952,5003,Holsbeek,Holsbeek
24043,VROUW,3964,1052,5016,Holsbeek,Holsbeek
24045,TOTAL,8031,1890,9921,Huldenberg,Huldenberg
24045,MAN,4043,837,4880,Huldenberg,Huldenberg
24045,VROUW,3988,1053,5041,Huldenberg,Huldenberg
24048,TOTAL,9799,3051,12850,Keerbergen,Keerbergen
24048,MAN,4821,1448,6269,Keerbergen,Keerbergen
24048,VROUW,4978,1603,6581,Keerbergen,Keerbergen
24054,TOTAL,6135,1740,7875,Kortenaken,Kortenaken
24054,MAN,3128,824,3952,Kortenaken,Kortenaken
24054,VROUW,3007,916,3923,Kortenaken,Kortenaken
24055,TOTAL,16367,3912,20279,Kortenberg,Kortenberg
24055,MAN,8232,1733,9965,Kortenberg,Kortenberg
24055,VROUW,8135,2179,10314,Kortenberg,Kortenberg
24059,TOTAL,12655,3296,15951,Landen,Landen
24059,MAN,6341,1439,7780,Landen,Landen
24059,VROUW,6314,1857,8171,Landen,Landen
24062,TOTAL,85096,16528,101624,Leuven,Louvain
24062,MAN,43945,7067,51012,Leuven,Louvain
24062,VROUW,41151,9461,50612,Leuven,Louvain
24066,TOTAL,11281,3278,14559,Lubbeek,Lubbeek
24066,MAN,5693,1544,7237,Lubbeek,Lubbeek
24066,VROUW,5588,1734,7322,Lubbeek,Lubbeek
24086,TOTAL,8813,2299,11112,Oud-Heverlee,Oud-Heverlee
24086,MAN,4454,1089,5543,Oud-Heverlee,Oud-Heverlee
24086,VROUW,4359,1210,5569,Oud-Heverlee,Oud-Heverlee
24094,TOTAL,13558,3235,16793,Rotselaar,Rotselaar
24094,MAN,6835,1499,8334,Rotselaar,Rotselaar
24094,VROUW,6723,1736,8459,Rotselaar,Rotselaar
24104,TOTAL,18295,4127,22422,Tervuren,Tervuren
24104,MAN,9069,1829,10898,Tervuren,Tervuren
24104,VROUW,9226,2298,11524,Tervuren,Tervuren
24107,TOTAL,27345,7630,34975,Tienen,Tirlemont
24107,MAN,13631,3264,16895,Tienen,Tirlemont
24107,VROUW,13714,4366,18080,Tienen,Tirlemont
24109,TOTAL,11668,3246,14914,Tremelo,Tremelo
24109,MAN,5848,1570,7418,Tremelo,Tremelo
24109,VROUW,5820,1676,7496,Tremelo,Tremelo
24130,TOTAL,6654,1826,8480,Zoutleeuw,Léau
24130,MAN,3352,812,4164,Zoutleeuw,Léau
24130,VROUW,3302,1014,4316,Zoutleeuw,Léau
24133,TOTAL,5760,1509,7269,Linter,Linter
24133,MAN,2922,685,3607,Linter,Linter
24133,VROUW,2838,824,3662,Linter,Linter
24134,TOTAL,17569,5460,23029,Scherpenheuvel-Zichem,Montaigu-Zichem
24134,MAN,8871,2522,11393,Scherpenheuvel-Zichem,Montaigu-Zichem
24134,VROUW,8698,2938,11636,Scherpenheuvel-Zichem,Montaigu-Zichem
24135,TOTAL,8556,2191,10747,Tielt-Winge,Tielt-Winge
24135,MAN,4354,1034,5388,Tielt-Winge,Tielt-Winge
24135,VROUW,4202,1157,5359,Tielt-Winge,Tielt-Winge
24137,TOTAL,4142,1129,5271,Glabbeek,Glabbeek
24137,MAN,2097,517,2614,Glabbeek,Glabbeek
24137,VROUW,2045,612,2657,Glabbeek,Glabbeek
25000,TOTAL,326915,76684,403599,Arrondissement Nijvel,Arrondissement de Nivelles
25000,MAN,162761,33155,195916,Arrondissement Nijvel,Arrondissement de Nivelles
25000,VROUW,164154,43529,207683,Arrondissement Nijvel,Arrondissement de Nivelles
25005,TOTAL,5983,1260,7243,Bevekom,Beauvechain
25005,MAN,2992,593,3585,Bevekom,Beauvechain
25005,VROUW,2991,667,3658,Bevekom,Beauvechain
25014,TOTAL,32107,7901,40008,Eigenbrakel,Braine-l’Alleud
25014,MAN,15861,3394,19255,Eigenbrakel,Braine-l’Alleud
25014,VROUW,16246,4507,20753,Eigenbrakel,Braine-l’Alleud
25015,TOTAL,8696,1853,10549,Kasteelbrakel,Braine-le-Château
25015,MAN,4327,822,5149,Kasteelbrakel,Braine-le-Château
25015,VROUW,4369,1031,5400,Kasteelbrakel,Braine-le-Château
25018,TOTAL,9603,2195,11798,Chaumont-Gistoux,Chaumont-Gistoux
25018,MAN,4753,1032,5785,Chaumont-Gistoux,Chaumont-Gistoux
25018,VROUW,4850,1163,6013,Chaumont-Gistoux,Chaumont-Gistoux
25023,TOTAL,8832,1708,10540,Court-Saint-Etienne,Court-Saint-Etienne
25023,MAN,4398,758,5156,Court-Saint-Etienne,Court-Saint-Etienne
25023,VROUW,4434,950,5384,Court-Saint-Etienne,Court-Saint-Etienne
25031,TOTAL,12793,2634,15427,Genepiën,Genappe
25031,MAN,6433,1178,7611,Genepiën,Genappe
25031,VROUW,6360,1456,7816,Genepiën,Genappe
25037,TOTAL,11104,2564,13668,Graven,Grez-Doiceau
25037,MAN,5552,1139,6691,Graven,Grez-Doiceau
25037,VROUW,5552,1425,6977,Graven,Grez-Doiceau
25043,TOTAL,4607,880,5487,Incourt,Incourt
25043,MAN,2291,409,2700,Incourt,Incourt
25043,VROUW,2316,471,2787,Incourt,Incourt
25044,TOTAL,5565,1324,6889,Itter,Ittre
25044,MAN,2803,552,3355,Itter,Ittre
25044,VROUW,2762,772,3534,Itter,Ittre
25048,TOTAL,11571,2552,14123,Geldenaken,Jodoigne
25048,MAN,5817,1096,6913,Geldenaken,Jodoigne
25048,VROUW,5754,1456,7210,Geldenaken,Jodoigne
25050,TOTAL,5703,1640,7343,Terhulpen,La Hulpe
25050,MAN,2843,702,3545,Terhulpen,La Hulpe
25050,VROUW,2860,938,3798,Terhulpen,La Hulpe
25068,TOTAL,6561,1210,7771,Mont-Saint-Guibert,Mont-Saint-Guibert
25068,MAN,3305,514,3819,Mont-Saint-Guibert,Mont-Saint-Guibert
25068,VROUW,3256,696,3952,Mont-Saint-Guibert,Mont-Saint-Guibert
25072,TOTAL,22792,5942,28734,Nijvel,Nivelles
25072,MAN,11230,2423,13653,Nijvel,Nivelles
25072,VROUW,11562,3519,15081,Nijvel,Nivelles
25084,TOTAL,7782,1521,9303,Perwijs (Nijvel),Perwez (Nivelles)
25084,MAN,3847,651,4498,Perwijs (Nijvel),Perwez (Nivelles)
25084,VROUW,3935,870,4805,Perwijs (Nijvel),Perwez (Nivelles)
25091,TOTAL,17705,4853,22558,Rixensart,Rixensart
25091,MAN,8667,2064,10731,Rixensart,Rixensart
25091,VROUW,9038,2789,11827,Rixensart,Rixensart
25105,TOTAL,21602,4631,26233,Tubeke,Tubize
25105,MAN,10839,1976,12815,Tubeke,Tubize
25105,VROUW,10763,2655,13418,Tubeke,Tubize
25107,TOTAL,8988,1714,10702,Villers-la-Ville,Villers-la-Ville
25107,MAN,4549,756,5305,Villers-la-Ville,Villers-la-Ville
25107,VROUW,4439,958,5397,Villers-la-Ville,Villers-la-Ville
25110,TOTAL,23182,7146,30328,Waterloo,Waterloo
25110,MAN,11358,2998,14356,Waterloo,Waterloo
25110,VROUW,11824,4148,15972,Waterloo,Waterloo
25112,TOTAL,27118,7278,34396,Waver,Wavre
25112,MAN,13449,3056,16505,Waver,Wavre
25112,VROUW,13669,4222,17891,Waver,Wavre
25117,TOTAL,6449,1198,7647,Chastre,Chastre
25117,MAN,3254,540,3794,Chastre,Chastre
25117,VROUW,3195,658,3853,Chastre,Chastre
25118,TOTAL,2961,592,3553,Hélécine,Hélécine
25118,MAN,1508,263,1771,Hélécine,Hélécine
25118,VROUW,1453,329,1782,Hélécine,Hélécine
25119,TOTAL,11192,3052,14244,Lasne,Lasne
25119,MAN,5545,1429,6974,Lasne,Lasne
25119,VROUW,5647,1623,7270,Lasne,Lasne
25120,TOTAL,7405,1519,8924,Orp-Jauche,Orp-Jauche
25120,MAN,3696,668,4364,Orp-Jauche,Orp-Jauche
25120,VROUW,3709,851,4560,Orp-Jauche,Orp-Jauche
25121,TOTAL,25923,5520,31443,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
25121,MAN,12974,2334,15308,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
25121,VROUW,12949,3186,16135,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
25122,TOTAL,5479,1043,6522,Ramillies,Ramillies
25122,MAN,2784,487,3271,Ramillies,Ramillies
25122,VROUW,2695,556,3251,Ramillies,Ramillies
25123,TOTAL,9124,1855,10979,Rebecq,Rebecq
25123,MAN,4611,828,5439,Rebecq,Rebecq
25123,VROUW,4513,1027,5540,Rebecq,Rebecq
25124,TOTAL,6088,1099,7187,Walhain,Walhain
25124,MAN,3075,493,3568,Walhain,Walhain
25124,VROUW,3013,606,3619,Walhain,Walhain
30000,TOTAL,918155,277641,1195796,Provincie West-Vlaanderen,Province de Flandre occidentale
30000,MAN,468092,124601,592693,Provincie West-Vlaanderen,Province de Flandre occidentale
30000,VROUW,450063,153040,603103,Provincie West-Vlaanderen,Province de Flandre occidentale
31000,TOTAL,212155,70054,282209,Arrondissement Brugge,Arrondissement de Bruges
31000,MAN,107376,31455,138831,Arrondissement Brugge,Arrondissement de Bruges
31000,VROUW,104779,38599,143378,Arrondissement Brugge,Arrondissement de Bruges
31003,TOTAL,12464,3299,15763,Beernem,Beernem
31003,MAN,6437,1609,8046,Beernem,Beernem
31003,VROUW,6027,1690,7717,Beernem,Beernem
31004,TOTAL,14037,6399,20436,Blankenberge,Blankenberge
31004,MAN,7205,2853,10058,Blankenberge,Blankenberge
31004,VROUW,6832,3546,10378,Blankenberge,Blankenberge
31005,TOTAL,90233,28092,118325,Brugge,Bruges
31005,MAN,45321,12277,57598,Brugge,Bruges
31005,VROUW,44912,15815,60727,Brugge,Bruges
31006,TOTAL,8482,2511,10993,Damme,Damme
31006,MAN,4305,1171,5476,Damme,Damme
31006,VROUW,4177,1340,5517,Damme,Damme
31012,TOTAL,10755,3110,13865,Jabbeke,Jabbeke
31012,MAN,5433,1445,6878,Jabbeke,Jabbeke
31012,VROUW,5322,1665,6987,Jabbeke,Jabbeke
31022,TOTAL,18619,5079,23698,Oostkamp,Oostkamp
31022,MAN,9492,2313,11805,Oostkamp,Oostkamp
31022,VROUW,9127,2766,11893,Oostkamp,Oostkamp
31033,TOTAL,15962,4501,20463,Torhout,Torhout
31033,MAN,8185,2075,10260,Torhout,Torhout
31033,VROUW,7777,2426,10203,Torhout,Torhout
31040,TOTAL,18055,4764,22819,Zedelgem,Zedelgem
31040,MAN,9154,2230,11384,Zedelgem,Zedelgem
31040,VROUW,8901,2534,11435,Zedelgem,Zedelgem
31042,TOTAL,2123,598,2721,Zuienkerke,Zuienkerke
31042,MAN,1065,309,1374,Zuienkerke,Zuienkerke
31042,VROUW,1058,289,1347,Zuienkerke,Zuienkerke
31043,TOTAL,21425,11701,33126,Knokke-Heist,Knokke-Heist
31043,MAN,10779,5173,15952,Knokke-Heist,Knokke-Heist
31043,VROUW,10646,6528,17174,Knokke-Heist,Knokke-Heist
32000,TOTAL,40859,10666,51525,Arrondissement Diksmuide,Arrondissement de Dixmude
32000,MAN,20957,4828,25785,Arrondissement Diksmuide,Arrondissement de Dixmude
32000,VROUW,19902,5838,25740,Arrondissement Diksmuide,Arrondissement de Dixmude
32003,TOTAL,13180,3563,16743,Diksmuide,Dixmude
32003,MAN,6762,1614,8376,Diksmuide,Dixmude
32003,VROUW,6418,1949,8367,Diksmuide,Dixmude
32006,TOTAL,8204,1894,10098,Houthulst,Houthulst
32006,MAN,4229,839,5068,Houthulst,Houthulst
32006,VROUW,3975,1055,5030,Houthulst,Houthulst
32010,TOTAL,6926,1851,8777,Koekelare,Koekelare
32010,MAN,3561,837,4398,Koekelare,Koekelare
32010,VROUW,3365,1014,4379,Koekelare,Koekelare
32011,TOTAL,9916,2700,12616,Kortemark,Kortemark
32011,MAN,5067,1233,6300,Kortemark,Kortemark
32011,VROUW,4849,1467,6316,Kortemark,Kortemark
32030,TOTAL,2633,658,3291,Lo-Reninge,Lo-Reninge
32030,MAN,1338,305,1643,Lo-Reninge,Lo-Reninge
32030,VROUW,1295,353,1648,Lo-Reninge,Lo-Reninge
33000,TOTAL,83267,23012,106279,Arrondissement Ieper,Arrondissement d’Ypres
33000,MAN,42737,10416,53153,Arrondissement Ieper,Arrondissement d’Ypres
33000,VROUW,40530,12596,53126,Arrondissement Ieper,Arrondissement d’Ypres
33011,TOTAL,26809,8036,34845,Ieper,Ypres
33011,MAN,13570,3570,17140,Ieper,Ypres
33011,VROUW,13239,4466,17705,Ieper,Ypres
33016,TOTAL,881,184,1065,Mesen,Messines
33016,MAN,454,82,536,Mesen,Messines
33016,VROUW,427,102,529,Mesen,Messines
33021,TOTAL,15194,4508,19702,Poperinge,Poperinge
33021,MAN,7762,2050,9812,Poperinge,Poperinge
33021,VROUW,7432,2458,9890,Poperinge,Poperinge
33029,TOTAL,14711,4056,18767,Wervik,Wervik
33029,MAN,7620,1814,9434,Wervik,Wervik
33029,VROUW,7091,2242,9333,Wervik,Wervik
33037,TOTAL,10072,2409,12481,Zonnebeke,Zonnebeke
33037,MAN,5179,1105,6284,Zonnebeke,Zonnebeke
33037,VROUW,4893,1304,6197,Zonnebeke,Zonnebeke
33039,TOTAL,6339,1570,7909,Heuvelland,Heuvelland
33039,MAN,3322,742,4064,Heuvelland,Heuvelland
33039,VROUW,3017,828,3845,Heuvelland,Heuvelland
33040,TOTAL,6301,1518,7819,Langemark-Poelkapelle,Langemark-Poelkapelle
33040,MAN,3290,709,3999,Langemark-Poelkapelle,Langemark-Poelkapelle
33040,VROUW,3011,809,3820,Langemark-Poelkapelle,Langemark-Poelkapelle
33041,TOTAL,2960,731,3691,Vleteren,Vleteren
33041,MAN,1540,344,1884,Vleteren,Vleteren
33041,VROUW,1420,387,1807,Vleteren,Vleteren
34000,TOTAL,229775,60931,290706,Arrondissement Kortrijk,Arrondissement de Courtrai
34000,MAN,116830,26953,143783,Arrondissement Kortrijk,Arrondissement de Courtrai
34000,VROUW,112945,33978,146923,Arrondissement Kortrijk,Arrondissement de Courtrai
34002,TOTAL,11750,2966,14716,Anzegem,Anzegem
34002,MAN,6042,1345,7387,Anzegem,Anzegem
34002,VROUW,5708,1621,7329,Anzegem,Anzegem
34003,TOTAL,8142,2016,10158,Avelgem,Avelgem
34003,MAN,4160,855,5015,Avelgem,Avelgem
34003,VROUW,3982,1161,5143,Avelgem,Avelgem
34009,TOTAL,9494,2452,11946,Deerlijk,Deerlijk
34009,MAN,4826,1078,5904,Deerlijk,Deerlijk
34009,VROUW,4668,1374,6042,Deerlijk,Deerlijk
34013,TOTAL,22380,5778,28158,Harelbeke,Harelbeke
34013,MAN,11466,2644,14110,Harelbeke,Harelbeke
34013,VROUW,10914,3134,14048,Harelbeke,Harelbeke
34022,TOTAL,60332,16403,76735,Kortrijk,Courtrai
34022,MAN,30703,7101,37804,Kortrijk,Courtrai
34022,VROUW,29629,9302,38931,Kortrijk,Courtrai
34023,TOTAL,10554,2930,13484,Kuurne,Kuurne
34023,MAN,5375,1291,6666,Kuurne,Kuurne
34023,VROUW,5179,1639,6818,Kuurne,Kuurne
34025,TOTAL,4417,1330,5747,Lendelede,Lendelede
34025,MAN,2235,599,2834,Lendelede,Lendelede
34025,VROUW,2182,731,2913,Lendelede,Lendelede
34027,TOTAL,26357,7028,33385,Menen,Menin
34027,MAN,13443,3049,16492,Menen,Menin
34027,VROUW,12914,3979,16893,Menen,Menin
34040,TOTAL,30126,8140,38266,Waregem,Waregem
34040,MAN,15164,3681,18845,Waregem,Waregem
34040,VROUW,14962,4459,19421,Waregem,Waregem
34041,TOTAL,24850,6556,31406,Wevelgem,Wevelgem
34041,MAN,12600,2918,15518,Wevelgem,Wevelgem
34041,VROUW,12250,3638,15888,Wevelgem,Wevelgem
34042,TOTAL,19651,5005,24656,Zwevegem,Zwevegem
34042,MAN,9971,2251,12222,Zwevegem,Zwevegem
34042,VROUW,9680,2754,12434,Zwevegem,Zwevegem
34043,TOTAL,1722,327,2049,Spiere-Helkijn,Espierres-Helchin
34043,MAN,845,141,986,Spiere-Helkijn,Espierres-Helchin
34043,VROUW,877,186,1063,Spiere-Helkijn,Espierres-Helchin
35000,TOTAL,115017,42183,157200,Arrondissement Oostende,Arrondissement d’Ostende
35000,MAN,58656,18980,77636,Arrondissement Oostende,Arrondissement d’Ostende
35000,VROUW,56361,23203,79564,Arrondissement Oostende,Arrondissement d’Ostende
35002,TOTAL,14038,4057,18095,Bredene,Bredene
35002,MAN,7113,1917,9030,Bredene,Bredene
35002,VROUW,6925,2140,9065,Bredene,Bredene
35005,TOTAL,9806,2372,12178,Gistel,Gistel
35005,MAN,4978,1075,6053,Gistel,Gistel
35005,VROUW,4828,1297,6125,Gistel,Gistel
35006,TOTAL,11239,2811,14050,Ichtegem,Ichtegem
35006,MAN,5720,1330,7050,Ichtegem,Ichtegem
35006,VROUW,5519,1481,7000,Ichtegem,Ichtegem
35011,TOTAL,12836,6500,19336,Middelkerke,Middelkerke
35011,MAN,6575,3010,9585,Middelkerke,Middelkerke
35011,VROUW,6261,3490,9751,Middelkerke,Middelkerke
35013,TOTAL,51376,20118,71494,Oostende,Ostende
35013,MAN,26305,8735,35040,Oostende,Ostende
35013,VROUW,25071,11383,36454,Oostende,Ostende
35014,TOTAL,7304,2077,9381,Oudenburg,Oudenburg
35014,MAN,3743,957,4700,Oudenburg,Oudenburg
35014,VROUW,3561,1120,4681,Oudenburg,Oudenburg
35029,TOTAL,8418,4248,12666,De Haan,De Haan
35029,MAN,4222,1956,6178,De Haan,De Haan
35029,VROUW,4196,2292,6488,De Haan,De Haan
36000,TOTAL,121595,31720,153315,Arrondissement Roeselare,Arrondissement de Roulers
36000,MAN,62261,14149,76410,Arrondissement Roeselare,Arrondissement de Roulers
36000,VROUW,59334,17571,76905,Arrondissement Roeselare,Arrondissement de Roulers
36006,TOTAL,7940,2047,9987,Hooglede,Hooglede
36006,MAN,4111,928,5039,Hooglede,Hooglede
36006,VROUW,3829,1119,4948,Hooglede,Hooglede
36007,TOTAL,8676,2320,10996,Ingelmunster,Ingelmunster
36007,MAN,4396,1042,5438,Ingelmunster,Ingelmunster
36007,VROUW,4280,1278,5558,Ingelmunster,Ingelmunster
36008,TOTAL,21886,6132,28018,Izegem,Izegem
36008,MAN,11061,2734,13795,Izegem,Izegem
36008,VROUW,10825,3398,14223,Izegem,Izegem
36010,TOTAL,7679,2016,9695,Ledegem,Ledegem
36010,MAN,3936,920,4856,Ledegem,Ledegem
36010,VROUW,3743,1096,4839,Ledegem,Ledegem
36011,TOTAL,7159,1767,8926,Lichtervelde,Lichtervelde
36011,MAN,3671,821,4492,Lichtervelde,Lichtervelde
36011,VROUW,3488,946,4434,Lichtervelde,Lichtervelde
36012,TOTAL,8797,2453,11250,Moorslede,Moorslede
36012,MAN,4533,1077,5610,Moorslede,Moorslede
36012,VROUW,4264,1376,5640,Moorslede,Moorslede
36015,TOTAL,50302,12652,62954,Roeselare,Roulers
36015,MAN,25837,5557,31394,Roeselare,Roulers
36015,VROUW,24465,7095,31560,Roeselare,Roulers
36019,TOTAL,9156,2333,11489,Staden,Staden
36019,MAN,4716,1070,5786,Staden,Staden
36019,VROUW,4440,1263,5703,Staden,Staden
37000,TOTAL,73908,18997,92905,Arrondissement Tielt,Arrondissement de Tielt
37000,MAN,38028,8596,46624,Arrondissement Tielt,Arrondissement de Tielt
37000,VROUW,35880,10401,46281,Arrondissement Tielt,Arrondissement de Tielt
37002,TOTAL,6904,1651,8555,Dentergem,Dentergem
37002,MAN,3550,738,4288,Dentergem,Dentergem
37002,VROUW,3354,913,4267,Dentergem,Dentergem
37007,TOTAL,8594,2266,10860,Meulebeke,Meulebeke
37007,MAN,4430,1026,5456,Meulebeke,Meulebeke
37007,VROUW,4164,1240,5404,Meulebeke,Meulebeke
37010,TOTAL,6390,1542,7932,Oostrozebeke,Oostrozebeke
37010,MAN,3228,696,3924,Oostrozebeke,Oostrozebeke
37010,VROUW,3162,846,4008,Oostrozebeke,Oostrozebeke
37011,TOTAL,5355,1383,6738,Pittem,Pittem
37011,MAN,2801,619,3420,Pittem,Pittem
37011,VROUW,2554,764,3318,Pittem,Pittem
37012,TOTAL,4248,1110,5358,Ruiselede,Ruiselede
37012,MAN,2183,495,2678,Ruiselede,Ruiselede
37012,VROUW,2065,615,2680,Ruiselede,Ruiselede
37015,TOTAL,16021,4481,20502,Tielt (Tielt),Tielt (Tielt)
37015,MAN,8234,1993,10227,Tielt (Tielt),Tielt (Tielt)
37015,VROUW,7787,2488,10275,Tielt (Tielt),Tielt (Tielt)
37017,TOTAL,7937,1704,9641,Wielsbeke,Wielsbeke
37017,MAN,4085,789,4874,Wielsbeke,Wielsbeke
37017,VROUW,3852,915,4767,Wielsbeke,Wielsbeke
37018,TOTAL,11426,2837,14263,Wingene,Wingene
37018,MAN,5922,1321,7243,Wingene,Wingene
37018,VROUW,5504,1516,7020,Wingene,Wingene
37020,TOTAL,7033,2023,9056,Ardooie,Ardooie
37020,MAN,3595,919,4514,Ardooie,Ardooie
37020,VROUW,3438,1104,4542,Ardooie,Ardooie
38000,TOTAL,41579,20078,61657,Arrondissement Veurne,Arrondissement de Furnes
38000,MAN,21247,9224,30471,Arrondissement Veurne,Arrondissement de Furnes
38000,VROUW,20332,10854,31186,Arrondissement Veurne,Arrondissement de Furnes
38002,TOTAL,4160,887,5047,Alveringem,Alveringem
38002,MAN,2162,432,2594,Alveringem,Alveringem
38002,VROUW,1998,455,2453,Alveringem,Alveringem
38008,TOTAL,7704,3472,11176,De Panne,La Panne
38008,MAN,3925,1572,5497,De Panne,La Panne
38008,VROUW,3779,1900,5679,De Panne,La Panne
38014,TOTAL,13143,8767,21910,Koksijde,Koksijde
38014,MAN,6712,4083,10795,Koksijde,Koksijde
38014,VROUW,6431,4684,11115,Koksijde,Koksijde
38016,TOTAL,7586,4035,11621,Nieuwpoort,Nieuport
38016,MAN,3854,1860,5714,Nieuwpoort,Nieuport
38016,VROUW,3732,2175,5907,Nieuwpoort,Nieuport
38025,TOTAL,8986,2917,11903,Veurne,Furnes
38025,MAN,4594,1277,5871,Veurne,Furnes
38025,VROUW,4392,1640,6032,Veurne,Furnes
40000,TOTAL,1216197,298867,1515064,Provincie Oost-Vlaanderen,Province de Flandre orientale
40000,MAN,615566,132743,748309,Provincie Oost-Vlaanderen,Province de Flandre orientale
40000,VROUW,600631,166124,766755,Provincie Oost-Vlaanderen,Province de Flandre orientale
41000,TOTAL,232436,58793,291229,Arrondissement Aalst,Arrondissement d’Alost
41000,MAN,117380,25669,143049,Arrondissement Aalst,Arrondissement d’Alost
41000,VROUW,115056,33124,148180,Arrondissement Aalst,Arrondissement d’Alost
41002,TOTAL,69406,17039,86445,Aalst (Aalst),Alost (Alost)
41002,MAN,35081,7342,42423,Aalst (Aalst),Alost (Alost)
41002,VROUW,34325,9697,44022,Aalst (Aalst),Alost (Alost)
41011,TOTAL,16805,3533,20338,Denderleeuw,Denderleeuw
41011,MAN,8407,1555,9962,Denderleeuw,Denderleeuw
41011,VROUW,8398,1978,10376,Denderleeuw,Denderleeuw
41018,TOTAL,26557,6882,33439,Geraardsbergen,Grammont
41018,MAN,13454,3006,16460,Geraardsbergen,Grammont
41018,VROUW,13103,3876,16979,Geraardsbergen,Grammont
41024,TOTAL,14810,3823,18633,Haaltert,Haaltert
41024,MAN,7488,1686,9174,Haaltert,Haaltert
41024,VROUW,7322,2137,9459,Haaltert,Haaltert
41027,TOTAL,14508,3519,18027,Herzele,Herzele
41027,MAN,7342,1551,8893,Herzele,Herzele
41027,VROUW,7166,1968,9134,Herzele,Herzele
41034,TOTAL,14817,3884,18701,Lede,Lede
41034,MAN,7477,1758,9235,Lede,Lede
41034,VROUW,7340,2126,9466,Lede,Lede
41048,TOTAL,30920,7991,38911,Ninove,Ninove
41048,MAN,15540,3529,19069,Ninove,Ninove
41048,VROUW,15380,4462,19842,Ninove,Ninove
41063,TOTAL,8296,2046,10342,Sint-Lievens-Houtem,Sint-Lievens-Houtem
41063,MAN,4206,907,5113,Sint-Lievens-Houtem,Sint-Lievens-Houtem
41063,VROUW,4090,1139,5229,Sint-Lievens-Houtem,Sint-Lievens-Houtem
41081,TOTAL,20784,5798,26582,Zottegem,Zottegem
41081,MAN,10468,2441,12909,Zottegem,Zottegem
41081,VROUW,10316,3357,13673,Zottegem,Zottegem
41082,TOTAL,15533,4278,19811,Erpe-Mere,Erpe-Mere
41082,MAN,7917,1894,9811,Erpe-Mere,Erpe-Mere
41082,VROUW,7616,2384,10000,Erpe-Mere,Erpe-Mere
42000,TOTAL,160554,40659,201213,Arrondissement Dendermonde,Arrondissement de Termonde
42000,MAN,80940,18148,99088,Arrondissement Dendermonde,Arrondissement de Termonde
42000,VROUW,79614,22511,102125,Arrondissement Dendermonde,Arrondissement de Termonde
42003,TOTAL,11927,3031,14958,Berlare,Berlare
42003,MAN,5965,1403,7368,Berlare,Berlare
42003,VROUW,5962,1628,7590,Berlare,Berlare
42004,TOTAL,11498,3019,14517,Buggenhout,Buggenhout
42004,MAN,5818,1352,7170,Buggenhout,Buggenhout
42004,VROUW,5680,1667,7347,Buggenhout,Buggenhout
42006,TOTAL,36323,9446,45769,Dendermonde,Termonde
42006,MAN,18216,4108,22324,Dendermonde,Termonde
42006,VROUW,18107,5338,23445,Dendermonde,Termonde
42008,TOTAL,19948,4917,24865,Hamme (Dendermonde),Hamme (Termonde)
42008,MAN,10114,2223,12337,Hamme (Dendermonde),Hamme (Termonde)
42008,VROUW,9834,2694,12528,Hamme (Dendermonde),Hamme (Termonde)
42010,TOTAL,9650,2720,12370,Laarne,Laarne
42010,MAN,4841,1267,6108,Laarne,Laarne
42010,VROUW,4809,1453,6262,Laarne,Laarne
42011,TOTAL,15495,3826,19321,Lebbeke,Lebbeke
42011,MAN,7825,1692,9517,Lebbeke,Lebbeke
42011,VROUW,7670,2134,9804,Lebbeke,Lebbeke
42023,TOTAL,8562,2239,10801,Waasmunster,Waasmunster
42023,MAN,4360,1038,5398,Waasmunster,Waasmunster
42023,VROUW,4202,1201,5403,Waasmunster,Waasmunster
42025,TOTAL,20665,5150,25815,Wetteren,Wetteren
42025,MAN,10400,2222,12622,Wetteren,Wetteren
42025,VROUW,10265,2928,13193,Wetteren,Wetteren
42026,TOTAL,9392,2280,11672,Wichelen,Wichelen
42026,MAN,4720,1021,5741,Wichelen,Wichelen
42026,VROUW,4672,1259,5931,Wichelen,Wichelen
42028,TOTAL,17094,4031,21125,Zele,Zele
42028,MAN,8681,1822,10503,Zele,Zele
42028,VROUW,8413,2209,10622,Zele,Zele
