node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,startProvince,endProvince,startCommune,endCommune
12,1,0.144461967181504,632856.344393896,652320.269445412,627900.92433777,638449.465755059,0.144461967181504,0,2020.0686527869,2020.21311475408,46175000,Hainaut,Hainaut,6238,7100
12,13,0.05347371079,632856.344393896,652320.269445412,634677.340933252,650435.476565199,0.05347371079,0,2020.0686527869,2020.12212649769,46175000,Hainaut,Hainaut,6238,6230
13,14,0.000166289214100002,634677.340933252,650435.476565199,647205.123677713,738511.499027364,0.0536400000041,0.05347371079,2020.12212649769,2020.1222927869,46175000,Hainaut,Liège,6230,4030
13,17,0.049425892,634677.340933252,650435.476565199,634650.610660619,651373.914725573,0.10289960279,0.05347371079,2020.12212649769,2020.17155238969,46175000,Hainaut,Hainaut,6230,6238
14,5,0.123608852481504,647205.123677713,738511.499027364,646203.54615974,738775.909736119,0.177248852485604,0.0536400000041,2020.1222927869,2020.24590163939,46175000,Liège,Liège,4030,4032
14,15,0.05743566521,647205.123677713,738511.499027364,647105.167496238,739488.703332145,0.1110756652141,0.0536400000041,2020.1222927869,2020.17972845211,46175000,Liège,Liège,4030,4030
15,16,0.000544334787500003,647105.167496238,739488.703332145,655996.060038786,740976.999070019,0.1116200000016,0.1110756652141,2020.17972845211,2020.1802727869,46175000,Liège,Liège,4030,4680
15,4,0.000599416736104266,647105.167496238,739488.703332145,647139.366155727,739460.047409309,0.111675081950204,0.1110756652141,2020.17972845211,2020.18032786885,46175000,Liège,Liège,4030,4030
16,2,0.0000550819485742732,655996.060038786,740976.999070019,656797.226904602,739454.820288108,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,46175000,Liège,Liège,4680,4680
16,3,0.0000550819485742732,655996.060038786,740976.999070019,656020.05133016,741017.497414941,0.111675081950174,0.1116200000016,2020.1802727869,2020.18032786885,46175000,Liège,Liège,4680,4680
17,18,0.000470397218599997,634650.610660619,651373.914725573,634653.65650646,651324.693912713,0.1033700000086,0.10289960279,2020.17155238969,2020.17202278691,46175000,Hainaut,Hainaut,6238,6238
17,6,0.0524913261615043,634650.610660619,651373.914725573,644384.961591768,773135.884138858,0.155390928951504,0.10289960279,2020.17155238969,2020.22404371585,46175000,Hainaut,Liège,6238,4700
18,7,0.0984690163715043,634653.65650646,651324.693912713,622516.226418491,659810.870950471,0.201839016380104,0.1033700000086,2020.17202278691,2020.27049180328,46175000,Hainaut,Hainaut,6238,6200
18,19,0.00408,634653.65650646,651324.693912713,634268.668713108,652695.070136099,0.1074500000086,0.1033700000086,2020.17202278691,2020.17610278691,46175000,Hainaut,Hainaut,6238,6238
19,8,0.0506731693815043,634268.668713108,652695.070136099,671904.458948933,644955.589442908,0.158123169390104,0.1074500000086,2020.17610278691,2020.22677595629,46175000,Hainaut,Bruxelles,6238,1082
19,20,0.00546000000000001,634268.668713108,652695.070136099,633795.297471126,652790.637673607,0.1129100000086,0.1074500000086,2020.17610278691,2020.18156278691,46175000,Hainaut,Hainaut,6238,6238
20,9,0.0506776502515043,633795.297471126,652790.637673607,633057.42294232,657644.111877344,0.163587650260104,0.1129100000086,2020.18156278691,2020.23224043716,46175000,Hainaut,Hainaut,6238,6211
20,21,0.04515,633795.297471126,652790.637673607,637454.915574243,648614.569843711,0.1580600000086,0.1129100000086,2020.18156278691,2020.22671278691,46175000,Hainaut,Hainaut,6238,6230
21,10,0.0000631693803942734,637454.915574243,648614.569843711,671619.376521435,696445.997637305,0.158123169388994,0.1580600000086,2020.22671278691,2020.22677595629,46175000,Hainaut,VlaamsBrabant,6230,3350
21,11,0.0191888524415043,637454.915574243,648614.569843711,637170.223797644,648568.52183319,0.177248852450104,0.1580600000086,2020.22671278691,2020.24590163935,46175000,Hainaut,Hainaut,6230,6230
26,27,0.000199923969000003,679547.586227093,685626.79049987,679551.265016857,685632.460814085,0.000199923969000003,0,2020.18135286292,2020.18155278689,9235000,VlaamsBrabant,VlaamsBrabant,3390,3390
26,28,0.000199923969000003,679547.586227093,685626.79049987,679551.265016857,685632.460814085,0.000199923969000003,0,2020.18135286292,2020.18155278689,9235000,VlaamsBrabant,VlaamsBrabant,3390,3390
27,22,0.0588843715798546,679551.265016857,685632.460814085,694149.031382167,707001.323415995,0.0590842955488546,0.000199923969000003,2020.18155278689,2020.24043715847,9235000,VlaamsBrabant,Limburg,3390,3583
27,23,0.0479554098398546,679551.265016857,685632.460814085,679229.418318674,685173.330251501,0.0481553338088546,0.000199923969000003,2020.18155278689,2020.22950819673,9235000,VlaamsBrabant,VlaamsBrabant,3390,3390
