# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Apr 21 16:48:21 CEST 2020 [seed=1587480498445]
# -beagle_gpu -beagle_double -beagle_order 1 -overwrite Nextstrain_200420_3.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Belgium.other	location.rates.other.Belgium	location.indicators.Belgium.other	location.indicators.other.Belgium	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-1042.4508951087528	-169.753544491096	-872.6973506176569	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	-872.6973506176569
1000	-987.4505734935636	-83.12953621360056	-904.3210372799631	0.49082883333107463	0.4908288333310755	0.32122831190721446	0.9768911959095234	1.0	1.0	2.0	0.0	-904.3210372799631
2000	-989.6693040166479	-87.13206086210612	-902.5372431545418	0.4984317839145892	0.4984317839145897	1.1122884756790221	2.902992951696148	1.0	1.0	2.0	0.0	-902.5372431545418
3000	-984.6021546482576	-64.9035270439467	-919.6986276043109	0.3861783236397804	0.38617832363978094	0.14924226536117852	0.62930145935119	1.0	1.0	2.0	0.0	-919.6986276043109
4000	-984.193896997904	-77.276252861226	-906.917644136678	0.4633659379204321	0.46336593792043296	0.019354207207973376	0.06941519285726254	1.0	1.0	2.0	0.0	-906.917644136678
5000	-983.9389698400333	-72.49999926124357	-911.4389705787897	0.43233632035297737	0.4323363203529789	0.09910716343657267	0.46259759623303437	1.0	1.0	2.0	0.0	-911.4389705787897
6000	-985.4996086156664	-68.21929415498178	-917.2803144606846	0.40096089881777097	0.4009608988177732	0.3576744033900514	1.2336399186789453	1.0	1.0	2.0	0.0	-917.2803144606846
7000	-985.8430844058635	-76.86774506008655	-908.9753393457769	0.4558144212940553	0.4558144212940562	0.14940625704996321	0.8081046209850691	1.0	1.0	2.0	0.0	-908.9753393457769
8000	-986.3833661329867	-79.49653000859686	-906.8868361243898	0.46160266649100123	0.4616026664910014	0.6358331689826983	1.9714377370906564	1.0	1.0	2.0	0.0	-906.8868361243898
9000	-986.3231077238179	-68.27964016696878	-918.0434675568491	0.397021423066668	0.3970214230666661	0.5054366744727169	1.813190040055604	1.0	1.0	2.0	0.0	-918.0434675568491
10000	-985.9046576909695	-69.47546483559306	-916.4291928553765	0.40484243446702717	0.4048424344670268	0.48546294988572736	1.7049123381261404	1.0	1.0	2.0	0.0	-916.4291928553765
11000	-997.7979753684318	-92.91232565424164	-904.8856497141902	0.4756624929169192	0.47566249291692203	2.9503950599108877	10.694913329080562	1.0	1.0	2.0	0.0	-904.8856497141902
12000	-985.0145267265818	-71.62374213749344	-913.3907845890884	0.42279605164325224	0.422796051643255	0.2885020064145344	1.0113462919284875	1.0	1.0	2.0	0.0	-913.3907845890884
13000	-984.9259270889597	-76.85808521175328	-908.0678418772064	0.4523822648648847	0.4523822648648863	0.3469834164235805	1.1814211701552237	1.0	1.0	2.0	0.0	-908.0678418772064
14000	-983.920042237474	-70.49917206190214	-913.4208701755718	0.42014096468115514	0.42014096468115897	0.10673789803040665	0.517877938258231	1.0	1.0	2.0	0.0	-913.4208701755718
15000	-984.6313139106196	-80.07449445933395	-904.5568194512857	0.47679532830415894	0.4767953283041584	0.152007229521623	0.4639074106491047	1.0	1.0	2.0	0.0	-904.5568194512857
16000	-986.0434652888829	-82.97403109756307	-903.0694341913198	0.4954627830146455	0.49546278301464786	0.09429222482923588	0.26488777323585017	1.0	1.0	2.0	0.0	-903.0694341913198
17000	-985.8760144170403	-70.92231472983627	-914.953699687204	0.412611565450242	0.4126115654502445	0.4636867783528946	1.8584303257998174	1.0	1.0	2.0	0.0	-914.953699687204
18000	-988.1457107016722	-69.24345427361253	-918.9022564280597	0.40250244838591415	0.4025024483859145	0.6533635351537409	1.701134615164968	1.0	1.0	2.0	0.0	-918.9022564280597
19000	-989.9930704554364	-89.0931211959728	-900.8999492594636	0.5288096462340551	0.5288096462340568	0.21311908726882747	0.6286370440219217	1.0	1.0	2.0	0.0	-900.8999492594636
20000	-988.9805757456131	-74.70093464598354	-914.2796410996295	0.41553248930148	0.41553248930147846	0.8515640087464508	4.75478419359809	1.0	1.0	2.0	0.0	-914.2796410996295
21000	-984.3847119085332	-70.92892557999043	-913.4557863285428	0.41913955549574256	0.4191395554957461	0.25548274018991735	0.9683667679993407	1.0	1.0	2.0	0.0	-913.4557863285428
22000	-989.2064489650476	-73.0805082826486	-916.125940682399	0.4055154531025029	0.4055154531025027	0.8662158424301125	4.8152714803774215	1.0	1.0	2.0	0.0	-916.125940682399
23000	-984.5509231955531	-71.57378426671731	-912.9771389288358	0.4270516446195017	0.42705164461950246	0.13377526456060465	0.3959545479275663	1.0	1.0	2.0	0.0	-912.9771389288358
24000	-984.3025681392226	-74.28029268512427	-910.0222754540982	0.43922882358306686	0.4392288235830656	0.22657164386260337	0.9492318886314766	1.0	1.0	2.0	0.0	-910.0222754540982
25000	-987.7329495231976	-82.98474001309806	-904.7482095100995	0.48529595324176267	0.48529595324176467	0.4475008006316888	1.6412921815585153	1.0	1.0	2.0	0.0	-904.7482095100995
26000	-984.9849370026114	-73.94242092752563	-911.0425160750858	0.4421257248551027	0.4421257248551035	0.05775579406154098	0.29006436229562454	1.0	1.0	2.0	0.0	-911.0425160750858
27000	-986.8507402920848	-78.05918456328212	-908.7915557288027	0.4480256340370593	0.44802563403705786	0.6417624102354281	2.8247125971358353	1.0	1.0	2.0	0.0	-908.7915557288027
28000	-984.3787446096793	-68.016653084825	-916.3620915248543	0.4087836624289075	0.4087836624289058	0.007873877277702652	0.05652158972349206	1.0	1.0	2.0	0.0	-916.3620915248543
29000	-987.0753005893317	-75.61716946024184	-911.4581311290899	0.4333918825079339	0.4333918825079314	0.5654646982370782	2.934803590345242	1.0	1.0	2.0	0.0	-911.4581311290899
30000	-984.9903429178594	-75.48743448663748	-909.5029084312218	0.4443186888371282	0.44431868883712733	0.2492638249668118	1.2725680416811485	1.0	1.0	2.0	0.0	-909.5029084312218
31000	-986.5789369405503	-71.07933673493514	-915.4996002056151	0.41688700757370006	0.4168870075737006	0.47388359567870547	1.2816124705655212	1.0	1.0	2.0	0.0	-915.4996002056151
32000	-984.744696576391	-69.13330356535816	-915.6113930110329	0.412481030365568	0.4124810303655697	0.11561011031467375	0.43959047828876147	1.0	1.0	2.0	0.0	-915.6113930110329
33000	-985.6619880535259	-69.72079945722561	-915.9411885963002	0.41282431774566253	0.41282431774566336	0.26329601720968887	0.8212950108760869	1.0	1.0	2.0	0.0	-915.9411885963002
34000	-988.1686857345316	-63.332024960854945	-924.8366607736766	0.3720757264305139	0.37207572643051434	0.37796500633408137	1.217621324882362	1.0	1.0	2.0	0.0	-924.8366607736766
35000	-985.5083121649164	-69.61029064864644	-915.89802151627	0.4080640238356746	0.40806402383567664	0.38962389857485674	1.3902255106598878	1.0	1.0	2.0	0.0	-915.89802151627
36000	-984.5283145460429	-69.02710457809472	-915.5012099679482	0.4090871643189053	0.40908716431890607	0.14685116270958867	0.8766211674625422	1.0	1.0	2.0	0.0	-915.5012099679482
37000	-985.0001280067294	-76.88394418207285	-908.1161838246566	0.4553101424174215	0.4553101424174211	0.17848338244259876	0.8805242340133219	1.0	1.0	2.0	0.0	-908.1161838246566
38000	-990.248932877166	-72.86120474531342	-917.3877281318526	0.4008462204511027	0.40084622045110435	1.0261099322561216	5.226529723308663	1.0	1.0	2.0	0.0	-917.3877281318526
39000	-986.4414276483079	-63.63088414595257	-922.8105435023554	0.3741993355739239	0.3741993355739232	0.32794688890462825	1.2067801438610513	1.0	1.0	2.0	0.0	-922.8105435023554
40000	-986.4238348231121	-77.25430930857435	-909.1695255145378	0.4519539916923195	0.451953991692321	0.2793547105784346	1.7177189269406137	1.0	1.0	2.0	0.0	-909.1695255145378
