# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 03 08:21:27 CEST 2020 [seed=1588486884994]
# Nextstrain_200420_3.xml
state	location.rates.Belgium.other	location.rates.other.Belgium	location.indicators.Belgium.other	location.indicators.other.Belgium	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	0.33677823227535864	2.3994604176940024	1.0	1.0	2.0
2000	0.6366831213337276	2.5713986920538403	1.0	1.0	2.0
3000	0.13311087521585688	0.5411920307728831	1.0	1.0	2.0
4000	0.47036106609324674	2.348233874988386	1.0	1.0	2.0
5000	0.11390281622074923	0.4610888134069021	1.0	1.0	2.0
6000	0.2624014691487611	0.8001744824508871	1.0	1.0	2.0
7000	0.1307313348325549	0.8242512390171338	1.0	1.0	2.0
8000	0.26424120475065443	0.9144254866208803	1.0	1.0	2.0
9000	0.3656612963836058	1.553941494869692	1.0	1.0	2.0
10000	0.3261264823826912	0.664322835159994	1.0	1.0	2.0
11000	0.19521730972912352	0.8377790735687884	1.0	1.0	2.0
12000	0.024065098159513368	0.09472033050168518	1.0	1.0	2.0
13000	0.0525115033174936	0.2707066137602118	1.0	1.0	2.0
14000	0.3748511592746408	1.0861132959371638	1.0	1.0	2.0
15000	0.24563849004805147	0.7726884682038789	1.0	1.0	2.0
16000	0.9078602149826369	2.3751553978245816	1.0	1.0	2.0
17000	0.6618028256092086	1.6533544908118485	1.0	1.0	2.0
18000	0.13673704878960408	0.4433614488151655	1.0	1.0	2.0
19000	0.6794018974445202	1.7334267715823142	1.0	1.0	2.0
20000	0.20899541991399004	0.6677095070260349	1.0	1.0	2.0
21000	0.07749925393735874	0.297019934356022	1.0	1.0	2.0
22000	0.06734906807553646	0.22469627673362338	1.0	1.0	2.0
23000	0.12230031887605615	0.3890770887638586	1.0	1.0	2.0
24000	0.36112673046917826	1.9457678587281715	1.0	1.0	2.0
25000	0.2765674198263149	1.1962274087264126	1.0	1.0	2.0
26000	0.22502685687430474	1.2086133307032636	1.0	1.0	2.0
27000	0.052896060091828435	0.33366987183380564	1.0	1.0	2.0
28000	0.06406662888804068	0.2691286282001672	1.0	1.0	2.0
29000	0.5674948689812797	1.6511642252542384	1.0	1.0	2.0
30000	0.12884143315031354	0.5550116957258964	1.0	1.0	2.0
31000	0.31087246870982044	1.418296472443893	1.0	1.0	2.0
32000	0.20158235037970712	1.020892470173251	1.0	1.0	2.0
33000	0.035853878757973245	0.1443657246327629	1.0	1.0	2.0
34000	0.3965203360232971	2.6601434655206426	1.0	1.0	2.0
35000	0.34683618666014115	1.2799356196390828	1.0	1.0	2.0
36000	0.07041915221324252	0.2190919906662461	1.0	1.0	2.0
37000	0.8261144312323762	2.4797439499028533	1.0	1.0	2.0
38000	0.4270610689117159	1.7211893977441202	1.0	1.0	2.0
39000	0.22652194580245144	1.1399010836500965	1.0	1.0	2.0
40000	0.25006480311395834	0.8056988792146648	1.0	1.0	2.0
