sequenceID,collectionDate,postCode,longitude,latitude
hCoV-19/Belgium/DBWC-0325340/2020|EPI_ISL_462194|2020-03-25,2020.22950819672,2600,654070.289439216,708472.766905742
hCoV-19/Belgium/UGent-48/2020|EPI_ISL_434364|2020-03-30,2020.24316939891,NA,NA,NA
hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03|Europe,2020.09016393443,8560,566306.80953035,670606.773329757
hCoV-19/Belgium/KWA-0323410/2020|EPI_ISL_462264|2020-03-23,2020.22404371585,9100,632329.352109101,708451.030398367
hCoV-19/Belgium/JLJ-0320101/2020|EPI_ISL_420357|2020-03-20|Europe,2020.21584699454,1040,652725.731453406,669086.593657165
hCoV-19/Belgium/MSE-0324121/2020|EPI_ISL_420378|2020-03-24|Europe,2020.22677595628,7340,612156.090177799,622382.610918291
hCoV-19/Belgium/BJ-0324192/2020|EPI_ISL_420412|2020-03-24|Europe,2020.22677595628,3582,715170.260911246,694378.032006643
hCoV-19/Belgium/DGL-0326336/2020|EPI_ISL_462190|2020-03-26,2020.23224043716,8460,554390.8441224,706762.474483647
hCoV-19/Belgium/DAA-0327369/2020|EPI_ISL_462223|2020-03-27,2020.2349726776,8540,578554.594130932,668971.664755308
hCoV-19/Belgium/ITM_C193/2020|EPI_ISL_450731|2020-03-31|Europe,2020.24590163934,NA,NA,NA
hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,2020.19945355191,4633,748397.527960588,648087.096562938
hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,2020.24316939891,4802,756171.996666389,641408.05015463
hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,2020.24590163934,4100,728120.996007513,641783.590907886
hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe,2020.25956284153,4900,755208.645645615,630564.416883896
