# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 18 11:57:47 CEST 2020 [seed=1592474265207]
# /Users/simondellicour/Dropbox/Temp_MacP/NCOV/Belgium/Phylogenetic_analyses/TreeTime_100620.xml
state	location.rates.Belgium.other	location.rates.other.Belgium	location.indicators.Belgium.other	location.indicators.other.Belgium	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	0.24476444456042812	0.4356357843484173	1.0	1.0	2.0
2000	0.8930781550088863	1.8023553273291177	1.0	1.0	2.0
3000	0.31676228825364006	0.6249051871416657	1.0	1.0	2.0
4000	0.6693722794374453	1.030705600180318	1.0	1.0	2.0
5000	0.16218729251355185	0.37178611805795997	1.0	1.0	2.0
6000	0.30230743263710946	0.4806946191522547	1.0	1.0	2.0
7000	0.3158751112062351	0.40903777381308115	1.0	1.0	2.0
8000	0.39306182145826407	0.8144851929146849	1.0	1.0	2.0
9000	0.5417094094547462	1.0082947009854943	1.0	1.0	2.0
10000	0.9078945093876277	1.4383865450067246	1.0	1.0	2.0
11000	0.5588676946151337	0.9481074215881045	1.0	1.0	2.0
12000	0.03474387335039888	0.08549010198729513	1.0	1.0	2.0
13000	1.256860204826557	1.5516888875913761	1.0	1.0	2.0
14000	1.2735775633275148	2.5262845679726014	1.0	1.0	2.0
15000	1.792119295486247	2.7712260045843324	1.0	1.0	2.0
16000	0.7714089260757367	2.1379620344843624	1.0	1.0	2.0
17000	0.3550564168215474	0.5495771949850755	1.0	1.0	2.0
18000	1.0051415148351748	1.1128584654926856	1.0	1.0	2.0
19000	0.319980701839393	0.7023220211347713	1.0	1.0	2.0
20000	0.6566413373095066	1.099897908827698	1.0	1.0	2.0
21000	0.4286221367018207	0.7706916015255773	1.0	1.0	2.0
22000	0.6108984072942371	0.8605986347217565	1.0	1.0	2.0
23000	1.2497535009922998	1.8887796112683652	1.0	1.0	2.0
24000	0.6066714712761637	1.0425759848670617	1.0	1.0	2.0
25000	0.18340861383402962	0.37954681491949266	1.0	1.0	2.0
26000	0.35039289901691867	0.6655143129654368	1.0	1.0	2.0
27000	0.03826812968839439	0.06344268230020612	1.0	1.0	2.0
28000	0.07465370052509696	0.14785092382478832	1.0	1.0	2.0
29000	0.16285094707833359	0.26513511067064693	1.0	1.0	2.0
30000	0.48112565948665	0.766280749315387	1.0	1.0	2.0
31000	0.7342800597950184	1.0853096127643904	1.0	1.0	2.0
32000	0.7444828740264657	1.5624039700412191	1.0	1.0	2.0
33000	0.5278712040863544	0.7050527147480662	1.0	1.0	2.0
34000	1.1429347628440216	1.703023726058319	1.0	1.0	2.0
35000	1.5286557197493313	2.0958791699094568	1.0	1.0	2.0
36000	0.6368189093495021	0.8986586108466252	1.0	1.0	2.0
37000	0.2110398006004782	0.3704231599272358	1.0	1.0	2.0
38000	0.9222681658271729	1.3497881851136895	1.0	1.0	2.0
39000	1.1147641058448818	1.484921800582484	1.0	1.0	2.0
40000	1.8510108944978225	2.5183787927883943	1.0	1.0	2.0
41000	0.12228355280077771	0.2888190198326467	1.0	1.0	2.0
42000	0.2335039529608341	0.4487064511759444	1.0	1.0	2.0
43000	0.8693615343999852	1.3601553074095243	1.0	1.0	2.0
44000	1.3945930052593642	2.369763352659594	1.0	1.0	2.0
45000	0.3994336764444498	0.564983249847963	1.0	1.0	2.0
46000	0.6320552127090304	1.0863060872209191	1.0	1.0	2.0
47000	0.48931408699925927	0.8271728642426791	1.0	1.0	2.0
48000	0.2533821580888609	0.42301441461203865	1.0	1.0	2.0
49000	0.1702583605555703	0.2598863956089313	1.0	1.0	2.0
50000	1.3093169074324762	2.2503677502858594	1.0	1.0	2.0
51000	0.5632150954422187	0.8937321926292309	1.0	1.0	2.0
52000	0.2666866545539461	0.3653032885829848	1.0	1.0	2.0
53000	0.5100237796389749	0.6786600934626166	1.0	1.0	2.0
54000	0.29616625226112603	0.5847750782634707	1.0	1.0	2.0
55000	0.8480871733797918	1.2329597176865328	1.0	1.0	2.0
56000	0.8178647312574047	1.1757421481177261	1.0	1.0	2.0
57000	1.7196623421495525	2.773315209715571	1.0	1.0	2.0
58000	0.5254331062526566	0.7677867923211744	1.0	1.0	2.0
59000	0.39528250938285864	0.6456124211958962	1.0	1.0	2.0
60000	0.3748583160468293	0.4480205608064623	1.0	1.0	2.0
61000	0.6861427641714487	0.9406756532953704	1.0	1.0	2.0
62000	0.9498735747124982	1.1134490731413942	1.0	1.0	2.0
63000	2.3835178257115075	3.273211398784573	1.0	1.0	2.0
64000	1.070471372802804	1.503249567706606	1.0	1.0	2.0
65000	1.0841862419821404	1.6351552314680284	1.0	1.0	2.0
66000	1.6717280016665794	1.990864277055134	1.0	1.0	2.0
67000	1.2894845692945096	1.5169565006247052	1.0	1.0	2.0
68000	1.030933241904566	1.8045422338314916	1.0	1.0	2.0
69000	0.4923449046658195	0.8802062980267928	1.0	1.0	2.0
70000	0.43989650456259044	0.736330318322557	1.0	1.0	2.0
71000	2.259308465255056	3.169558574845772	1.0	1.0	2.0
72000	0.3409459122990522	0.4667391431009168	1.0	1.0	2.0
73000	0.8198552930251896	1.260015659779672	1.0	1.0	2.0
74000	1.653683773713354	3.2462172507506675	1.0	1.0	2.0
75000	0.1933712947625635	0.31604594534417124	1.0	1.0	2.0
76000	1.2510745918009234	1.9487738000341759	1.0	1.0	2.0
77000	1.9732734010070152	2.5712038947886313	1.0	1.0	2.0
78000	0.41627630845031305	0.7711221168714271	1.0	1.0	2.0
79000	0.288269882898636	0.48610194021764813	1.0	1.0	2.0
80000	0.5305097944868512	1.0514517001549368	1.0	1.0	2.0
81000	0.34895558167427304	0.6944513809427655	1.0	1.0	2.0
82000	0.4981969591442589	0.8691691185553437	1.0	1.0	2.0
83000	0.6870974219238135	1.3199010970234628	1.0	1.0	2.0
84000	0.9240925522076282	1.3986715501415476	1.0	1.0	2.0
85000	0.11059240026431048	0.21108187309301593	1.0	1.0	2.0
86000	1.2055801489323792	2.7337570198743095	1.0	1.0	2.0
87000	0.5921298409336035	1.0851280764659157	1.0	1.0	2.0
88000	0.6065549027757423	1.0094504370089905	1.0	1.0	2.0
89000	0.20762579219345564	0.3101788425413195	1.0	1.0	2.0
90000	1.0958924444610514	2.4744118909870187	1.0	1.0	2.0
