trait	location	collection_date	latitude	longitude
Singapore/32/2020	other	11/03/2020	NA	NA
Singapore/31/2020	other	10/03/2020	NA	NA
Wales/PHWC-24F36/2020	other	21/03/2020	NA	NA
Australia/VIC129/2020	other	21/03/2020	NA	NA
Scotland/CVR162/2020	other	17/03/2020	NA	NA
Scotland/EDB204/2020	other	26/03/2020	NA	NA
Scotland/EDB354/2020	other	30/03/2020	NA	NA
Scotland/EDB191/2020	other	25/03/2020	NA	NA
Scotland/CVR172/2020	other	17/03/2020	NA	NA
England/NOTT-10E766/2020	other	24/03/2020	NA	NA
USA/IL_1375/2020	other	01/03/2020	NA	NA
Scotland/CVR16/2020	other	12/03/2020	NA	NA
Singapore/33/2020	other	11/03/2020	NA	NA
USA/UT-00159/2020	other	14/03/2020	NA	NA
Qatar/QA22/2020	other	23/03/2020	NA	NA
Qatar/QA13/2020	other	23/03/2020	NA	NA
Scotland/EDB063/2020	other	19/03/2020	NA	NA
Qatar/QA08/2020	other	23/03/2020	NA	NA
Scotland/EDB055/2020	other	19/03/2020	NA	NA
England/20148002504/2020	other	02/04/2020	NA	NA
England/20148002404/2020	other	02/04/2020	NA	NA
Germany/NRW-31/2020	other	15/03/2020	NA	NA
Qatar/QA21/2020	other	23/03/2020	NA	NA
Qatar/QA11/2020	other	23/03/2020	NA	NA
Wales/PHWC-25849/2020	other	25/03/2020	NA	NA
Qatar/QA16/2020	other	23/03/2020	NA	NA
Qatar/QA23/2020	other	23/03/2020	NA	NA
Qatar/QA12/2020	other	23/03/2020	NA	NA
Qatar/QA02/2020	other	23/03/2020	NA	NA
Qatar/QA19/2020	other	23/03/2020	NA	NA
Qatar/QA24/2020	other	23/03/2020	NA	NA
Pakistan/Manga-KPK/2020	other	12/03/2020	NA	NA
England/20129142004/2020	other	12/03/2020	NA	NA
Qatar/QA17/2020	other	23/03/2020	NA	NA
Qatar/QA15/2020	other	23/03/2020	NA	NA
Scotland/EDB034/2020	other	11/03/2020	NA	NA
Qatar/QA18/2020	other	23/03/2020	NA	NA
USA/MN135-MDH135/2020	other	16/03/2020	NA	NA
Norway/2087/2020	other	17/03/2020	NA	NA
Scotland/EDB401/2020	other	29/03/2020	NA	NA
Scotland/EDB110/2020	other	22/03/2020	NA	NA
Qatar/QA20/2020	other	23/03/2020	NA	NA
England/20129147804/2020	other	21/03/2020	NA	NA
England/200690300/2020	other	08/02/2020	NA	NA
Shanghai/SH0119/2020	other	09/02/2020	NA	NA
England/200690245/2020	other	08/02/2020	NA	NA
England/200690756/2020	other	08/02/2020	NA	NA
Singapore/25/2020	other	05/03/2020	NA	NA
Singapore/29/2020	other	06/03/2020	NA	NA
Singapore/26/2020	other	05/03/2020	NA	NA
Netherlands/ZuidHolland_32/2020	other	09/03/2020	NA	NA
England/20109038906/2020	other	06/03/2020	NA	NA
Scotland/EDB002/2020	other	05/03/2020	NA	NA
Netherlands/NoordBrabant_47/2020	other	09/03/2020	NA	NA
Netherlands/Gelderland_9/2020	other	18/03/2020	NA	NA
Netherlands/Limburg_6/2020	other	03/03/2020	NA	NA
Ecuador/HEE-01/2020	other	09/03/2020	NA	NA
Netherlands/Utrecht_19/2020	other	12/03/2020	NA	NA
Australia/QLDID928/2020	other	19/03/2020	NA	NA
Netherlands/NA_133/2020	other	11/03/2020	NA	NA
Netherlands/NoordBrabant_31/2020	other	08/03/2020	NA	NA
Netherlands/Oss_1363500/2020	other	29/02/2020	NA	NA
Netherlands/Nieuwendijk_1363582/2020	other	01/03/2020	NA	NA
Netherlands/NoordBrabant_10/2020	other	02/03/2020	NA	NA
Netherlands/NoordBrabant_12/2020	other	06/03/2020	NA	NA
Netherlands/NoordBrabant_54/2020	other	09/03/2020	NA	NA
Netherlands/NA_155/2020	other	21/03/2020	NA	NA
Netherlands/Hardinxveld_Giessendam_1364806/2020	other	02/03/2020	NA	NA
Netherlands/NoordBrabant_11/2020	other	02/03/2020	NA	NA
Netherlands/NoordBrabant_92/2020	other	24/03/2020	NA	NA
Netherlands/NoordBrabant_83/2020	other	11/03/2020	NA	NA
Netherlands/NA_131/2020	other	10/03/2020	NA	NA
Netherlands/NoordBrabant_32/2020	other	08/03/2020	NA	NA
Netherlands/NoordBrabant_79/2020	other	11/03/2020	NA	NA
Netherlands/NoordBrabant_97/2020	other	19/03/2020	NA	NA
Netherlands/Rotterdam_1364040/2020	other	02/03/2020	NA	NA
Netherlands/Naarden_1364774/2020	other	02/03/2020	NA	NA
Netherlands/Andel_1365066/2020	other	01/03/2020	NA	NA
Netherlands/NoordBrabant_48/2020	other	11/03/2020	NA	NA
Scotland/CVR04/2020	other	04/03/2020	NA	NA
Netherlands/NA_313/2020	other	02/04/2020	NA	NA
Netherlands/NoordBrabant_87/2020	other	09/03/2020	NA	NA
NewZealand/CoV001/2020	other	11/03/2020	NA	NA
Netherlands/NA_22/2020	other	08/03/2020	NA	NA
Netherlands/NoordBrabant_29/2020	other	08/03/2020	NA	NA
Scotland/CVR71/2020	other	06/03/2020	NA	NA
Scotland/CVR75/2020	other	06/03/2020	NA	NA
Netherlands/NoordBrabant_94/2020	other	17/03/2020	NA	NA
Portugal/PT0041/2020	other	17/03/2020	NA	NA
Netherlands/NoordBrabant_77/2020	other	11/03/2020	NA	NA
Netherlands/NA_81/2020	other	11/03/2020	NA	NA
Netherlands/Gelderland_10/2020	other	20/03/2020	NA	NA
Netherlands/ZuidHolland_95/2020	other	31/03/2020	NA	NA
Netherlands/NoordBrabant_95/2020	other	17/03/2020	NA	NA
Netherlands/NA_32/2020	other	13/03/2020	NA	NA
Netherlands/NA_227/2020	other	27/03/2020	NA	NA
Belgium/UGent-10/2020	Belgium	25/03/2020	NA	NA
Netherlands/NA_226/2020	other	28/03/2020	NA	NA
Netherlands/ZuidHolland_63/2020	other	23/03/2020	NA	NA
Netherlands/NoordBrabant_42/2020	other	10/03/2020	NA	NA
Netherlands/NoordBrabant_93/2020	other	09/03/2020	NA	NA
Finland/14M82/2020	other	14/03/2020	NA	NA
Netherlands/NA_33/2020	other	07/03/2020	NA	NA
Netherlands/ZuidHolland_48/2020	other	19/03/2020	NA	NA
Netherlands/ZuidHolland_94/2020	other	31/03/2020	NA	NA
Netherlands/NoordBrabant_99/2020	other	19/03/2020	NA	NA
Netherlands/Tilburg_1363354/2020	other	27/02/2020	NA	NA
Netherlands/NoordBrabant_27/2020	other	08/03/2020	NA	NA
Netherlands/NoordBrabant_35/2020	other	09/03/2020	NA	NA
Netherlands/Loon_op_zand_1363512/2020	other	29/02/2020	NA	NA
Netherlands/Dalen_1363624/2020	other	01/03/2020	NA	NA
Netherlands/NoordBrabant_75/2020	other	09/03/2020	NA	NA
Netherlands/NoordBrabant_52/2020	other	09/03/2020	NA	NA
Netherlands/NoordBrabant_38/2020	other	06/03/2020	NA	NA
Netherlands/NoordBrabant_18/2020	other	05/03/2020	NA	NA
USA/MN_0101/2020	other	07/03/2020	NA	NA
USA/MN2-MDH2/2020	other	07/03/2020	NA	NA
Netherlands/NoordBrabant_57/2020	other	11/03/2020	NA	NA
Germany/NRW-15/2020	other	11/03/2020	NA	NA
Netherlands/NoordBrabant_72/2020	other	13/03/2020	NA	NA
Netherlands/NA_40/2020	other	13/03/2020	NA	NA
Netherlands/NA_228/2020	other	27/03/2020	NA	NA
Netherlands/NoordBrabant_68/2020	other	12/03/2020	NA	NA
Netherlands/NoordBrabant_19/2020	other	06/03/2020	NA	NA
Netherlands/NoordBrabant_24/2020	other	06/03/2020	NA	NA
Netherlands/ZuidHolland_85/2020	other	27/03/2020	NA	NA
Netherlands/NA_211/2020	other	25/03/2020	NA	NA
Netherlands/NoordBrabant_44/2020	other	11/03/2020	NA	NA
Netherlands/NA_80/2020	other	11/03/2020	NA	NA
Netherlands/NoordBrabant_49/2020	other	11/03/2020	NA	NA
Netherlands/NA_83/2020	other	11/03/2020	NA	NA
Netherlands/NA_50/2020	other	08/03/2020	NA	NA
Slovakia/SK-BMC6/2020	other	08/03/2020	NA	NA
Netherlands/Gelderland_5/2020	other	10/03/2020	NA	NA
Netherlands/NoordHolland_31/2020	other	10/03/2020	NA	NA
Netherlands/NA_75/2020	other	10/03/2020	NA	NA
Netherlands/NA_71/2020	other	10/03/2020	NA	NA
Netherlands/NoordBrabant_80/2020	other	11/03/2020	NA	NA
Belgium/UGent-3/2020	Belgium	24/03/2020	NA	NA
Belgium/UGent-11/2020	Belgium	24/03/2020	NA	NA
Belgium/UGent-17/2020	Belgium	26/03/2020	NA	NA
Belgium/UGent-19/2020	Belgium	24/03/2020	NA	NA
Belgium/UGent-15/2020	Belgium	25/03/2020	NA	NA
Belgium/UGent-21/2020	Belgium	25/03/2020	NA	NA
Belgium/UGent-1/2020	Belgium	24/03/2020	NA	NA
Belgium/UGent-20/2020	Belgium	25/03/2020	NA	NA
Belgium/UGent-18/2020	Belgium	23/03/2020	NA	NA
Hangzhou/ZJU-09/2020	other	28/01/2020	NA	NA
Australia/VIC01/2020	other	25/01/2020	NA	NA
Hangzhou/ZJU-011/2020	other	04/02/2020	NA	NA
Shanghai/SH0071/2020	other	07/02/2020	NA	NA
Shanghai/SH0106/2020	other	10/02/2020	NA	NA
Australia/NSW02/2020	other	22/01/2020	NA	NA
Netherlands/NoordBrabant_82/2020	other	12/03/2020	NA	NA
Shanghai/SH0047/2020	other	04/02/2020	NA	NA
Hangzhou/ZJU-06/2020	other	02/02/2020	NA	NA
Shanghai/SH0085/2020	other	30/01/2020	NA	NA
Shanghai/SH0094/2020	other	31/01/2020	NA	NA
HongKong/HKPU2_1801/2020	other	23/01/2020	NA	NA
HongKong/VB20017970/2020	other	21/01/2020	NA	NA
Guangdong/FS-S48-P0047/2020	other	28/02/2020	NA	NA
Hangzhou/HZCDC0012/2020	other	20/01/2020	NA	NA
Hangzhou/HZCDC0013/2020	other	20/01/2020	NA	NA
Shanghai/SH0033/2020	other	04/02/2020	NA	NA
Shanghai/SH0068/2020	other	05/02/2020	NA	NA
Wales/PHWC-266E4/2020	other	27/03/2020	NA	NA
Shanghai/SH0045/2020	other	04/02/2020	NA	NA
Shanghai/SH0042/2020	other	06/02/2020	NA	NA
France/IDF0515/2020	other	29/01/2020	NA	NA
Chongqing/IVDC-CQ-001/2020	other	18/01/2020	NA	NA
HongKong/VB20026565/2020	other	01/02/2020	NA	NA
Australia/NT02/2020	other	21/02/2020	NA	NA
USA/TX_2020/2020	other	29/02/2020	NA	NA
Japan/Hu_DP_Kng_19-031/2020	other	14/02/2020	NA	NA
Australia/NT01/2020	other	21/02/2020	NA	NA
Japan/Hu_DP_Kng_19-027/2020	other	10/02/2020	NA	NA
Australia/NT05/2020	other	24/02/2020	NA	NA
Japan/TK-20-31-3/2020	other	20/02/2020	NA	NA
USA/TX_2039/2020	other	29/02/2020	NA	NA
USA/UPHL-01/2020	other	13/03/2020	NA	NA
USA/OR_2656/2020	other	27/02/2020	NA	NA
HongKong/VM20002849/2020	other	22/02/2020	NA	NA
Singapore/3Clin/2020	other	29/01/2020	NA	NA
Japan/Hu_DP_Kng_19-020/2020	other	10/02/2020	NA	NA
Singapore/3/2020	other	01/02/2020	NA	NA
England/201361012/2020	other	26/03/2020	NA	NA
Israel/ISR_JP0320/2020	other	23/02/2020	NA	NA
Australia/NT04/2020	other	22/02/2020	NA	NA
Australia/VIC237/2020	other	21/03/2020	NA	NA
Brazil/SC-766/2020	other	10/03/2020	NA	NA
Taiwan/NTU04/2020	other	04/03/2020	NA	NA
Australia/VIC251/2020	other	21/03/2020	NA	NA
Australia/NSW25/2020	other	05/03/2020	NA	NA
SaudiArabia/KAIMRC-Alghoribi/2020	other	07/03/2020	NA	NA
Australia/NSW49/2020	other	10/03/2020	NA	NA
Australia/NSW72/2020	other	21/03/2020	NA	NA
Australia/NSW69/2020	other	20/03/2020	NA	NA
Australia/NSW71/2020	other	20/03/2020	NA	NA
Australia/NSW70/2020	other	20/03/2020	NA	NA
Slovenia/MB0329/2020	other	29/03/2020	NA	NA
Malaysia/188407/2020	other	18/03/2020	NA	NA
Malaysia/189332/2020	other	20/03/2020	NA	NA
Australia/VIC390/2020	other	23/03/2020	NA	NA
Australia/VIC819/2020	other	03/04/2020	NA	NA
Singapore/41/2020	other	31/03/2020	NA	NA
Singapore/42/2020	other	31/03/2020	NA	NA
Australia/QLDID921/2020	other	11/03/2020	NA	NA
SouthAfrica/KRISP_0006/2020	other	31/03/2020	NA	NA
Australia/NSW68/2020	other	25/03/2020	NA	NA
Australia/NSW59/2020	other	17/03/2020	NA	NA
Taiwan/TSGH-11/2020	other	25/03/2020	NA	NA
Australia/NSW44/2020	other	10/03/2020	NA	NA
Australia/NSW48/2020	other	14/03/2020	NA	NA
Australia/NSW45/2020	other	13/03/2020	NA	NA
Canada/ON_PHL0141/2020	other	12/03/2020	NA	NA
Canada/ON_PHL3459/2020	other	12/03/2020	NA	NA
Pakistan/Gilgit1/2020	other	04/03/2020	NA	NA
Australia/VIC759/2020	other	30/03/2020	NA	NA
Shanghai/SH0070/2020	other	07/02/2020	NA	NA
Netherlands/ZuidHolland_16/2020	other	06/03/2020	NA	NA
Georgia/Tb-1523/2020	other	30/03/2020	NA	NA
Wuhan/HBCDC-HB-05/2020	other	18/01/2020	NA	NA
Shandong/IVDC-SD-001/2020	other	19/01/2020	NA	NA
Netherlands/Gelderland_8/2020	other	13/03/2020	NA	NA
Shanghai/SH0081/2020	other	01/02/2020	NA	NA
Shanghai/SH0022/2020	other	30/01/2020	NA	NA
Shanghai/SH0023/2020	other	30/01/2020	NA	NA
Shanghai/SH0080/2020	other	08/02/2020	NA	NA
Shanghai/SH0125/2020	other	15/02/2020	NA	NA
Shanghai/SH0126/2020	other	15/02/2020	NA	NA
USA/WA-UW-1868/2020	other	23/03/2020	NA	NA
Australia/NSW53/2020	other	11/03/2020	NA	NA
Australia/WA10/2020	other	14/03/2020	NA	NA
Guangdong/DG-S41-P0056/2020	other	28/02/2020	NA	NA
Xinyu/JX124/2020	other	26/01/2020	NA	NA
Nanchang/JX155/2020	other	29/01/2020	NA	NA
Nanchang/JX176/2020	other	29/01/2020	NA	NA
Taiwan/CGMH-CGU-04/2020	other	27/02/2020	NA	NA
Taiwan/CGMH-CGU-05/2020	other	27/02/2020	NA	NA
Taiwan/CGMH-CGU-07/2020	other	09/03/2020	NA	NA
Taiwan/CGMH-CGU-03/2020	other	26/02/2020	NA	NA
Taiwan/CGMH-CGU-08/2020	other	10/03/2020	NA	NA
Taiwan/CGMH-CGU-06/2020	other	05/03/2020	NA	NA
Canada/BC_37_0-2/2020	other	16/02/2020	NA	NA
USA/NY1-PV08001/2020	other	29/02/2020	NA	NA
England/200990002/2020	other	28/02/2020	NA	NA
Germany/BavPat2/2020	other	02/03/2020	NA	NA
Canada/BC_5282984/2020	other	11/03/2020	NA	NA
Taiwan/TSGH-13/2020	other	17/03/2020	NA	NA
Taiwan/CGMH-CGU-10/2020	other	13/03/2020	NA	NA
Taiwan/NTU11/2020	other	16/03/2020	NA	NA
Taiwan/TSGH-02/2020	other	17/03/2020	NA	NA
Taiwan/CGMH-CGU-11/2020	other	14/03/2020	NA	NA
DRC/299/2020	other	20/03/2020	NA	NA
Australia/NSW09/2020	other	28/02/2020	NA	NA
Georgia/Tb-82/2020	other	28/02/2020	NA	NA
Kuwait/KU09/2020	other	02/03/2020	NA	NA
Canada/BC_25211/2020	other	02/03/2020	NA	NA
India/1104/2020	other	10/03/2020	NA	NA
Kuwait/KU12/2020	other	02/03/2020	NA	NA
India/1073/2020	other	10/03/2020	NA	NA
Canada/BC_65034/2020	other	04/03/2020	NA	NA
Canada/BC_66353/2020	other	04/03/2020	NA	NA
Kuwait/KU18/2020	other	02/03/2020	NA	NA
Norway/1380/2020	other	26/02/2020	NA	NA
Australia/VIC846/2020	other	04/04/2020	NA	NA
Australia/NSW06/2020	other	29/02/2020	NA	NA
Australia/NSW217/2020	other	02/03/2020	NA	NA
Australia/NSW11/2020	other	02/03/2020	NA	NA
Canada/BC_17397/2020	other	28/02/2020	NA	NA
Canada/BC_02421/2020	other	01/03/2020	NA	NA
Canada/BC_69243/2020	other	20/02/2020	NA	NA
Canada/BC_13297/2020	other	27/02/2020	NA	NA
NewZealand/01/2020	other	27/02/2020	NA	NA
Canada/ON_PHL5472/2020	other	20/02/2020	NA	NA
Canada/ON_PHL7972/2020	other	12/03/2020	NA	NA
England/200960041/2020	other	27/02/2020	NA	NA
Australia/NSW05/2020	other	28/02/2020	NA	NA
Australia/NSW14/2020	other	03/03/2020	NA	NA
Turkey/ERAGEM-001/2020	other	17/03/2020	NA	NA
Australia/NSW19/2020	other	06/03/2020	NA	NA
Australia/NSW33/2020	other	06/03/2020	NA	NA
Australia/QLD09/2020	other	29/02/2020	NA	NA
Australia/NSW07/2020	other	29/02/2020	NA	NA
Australia/VIC812/2020	other	02/04/2020	NA	NA
Australia/VIC813/2020	other	02/04/2020	NA	NA
Australia/NSW35/2020	other	08/03/2020	NA	NA
Australia/NSW65/2020	other	05/03/2020	NA	NA
Australia/NSW66/2020	other	04/03/2020	NA	NA
Australia/NSW40/2020	other	11/03/2020	NA	NA
Australia/NSW26/2020	other	09/03/2020	NA	NA
Australia/NSW23/2020	other	04/03/2020	NA	NA
Australia/NSW15/2020	other	03/03/2020	NA	NA
Australia/VIC06/2020	other	06/03/2020	NA	NA
Germany/NRW-46/2020	other	21/03/2020	NA	NA
Canada/ON_PHL3318/2020	other	11/03/2020	NA	NA
Canada/BC_4143842/2020	other	04/03/2020	NA	NA
Canada/BC_4143868/2020	other	04/03/2020	NA	NA
Canada/BC_4078583/2020	other	03/03/2020	NA	NA
Canada/ON_PHL3917/2020	other	08/03/2020	NA	NA
Canada/ON_PHL3919/2020	other	14/03/2020	NA	NA
NewZealand/20VR0206/2020	other	05/03/2020	NA	NA
Kuwait/KU17/2020	other	02/03/2020	NA	NA
Australia/VIC97/2020	other	16/03/2020	NA	NA
Australia/VIC878/2020	other	06/04/2020	NA	NA
Australia/VIC879/2020	other	06/04/2020	NA	NA
Australia/VIC447/2020	other	27/03/2020	NA	NA
Australia/VIC294/2020	other	23/03/2020	NA	NA
Australia/VIC895/2020	other	06/04/2020	NA	NA
Australia/VIC446/2020	other	27/03/2020	NA	NA
Australia/VIC854/2020	other	04/04/2020	NA	NA
Australia/VIC894/2020	other	06/04/2020	NA	NA
Australia/VIC407/2020	other	25/03/2020	NA	NA
Fuyang/FY002/2020	other	10/03/2020	NA	NA
Taiwan/TSGH-01/2020	other	07/02/2020	NA	NA
Hangzhou/ZJU-01/2020	other	25/01/2020	NA	NA
Hangzhou/HZCDC0167/2020	other	23/01/2020	NA	NA
Italy/SPL1/2020	other	29/01/2020	NA	NA
Italy/INMI1-cs/2020	other	29/01/2020	NA	NA
Norway/1538/2020	other	01/03/2020	NA	NA
Belgium/VPE-030650/2020	Belgium	06/03/2020	685398.653799515	594222.947352075
France/B2334/2020	other	01/03/2020	NA	NA
France/B2340/2020	other	05/03/2020	NA	NA
Portugal/PT0040/2020	other	17/03/2020	NA	NA
Taiwan/TSGH-06/2020	other	15/03/2020	NA	NA
Spain/Madrid_H2_16/2020	other	09/03/2020	NA	NA
England/20144049004/2020	other	30/03/2020	NA	NA
Spain/Valencia11/2020	other	20/03/2020	NA	NA
Spain/Madrid201738/2020	other	07/03/2020	NA	NA
Georgia/Tb-468/2020	other	10/03/2020	NA	NA
Georgia/Tb-537/2020	other	11/03/2020	NA	NA
Georgia/Tb-54/2020	other	27/02/2020	NA	NA
Iceland/13/2020	other	27/02/2020	NA	NA
Norway/1494/2020	other	29/02/2020	NA	NA
Norway/1455/2020	other	28/02/2020	NA	NA
Norway/1443/2020	other	27/02/2020	NA	NA
Norway/1493/2020	other	29/02/2020	NA	NA
Norway/1694/2020	other	04/03/2020	NA	NA
HongKong/HKPU65-1202/2020	other	19/02/2020	NA	NA
HongKong/HKPU92-1302/2020	other	26/02/2020	NA	NA
HongKong/HKPU70-1302/2020	other	22/02/2020	NA	NA
HongKong/HKPU91-2002/2020	other	26/02/2020	NA	NA
HongKong/HKPU84-2502/2020	other	24/02/2020	NA	NA
HongKong/HKPU74-1302/2020	other	22/02/2020	NA	NA
HongKong/HKPU73-0802/2020	other	22/02/2020	NA	NA
HongKong/HKPU64-1202/2020	other	19/02/2020	NA	NA
HongKong/HKPU83-1702/2020	other	24/02/2020	NA	NA
HongKong/HKPU89-2502/2020	other	26/02/2020	NA	NA
HongKong/HKPU45-0502/2020	other	11/02/2020	NA	NA
HongKong/HKPU38-3001/2020	other	09/02/2020	NA	NA
HongKong/HKPU36-0702/2020	other	09/02/2020	NA	NA
HongKong/HKPU34_3001/2020	other	09/02/2020	NA	NA
HongKong/HKPU41-0802/2020	other	10/02/2020	NA	NA
HongKong/HKPU32_0402/2020	other	09/02/2020	NA	NA
HongKong/HKPU90-1602/2020	other	26/02/2020	NA	NA
canine/HongKong/20-02756/2020	other	26/02/2020	NA	NA
Canada/BC_35720/2020	other	04/03/2020	NA	NA
HongKong/VM20002907/2020	other	25/02/2020	NA	NA
HongKong/VM20002868/2020	other	24/02/2020	NA	NA
HongKong/HKPU23_2601/2020	other	30/01/2020	NA	NA
HongKong/HKPU27_3001/2020	other	08/02/2020	NA	NA
HongKong/HKPU33_0202/2020	other	09/02/2020	NA	NA
HongKong/HKPU35_0402/2020	other	09/02/2020	NA	NA
HongKong/HKPU_2801/2020	other	08/02/2020	NA	NA
HongKong/HKPU29_0102/2020	other	08/02/2020	NA	NA
HongKong/HKPU39-3001/2020	other	10/02/2020	NA	NA
HongKong/HKPU40-2801/2020	other	10/02/2020	NA	NA
HongKong/HKPU30_2901/2020	other	08/02/2020	NA	NA
HongKong/HKPU43-0202/2020	other	10/02/2020	NA	NA
HongKong/HKPU44-0102/2020	other	10/02/2020	NA	NA
England/20138086604/2020	other	23/03/2020	NA	NA
Korea/KCDC2017/2020	other	18/02/2020	NA	NA
Korea/KCDC2016/2020	other	18/02/2020	NA	NA
USA/GA_2741/2020	other	29/02/2020	NA	NA
USA/WA3-UW1/2020	other	27/02/2020	NA	NA
Korea/KCDC2019/2020	other	18/02/2020	NA	NA
Korea/KCDC2015/2020	other	26/02/2020	NA	NA
Korea/BA-ACH_2719/2020	other	29/02/2020	NA	NA
Korea/BA-ACH_2718/2020	other	29/02/2020	NA	NA
Korea/BA-ACH_2604/2020	other	27/02/2020	NA	NA
England/20128037804/2020	other	19/03/2020	NA	NA
NewZealand/CoV002/2020	other	11/03/2020	NA	NA
Australia/VIC887/2020	other	06/04/2020	NA	NA
Wales/PHWC-24349/2020	other	18/03/2020	NA	NA
Wales/PHWC-2433A/2020	other	18/03/2020	NA	NA
Australia/VIC176/2020	other	18/03/2020	NA	NA
England/20128011804/2020	other	19/03/2020	NA	NA
Australia/VIC378/2020	other	22/03/2020	NA	NA
Australia/NSW175/2020	other	18/03/2020	NA	NA
Australia/NSW174/2020	other	21/03/2020	NA	NA
Scotland/CVR101/2020	other	14/03/2020	NA	NA
Scotland/CVR200/2020	other	17/03/2020	NA	NA
Australia/NSW176/2020	other	18/03/2020	NA	NA
Australia/NSW88/2020	other	16/03/2020	NA	NA
Australia/NSW80/2020	other	21/03/2020	NA	NA
England/20139060704/2020	other	28/03/2020	NA	NA
Australia/NSW75/2020	other	16/03/2020	NA	NA
Australia/VIC328/2020	other	17/03/2020	NA	NA
Australia/NSW51/2020	other	10/03/2020	NA	NA
Brazil/MG0102/2020	other	18/03/2020	NA	NA
Australia/VIC23/2020	other	09/03/2020	NA	NA
England/09c/2020	other	09/02/2020	NA	NA
England/CAMB-744B0/2020	other	20/03/2020	NA	NA
DRC/158/2020	other	20/03/2020	NA	NA
Australia/VIC203/2020	other	19/03/2020	NA	NA
Scotland/CVR07/2020	other	09/03/2020	NA	NA
Australia/NSW36/2020	other	10/03/2020	NA	NA
Germany/NRW-35/2020	other	16/03/2020	NA	NA
USA/NY-NYUMC1/2020	other	04/03/2020	NA	NA
USA/NY-Wadsworth-14726-02/2020	other	12/03/2020	NA	NA
USA/MN39-MDH39/2020	other	12/03/2020	NA	NA
USA/MN53-MDH53/2020	other	13/03/2020	NA	NA
Canada/BC_9446031/2020	other	13/03/2020	NA	NA
USA/NV_0052/2020	other	09/03/2020	NA	NA
England/20146009204/2020	other	02/04/2020	NA	NA
Germany/BAV-V2011395/2020	other	14/03/2020	NA	NA
England/20146004504/2020	other	01/04/2020	NA	NA
England/CAMB-76EB0/2020	other	01/04/2020	NA	NA
England/200940527/2020	other	25/02/2020	NA	NA
England/200990725/2020	other	28/02/2020	NA	NA
England/200990724/2020	other	28/02/2020	NA	NA
Brazil/ES-225/2020	other	29/02/2020	NA	NA
England/20100001406/2020	other	28/02/2020	NA	NA
England/20132003004/2020	other	22/03/2020	NA	NA
Australia/NSW57/2020	other	16/03/2020	NA	NA
Scotland/EDB227/2020	other	26/03/2020	NA	NA
England/CAMB-76D59/2020	other	30/03/2020	NA	NA
Australia/NT14/2020	other	26/03/2020	NA	NA
Australia/NSW89/2020	other	23/03/2020	NA	NA
England/SHEF-C0075/2020	other	23/03/2020	NA	NA
England/SHEF-C002A/2020	other	23/03/2020	NA	NA
DRC/KN-0059/2020	other	17/03/2020	NA	NA
Australia/VIC172/2020	other	18/03/2020	NA	NA
Wales/PHWC-264DB/2020	other	28/03/2020	NA	NA
England/20144071404/2020	other	01/04/2020	NA	NA
England/20144071504/2020	other	01/04/2020	NA	NA
Australia/NSW82/2020	other	20/03/2020	NA	NA
USA/WA-UW-1645/2020	other	20/03/2020	NA	NA
England/CAMB-73A19/2020	other	01/04/2020	NA	NA
England/20148044604/2020	other	02/04/2020	NA	NA
England/20102088002/2020	other	25/02/2020	NA	NA
Canada/BC_78548/2020	other	05/03/2020	NA	NA
England/20129044404/2020	other	11/03/2020	NA	NA
England/20148041604/2020	other	02/04/2020	NA	NA
England/20148048004/2020	other	02/04/2020	NA	NA
England/20148046704/2020	other	02/04/2020	NA	NA
England/20148039404/2020	other	02/04/2020	NA	NA
England/20148003904/2020	other	02/04/2020	NA	NA
Portugal/PT0035/2020	other	16/03/2020	NA	NA
Portugal/PT0036/2020	other	16/03/2020	NA	NA
Netherlands/NA_21/2020	other	08/03/2020	NA	NA
Australia/VIC332/2020	other	18/03/2020	NA	NA
Wales/PHWC-26550/2020	other	26/03/2020	NA	NA
Wales/PHWC-26101/2020	other	25/03/2020	NA	NA
Wales/PHWC-248E0/2020	other	20/03/2020	NA	NA
Iceland/411/2020	other	19/03/2020	NA	NA
Australia/VIC87/2020	other	15/03/2020	NA	NA
Australia/VIC88/2020	other	15/03/2020	NA	NA
England/20126034602/2020	other	17/03/2020	NA	NA
Ireland/22901/2020	other	10/03/2020	NA	NA
England/20139020506/2020	other	26/03/2020	NA	NA
Wales/PHWC-25E65/2020	other	25/03/2020	NA	NA
England/20138007104/2020	other	27/03/2020	NA	NA
England/SHEF-C0497/2020	other	27/03/2020	NA	NA
England/20148006904/2020	other	03/04/2020	NA	NA
England/20139064404/2020	other	28/03/2020	NA	NA
England/CAMB-74614/2020	other	22/03/2020	NA	NA
Portugal/IGC00009/2020	other	18/03/2020	NA	NA
England/20148006104/2020	other	30/03/2020	NA	NA
England/20134010904/2020	other	25/03/2020	NA	NA
England/20139003004/2020	other	27/03/2020	NA	NA
Ghana/2230_S4/2020	other	25/03/2020	NA	NA
Australia/NSW78/2020	other	23/03/2020	NA	NA
Australia/NSW77/2020	other	17/03/2020	NA	NA
England/20130053404/2020	other	21/03/2020	NA	NA
Taiwan/TSGH-10/2020	other	24/03/2020	NA	NA
Australia/QLDID929/2020	other	24/03/2020	NA	NA
Australia/NSW79/2020	other	23/03/2020	NA	NA
Wales/PHWC-2622C/2020	other	27/03/2020	NA	NA
