trait	location	collection_date	latitude	longitude
Korea/KCDC2006/2020	other	02/02/2020	NA	NA
Korea/KCDC2011/2020	other	23/02/2020	NA	NA
Korea/KCDC2010/2020	other	05/02/2020	NA	NA
Korea/KCDC2008/2020	other	05/02/2020	NA	NA
Korea/KCDC2009/2020	other	07/02/2020	NA	NA
Beijing/Wuhan_IME-BJ03/2020	other	28/01/2020	NA	NA
Beijing/105/2020	other	26/01/2020	NA	NA
Beijing/235/2020	other	28/01/2020	NA	NA
Beijing/231/2020	other	28/01/2020	NA	NA
Beijing/Wuhan_IME-BJ02/2020	other	25/01/2020	NA	NA
SouthKorea/KCDC03/2020	other	25/01/2020	NA	NA
SouthKorea/KCDC06/2020	other	30/01/2020	NA	NA
SouthKorea/KUMC06/2020	other	27/02/2020	NA	NA
SouthKorea/KUMC04/2020	other	27/02/2020	NA	NA
Korea/KCDC2018/2020	other	19/02/2020	NA	NA
SouthKorea/KUMC05/2020	other	27/02/2020	NA	NA
SouthKorea/KUMC03/2020	other	27/02/2020	NA	NA
USA/TX1/2020	other	11/02/2020	NA	NA
Shanghai/SH0059/2020	other	30/01/2020	NA	NA
Australia/NSW04/2020	other	24/01/2020	NA	NA
Beijing/Wuhan_IME-BJ01/2020	other	24/01/2020	NA	NA
Shenzhen/HKU-SZ-005/2020	other	11/01/2020	NA	NA
Guangdong/SZ-N128-P0057/2020	other	28/02/2020	NA	NA
Guangdong/2020XN4291-P0038/2020	other	30/01/2020	NA	NA
Guangzhou/GZMU0042/2020	other	25/02/2020	NA	NA
Japan/TY-WK-501/2020	other	31/01/2020	NA	NA
Japan/TY-WK-521/2020	other	31/01/2020	NA	NA
Japan/TY-WK-012/2020	other	29/01/2020	NA	NA
Japan/UT-NCGM02/2020	other	01/02/2020	NA	NA
Shenzhen/HKU-SZ-002/2020	other	10/01/2020	NA	NA
Guangdong/20SF013/2020	other	15/01/2020	NA	NA
Guangdong/20SF025/2020	other	15/01/2020	NA	NA
Shanghai/SH0004/2020	other	28/01/2020	NA	NA
Guangdong/20SF012/2020	other	14/01/2020	NA	NA
Shenzhen/SZTH-002/2020	other	13/01/2020	NA	NA
Shanghai/SH0074/2020	other	07/02/2020	NA	NA
Shanghai/SH0005/2020	other	28/01/2020	NA	NA
Germany/BavPat3/2020	other	02/03/2020	NA	NA
Nanchang/JX174/2020	other	29/01/2020	NA	NA
Shanghai/SH0117/2020	other	02/02/2020	NA	NA
Shanghai/SH0035/2020	other	30/01/2020	NA	NA
Australia/QLD02/2020	other	30/01/2020	NA	NA
Australia/QLD03/2020	other	05/02/2020	NA	NA
Australia/VIC07/2020	other	08/02/2020	NA	NA
Australia/QLD01/2020	other	28/01/2020	NA	NA
Singapore/4/2020	other	03/02/2020	NA	NA
Guangdong/2020XN4243-P0035/2020	other	30/01/2020	NA	NA
Shanghai/SH0002/2020	other	25/01/2020	NA	NA
Ghana/2828_S6/2020	other	29/03/2020	NA	NA
Ghana/1651_S3/2020	other	25/03/2020	NA	NA
Ghana/2850_S15/2020	other	29/03/2020	NA	NA
Ghana/3177_S12/2020	other	30/03/2020	NA	NA
Senegal/620/2020	other	20/03/2020	NA	NA
Australia/QLD04/2020	other	05/02/2020	NA	NA
USA/CA7/2020	other	06/02/2020	NA	NA
DRC/300/2020	other	22/03/2020	NA	NA
USA/NY-NYUMC102/2020	other	18/03/2020	NA	NA
USA/CT-UW158/2020	other	13/03/2020	NA	NA
USA/CT-UW303/2020	other	14/03/2020	NA	NA
Australia/NSW92/2020	other	17/03/2020	NA	NA
Shanghai/SH0003/2020	other	25/01/2020	NA	NA
Senegal/618/2020	other	20/03/2020	NA	NA
Ghana/3176_S11/2020	other	30/03/2020	NA	NA
USA/VA-DCLS-0021/2020	other	11/03/2020	NA	NA
USA/VA_6171/2020	other	06/03/2020	NA	NA
Netherlands/Utrecht_17/2020	other	10/03/2020	NA	NA
Netherlands/Utrecht_16/2020	other	08/03/2020	NA	NA
USA/WI-61/2020	other	23/03/2020	NA	NA
USA/WI-77/2020	other	19/03/2020	NA	NA
USA/WI-132/2020	other	10/04/2020	NA	NA
USA/WI-149/2020	other	07/04/2020	NA	NA
USA/WI-51/2020	other	20/03/2020	NA	NA
USA/WI-96/2020	other	01/04/2020	NA	NA
USA/WI-88/2020	other	05/04/2020	NA	NA
USA/WI-129/2020	other	06/04/2020	NA	NA
USA/WI-146/2020	other	06/04/2020	NA	NA
USA/WI-22/2020	other	13/03/2020	NA	NA
USA/WI-73/2020	other	24/03/2020	NA	NA
USA/WI-67/2020	other	25/03/2020	NA	NA
USA/WI-70/2020	other	19/03/2020	NA	NA
USA/WI-66/2020	other	24/03/2020	NA	NA
NewZealand/20VR0276/2020	other	15/03/2020	NA	NA
USA/CA1/2020	other	23/01/2020	NA	NA
Shanghai/SH0017/2020	other	01/02/2020	NA	NA
Sichuan/IVDC-SC-001/2020	other	15/01/2020	NA	NA
HongKong/VM20001061/2020	other	22/01/2020	NA	NA
HongKong/HKPU1_2101/2020	other	21/01/2020	NA	NA
HongKong/XM-PII-S4/2020	other	22/01/2020	NA	NA
Vietnam/CM99/2020	other	11/02/2020	NA	NA
Vietnam/38142/2020	other	24/01/2020	NA	NA
Vietnam/VR03-38142/2020	other	24/01/2020	NA	NA
Shanghai/SH0128/2020	other	02/02/2020	NA	NA
Guangdong/GZ-S6-P0050/2020	other	28/02/2020	NA	NA
Shanghai/SH0029/2020	other	01/02/2020	NA	NA
Shanghai/SH0079/2020	other	01/02/2020	NA	NA
Shanghai/SH0049/2020	other	01/02/2020	NA	NA
Shanghai/SH0032/2020	other	01/02/2020	NA	NA
Korea/KCDC2014/2020	other	12/02/2020	NA	NA
Korea/KCDC2012/2020	other	09/02/2020	NA	NA
Korea/KCDC2013/2020	other	23/02/2020	NA	NA
USA/IL2/2020	other	28/01/2020	NA	NA
USA/SC_3575/2020	other	07/03/2020	NA	NA
USA/GA_2118/2020	other	08/03/2020	NA	NA
USA/SC_3571/2020	other	07/03/2020	NA	NA
USA/WI-GMF-00049/2020	other	18/03/2020	NA	NA
USA/SC_6370/2020	other	08/03/2020	NA	NA
USA/WI-235/2020	other	28/03/2020	NA	NA
Taiwan/NTU13/2020	other	17/03/2020	NA	NA
USA/OH-OSUP0016/2020	other	31/03/2020	NA	NA
Scotland/CVR634/2020	other	25/03/2020	NA	NA
USA/NY-PV08490/2020	other	17/03/2020	NA	NA
USA/WI-126/2020	other	11/04/2020	NA	NA
USA/WI-143/2020	other	13/04/2020	NA	NA
USA/SC_3570/2020	other	07/03/2020	NA	NA
USA/GA_2070/2020	other	07/03/2020	NA	NA
USA/SC_3520/2020	other	05/03/2020	NA	NA
USA/GA_1847/2020	other	05/03/2020	NA	NA
USA/SC_3569/2020	other	06/03/2020	NA	NA
USA/GA_1445/2020	other	04/03/2020	NA	NA
USA/GA_1320/2020	other	03/03/2020	NA	NA
USA/GA_2343/2020	other	10/03/2020	NA	NA
USA/WI-166/2020	other	17/03/2020	NA	NA
USA/WI-189/2020	other	23/03/2020	NA	NA
USA/WI-245/2020	other	28/03/2020	NA	NA
USA/WI-28/2020	other	25/03/2020	NA	NA
Australia/VIC56/2020	other	12/03/2020	NA	NA
Australia/NT18/2020	other	23/03/2020	NA	NA
USA/CT-UW260/2020	other	14/03/2020	NA	NA
Australia/NSW214/2020	other	17/03/2020	NA	NA
Australia/NSW215/2020	other	17/03/2020	NA	NA
USA/AZ-TG268282/2020	other	17/03/2020	NA	NA
USA/AZ-TG271435/2020	other	27/03/2020	NA	NA
Australia/VIC836/2020	other	04/04/2020	NA	NA
Australia/VIC886/2020	other	06/04/2020	NA	NA
Australia/VIC875/2020	other	05/04/2020	NA	NA
USA/FL_9655/2020	other	05/03/2020	NA	NA
Australia/VIC33/2020	other	10/03/2020	NA	NA
USA/UT-00288/2020	other	24/03/2020	NA	NA
Australia/VIC85/2020	other	15/03/2020	NA	NA
NewZealand/20VR0275/2020	other	15/03/2020	NA	NA
Wuhan/WH04/2020	other	05/01/2020	NA	NA
Malaysia/MKAK-CL-2020-5096/2020	other	20/02/2020	NA	NA
Thailand/Bangkok-CONI-0019/2020	other	20/03/2020	NA	NA
Wuhan/HBCDC-HB-03/2020	other	18/01/2020	NA	NA
Australia/NSW01/2020	other	24/01/2020	NA	NA
Shanghai/SH0009/2020	other	29/01/2020	NA	NA
Guangdong/GD2020233-P0027/2020	other	07/02/2020	NA	NA
Singapore/12/2020	other	17/02/2020	NA	NA
Singapore/12Clin/2020	other	28/02/2020	NA	NA
Guangdong/FS-S30-P0052/2020	other	28/02/2020	NA	NA
Guangdong/ZS-S6-P0060/2020	other	28/02/2020	NA	NA
Jiujiang/JX22/2020	other	22/01/2020	NA	NA
Shangrao/JX29/2020	other	22/01/2020	NA	NA
Xinyu/JX122/2020	other	25/01/2020	NA	NA
Ganzhou/JX81/2020	other	25/01/2020	NA	NA
Shanghai/SH0024/2020	other	30/01/2020	NA	NA
Guangdong/2020XN4459-P0041/2020	other	30/01/2020	NA	NA
Shanghai/SH0013/2020	other	30/01/2020	NA	NA
Shanghai/SH0043/2020	other	30/01/2020	NA	NA
