node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
7,8,0.000523443665199991,651524.599790607,738702.551703673,651745.319125083,738815.856803805,0.000523443665199991,0,2020.1858293432,2020.18635278687,3169000
7,6,0.06826901744,651524.599790607,738702.551703673,647375.973487314,739347.303102998,0.06826901744,0,2020.1858293432,2020.25409836064,3169000
8,1,0.1715707104,651745.319125083,738815.856803805,633965.810038454,764220.092998554,0.1720941540652,0.000523443665199991,2020.18635278687,2020.35792349727,3169000
8,9,0.02669,651745.319125083,738815.856803805,645497.110868907,734933.508000698,0.0272134436652,0.000523443665199991,2020.18635278687,2020.21304278687,3169000
9,2,7.19672130399807e-05,645497.110868907,734933.508000698,645471.06018378,734925.140235915,0.02728541087824,0.0272134436652,2020.21304278687,2020.21311475408,3169000
9,10,0.02981,645497.110868907,734933.508000698,647000.071016732,735209.790246246,0.0570234436652,0.0272134436652,2020.21304278687,2020.24285278687,3169000
10,3,0.05222918033,647000.071016732,735209.790246246,637897.902587036,732947.299868404,0.1092526239952,0.0570234436652,2020.24285278687,2020.2950819672,3169000
10,11,0.00298,647000.071016732,735209.790246246,647059.205842336,735557.553617235,0.0600034436652,0.0570234436652,2020.24285278687,2020.24583278687,3169000
11,4,0.04924918033,647059.205842336,735557.553617235,637571.080615562,732449.913799461,0.1092526239952,0.0600034436652,2020.24583278687,2020.2950819672,3169000
11,5,6.88524590100048e-05,647059.205842336,735557.553617235,647132.472514753,735578.313473942,0.06007229612421,0.0600034436652,2020.24583278687,2020.24590163933,3169000
